company_name,url,contact_url,区分,検出ワード,source_url
アートム株式会社,https://www.artme.co.jp/,https://www.artme.co.jp/contact/,S｜業界特化Web制作・店舗支援ハブ,フィットネス業界特化支援：スポーツ施設メディア・Web制作・スクール申込決済,https://fia.or.jp/support/s29893/
株式会社アイ・エス・アイソフトウェアー,https://www.isi-grp.co.jp/,https://www.isi-grp.co.jp/inquiry/,S｜業界特化Web制作・店舗支援ハブ,フィットネス業界特化支援：スポーツジム向け総合会員管理システム,https://fia.or.jp/support/s11877/
株式会社アイサイト,https://www.i-site.co.jp/,https://www.i-site.co.jp/recruit-inquiry/,S｜業界特化Web制作・店舗支援ハブ,フィットネス業界特化支援：運動施設向け会員管理・運動処方システム,https://fia.or.jp/support/s17002/
株式会社ASK,http://cs-ask.co.jp/,https://cs-ask.co.jp/contact/,S｜業界特化Web制作・店舗支援ハブ,フィットネス業界特化支援：施設向け映像・ネットワーク設備支援,https://fia.or.jp/support/s20027/
株式会社WizWe,https://wizwe.co.jp/,,S｜業界特化Web制作・店舗支援ハブ,フィットネス業界特化支援：会員継続・習慣化プラットフォーム,https://fia.or.jp/support/s23103/
株式会社Nwith,https://n-with.com/,,S｜業界特化Web制作・店舗支援ハブ,フィットネス業界特化支援：ジム向け管理栄養士食事管理サービス,https://fia.or.jp/support/s29324/
株式会社MJカンパニー,https://www.mj-company.co.jp/,https://docs.google.com/forms/d/1SVMMpoDR8tf50OQECA3IX1k7hWrVS05GcsFCg-wEwgE/viewform?ts=6239918c&edit_requested=true,S｜業界特化Web制作・店舗支援ハブ,フィットネス業界特化支援：施術機器・施設運営セミナー支援,https://fia.or.jp/support/s39511/
株式会社エースロジジャパン,https://harikaeou.co.jp/,https://harikaeou.co.jp/contact,S｜業界特化Web制作・店舗支援ハブ,フィットネス業界特化支援：フィットネス機器販売・設置・保守,https://fia.or.jp/support/s38765/
株式会社オーエルシージャパン,https://olcjapan.com/,https://olcjapan.com/contact,S｜業界特化Web制作・店舗支援ハブ,フィットネス業界特化支援：スポーツ施設建築・インテリア設計,https://fia.or.jp/support/s11893/
株式会社OptFit,https://optfit.jp/,https://optfit.jp/contact,S｜業界特化Web制作・店舗支援ハブ,フィットネス業界特化支援：AIジム運営DXシステム,https://fia.or.jp/support/s20055/
株式会社ガウラ,https://www.gaura.jp/,,S｜業界特化Web制作・店舗支援ハブ,フィットネス業界特化支援：施設向け水素水サーバー導入支援,https://fia.or.jp/support/s16938/
