company_name,url,address,phone,maps_url,contact_url,message,sent_at,status,error_reason,screenshot_path,provider_used,提案区分,H1,区分,検出ワード
株式会社PLAN-B,https://www.planb-pet.com/,,,,https://www.planb-pet.com/counseling/,,,,,,,,,S｜業界特化Web制作・店舗支援ハブ,ペット業界特化支援：動物病院専門経営・組織コンサルティング
株式会社サスティナ,https://f-snc.com/,,,,https://f-snc.com/contact/,,,,,,,,,S｜業界特化Web制作・店舗支援ハブ,ペット業界特化支援：動物病院専門経営コンサルティング
株式会社En-Jin,https://en-jin.co.jp/,,,,https://en-jin.co.jp/inquiry,,,,,,,,,S｜業界特化Web制作・店舗支援ハブ,ペット業界特化支援：動物病院経営・組織運営支援
MTPC,https://animal-hosp.com/,,,,https://animal-hosp.com/contact/,,,,,,,,,S｜業界特化Web制作・店舗支援ハブ,ペット業界特化支援：動物病院M&A・経営支援
税理士法人グスク,https://gusuku.or.jp/,,,,https://gusuku.or.jp/contact/,,,,,,,,,S｜業界特化Web制作・店舗支援ハブ,ペット業界特化支援：動物病院開業・経営・税務支援
株式会社ねこのタミ,https://nekono-tami.com/,,,,https://nekono-tami.com/contact.html,,,,,,,,,S｜業界特化Web制作・店舗支援ハブ,ペット業界特化支援：動物病院開業・経営コンサルティング
OptiVet株式会社,https://opti-vet.jp/,,,,https://forms.gle/1Zr36ovQWKJ3vgdw7,,,,,,,,,S｜業界特化Web制作・店舗支援ハブ,ペット業界特化支援：動物病院経営・人材支援
ITF合同会社,https://patraneo.com/,,,,https://docs.google.com/forms/d/e/1FAIpQLSfCUb7AqhgYf0v_mPpn825S-MjsE9NCmRGS8z0GGz2j6EtVeQ/viewform,,,,,,,,,S｜業界特化Web制作・店舗支援ハブ,ペット業界特化支援：動物病院向け電子カルテ・顧客管理システム
株式会社AALDA,https://aaldavet360.com/,,,,https://aaldavet360.com/inquiry/demo,,,,,,,,,S｜業界特化Web制作・店舗支援ハブ,ペット業界特化支援：動物病院向けクラウド電子カルテ・集患支援
株式会社アイアコス,https://www.aiakos.co.jp/,,,,https://www.aiakos.co.jp/inquiry/index.html,,,,,,,,,S｜業界特化Web制作・店舗支援ハブ,ペット業界特化支援：動物病院向け予約・受付管理システム
株式会社ハロペ,https://halope.co.jp/,,,,https://form.run/@halope-5000,,,,,,,,,S｜業界特化Web制作・店舗支援ハブ,ペット業界特化支援：動物病院・ペットサロン向けWeb・顧客管理
株式会社EMILUCK,https://emiluck.com/,,,,https://emiluck.com/contact/,,,,,,,,,S｜業界特化Web制作・店舗支援ハブ,ペット業界特化支援：動物病院ホームページ制作
ペットコミュニケーションズ株式会社,https://www.ahmics.com/,,,,https://docs.google.com/forms/d/e/1FAIpQLSepBwJ2fIsIYPu866troPHvH5Bibo9mu7AM4R9PxBR9B5Qllw/viewform,,,,,,,,,S｜業界特化Web制作・店舗支援ハブ,ペット業界特化支援：動物病院向け電子カルテ・経営管理
株式会社マインペット,https://www.mine-pet.com/,,,,https://www.mine-pet.com/#contact,,,,,,,,,S｜業界特化Web制作・店舗支援ハブ,ペット業界特化支援：動物病院向けAI予防医療・再診支援
株式会社M&T,https://www.mandt-net.com/,,,,https://www.mandt-net.com/inquiry/,,,,,,,,,S｜業界特化Web制作・店舗支援ハブ,ペット業界特化支援：動物病院開業・医療機器導入支援
株式会社Noble,https://www.animalclinic-support.com/,,,,https://www.animalclinic-support.com/contact,,,,,,,,,S｜業界特化Web制作・店舗支援ハブ,ペット業界特化支援：動物病院開業・設計施工・医療機器支援
株式会社サカイ・メディカル,https://sakai-me.com/,,,,https://sakai-me.com/contact,,,,,,,,,S｜業界特化Web制作・店舗支援ハブ,ペット業界特化支援：動物病院開業・医療機器支援
株式会社本郷いわしや,https://www.hongo-iwashiya.co.jp/,,,,https://www.hongo-iwashiya.co.jp/contact,,,,,,,,,S｜業界特化Web制作・店舗支援ハブ,ペット業界特化支援：動物病院開業・医療機器支援
アローメディカル株式会社,https://arrowmedical.co.jp/,,,,https://www.arrowmedical.co.jp/contact/,,,,,,,,,S｜業界特化Web制作・店舗支援ハブ,ペット業界特化支援：動物病院開業・医療機器支援
株式会社Raionメディカル,https://raion-med.com/,,,,https://raion-med.com/contact,,,,,,,,,S｜業界特化Web制作・店舗支援ハブ,ペット業界特化支援：動物病院開業・医療機器・事業承継支援
有限会社ランタック,https://rantac.jp/,,,,https://rantac.jp/#contact,,,,,,,,,S｜業界特化Web制作・店舗支援ハブ,ペット業界特化支援：動物病院開業・医療機器・設計支援
税理士法人加美税理士事務所,https://zeirishi-hk-firm.com/,,,,https://zeirishi-hk-firm.com/contact/,,,,,,,,,S｜業界特化Web制作・店舗支援ハブ,ペット業界特化支援：動物病院開業・税務・経営支援
高槻にし税理士事務所,https://nishi-tax.com/,,,,https://nishi-tax.com/contact.php,,,,,,,,,S｜業界特化Web制作・店舗支援ハブ,ペット業界特化支援：動物病院創業・経営・税務支援
株式会社メンフィスホーム,https://www.memphis-home.co.jp/,,,,https://www.memphis-home.co.jp/contact,,,,,,,,,S｜業界特化Web制作・店舗支援ハブ,ペット業界特化支援：動物病院専門設計・施工
