company_name,url,address,phone,maps_url,contact_url,message,sent_at,status,error_reason,screenshot_path,provider_used,提案区分,H1,区分,検出ワード
株式会社CAN EAT,https://biz.caneat.jp/allergyhearing/,,,,https://biz.caneat.jp/allergycontact/contact,,,,,,,,,S｜業界特化Web制作・店舗支援ハブ,ブライダル・写真業界ハブ：アレルギー対応ITサービス「CAN EAT」
株式会社J-MZ,https://j-mz.jp/tiffany/,,,,https://j-mz.jp/#contact,,,,,,,,,S｜業界特化Web制作・店舗支援ハブ,ブライダル・写真業界ハブ：出展
合同会社NORTH,https://www.north-nagano.com/,,,,https://www.north-nagano.com/contact,,,,,,,,,S｜業界特化Web制作・店舗支援ハブ,ブライダル・写真業界ハブ：ブライダル業界向け商品・運営支援
PIEM株式会社,https://www.piem.jp/,,,,https://tayori.com/f/piem-contact/,,,,,,,,,S｜業界特化Web制作・店舗支援ハブ,ブライダル・写真業界ハブ：ONE-Wシステム
株式会社Speria,https://speria.jp/bridal,,,,https://speria.jp/contact?industry=bridal,,,,,,,,,S｜業界特化Web制作・店舗支援ハブ,ブライダル・写真業界ハブ：Speria 営業接客AI
株式会社rusk,https://bridalfair.commitad.com/,,,,https://bridalfair.commitad.com/#contact,,,,,,,,,S｜業界特化Web制作・店舗支援ハブ,ブライダル・写真業界ハブ：コミットアド
株式会社Vircre,https://vircre.co.jp/,,,,https://vircre.co.jp/contact/,,,,,,,,,S｜業界特化Web制作・店舗支援ハブ,ブライダル・写真業界ハブ：VRシステム
株式会社あつまる,https://atsu-maru.co.jp/,,,,https://atsu-maru.co.jp/contact/,,,,,,,,,S｜業界特化Web制作・店舗支援ハブ,ブライダル・写真業界ハブ：集客コンサルティング・新卒採用コンサルティング
株式会社プラスワイズ,https://meoto.jp/,,,,https://meoto.jp/contact/,,,,,,,,,S｜業界特化Web制作・店舗支援ハブ,ブライダル・写真業界ハブ：入浴剤
ゆめじん有限会社,https://www.yumejin.jp/,,,,https://www.yumejin.jp/Form/Inquiry/InquiryInput.aspx,,,,,,,,,S｜業界特化Web制作・店舗支援ハブ,ブライダル・写真業界ハブ：出展
株式会社オリジナルあい,https://original-ai.jp/,,,,https://original-ai.jp/contact/mailform.php,,,,,,,,,S｜業界特化Web制作・店舗支援ハブ,ブライダル・写真業界ハブ：ブライダル業界向け商品・運営支援
株式会社セントラルテクノ,https://www.centraltechno.co.jp/,,,,https://www.centraltechno.co.jp/contact,,,,,,,,,S｜業界特化Web制作・店舗支援ハブ,ブライダル・写真業界ハブ：ブライダル業界向け商品・運営支援
株式会社タイムレス,https://timelesstokyo.jp/,,,,https://timelesstokyo.jp/contact,,,,,,,,,S｜業界特化Web制作・店舗支援ハブ,ブライダル・写真業界ハブ：ギフト（オリジナルギフト制作）・多様な商材の購買支援
株式会社トライスパイド,https://www.tricepied.co.jp/,,,,https://www.tricepied.co.jp/contact,,,,,,,,,S｜業界特化Web制作・店舗支援ハブ,ブライダル・写真業界ハブ：トライスパイドAI Lab（. AI研究所） 出展
株式会社ニュー・バリュー・フロンティア,https://newvaluefrontier.co.jp/,,,,https://newvaluefrontier.co.jp/contact/,,,,,,,,,S｜業界特化Web制作・店舗支援ハブ,ブライダル・写真業界ハブ：ブライダル業界向け商品・運営支援
株式会社バリューブリッジ,https://www.value-bridge.info:443/,,,,https://www.value-bridge.info/contact,,,,,,,,,S｜業界特化Web制作・店舗支援ハブ,ブライダル・写真業界ハブ：アルバムおよび関連WEBサービス
株式会社パプレア,https://paplea.com/,,,,https://paplea.com/contact/,,,,,,,,,S｜業界特化Web制作・店舗支援ハブ,ブライダル・写真業界ハブ：ブライダル業界向け商品・運営支援
有限会社ヒカル・オーキッド,https://www.hikaru-orchids.co.jp/,,,,https://www.hikaru-orchids.co.jp/,,,,,,,,,S｜業界特化Web制作・店舗支援ハブ,ブライダル・写真業界ハブ：食用胡蝶蘭（エディブル・オーキッド）
株式会社フォーディメンション,https://4-dimensions.jp/,,,,https://4-dimensions.jp/contact/,,,,,,,,,S｜業界特化Web制作・店舗支援ハブ,ブライダル・写真業界ハブ：ブライダル業界向け商品・運営支援
メモリード・ライフ株式会社,https://www.memoleadlife.co.jp/,,,,https://www.memoleadlife.co.jp/contact/,,,,,,,,,S｜業界特化Web制作・店舗支援ハブ,ブライダル・写真業界ハブ：少額短期保険
ユニオンビズ株式会社,https://ub-activelife.jp/,,,,https://ub-activelife.jp/contact/contact_corporation,,,,,,,,,S｜業界特化Web制作・店舗支援ハブ,ブライダル・写真業界ハブ：メモリーターフ（人工芝）、moreleaf(人工壁面緑化パネル)
リ・プロダクツ株式会社,https://www.re-products.co.jp/pikapika_pro/,,,,https://www.re-products.co.jp/pikapika_pro/contact/,,,,,,,,,S｜業界特化Web制作・店舗支援ハブ,ブライダル・写真業界ハブ：掃除ロボット6種（床用5種/窓用1種）
一般社団法人ブライダルアライアンス,https://bridal-alliance.com/,,,,https://bridal-alliance.com/contact,,,,,,,,,S｜業界特化Web制作・店舗支援ハブ,ブライダル・写真業界ハブ：ブライダル婚活関連システム提供、婚活イベント企画 出展
創和プロジェクト株式会社,https://www.sowaproject.jp/,,,,https://www.sowaproject.jp/contact/,,,,,,,,,S｜業界特化Web制作・店舗支援ハブ,ブライダル・写真業界ハブ：ウェディングドレスホールセール
孝芳堂株式会社,https://www.drinkkohodo.com/,,,,https://www.drinkkohodo.com/pages/contact,,,,,,,,,S｜業界特化Web制作・店舗支援ハブ,ブライダル・写真業界ハブ：ブライダル業界向け商品・運営支援
株式会社安本武司商店,https://www.yasumoto.jp/powan/,,,,https://www.yasumoto.jp/contact,,,,,,,,,S｜業界特化Web制作・店舗支援ハブ,ブライダル・写真業界ハブ：わんちゃんの本格和装『ポわん』 出展
山崎実業株式会社,https://www.yamajitsu.co.jp/,,,,https://www.yamajitsu.co.jp/pages/contact,,,,,,,,,S｜業界特化Web制作・店舗支援ハブ,ブライダル・写真業界ハブ：カタログギフト【tower】 出展
