brand,url,exhibit,legal_names,fetch,source_url
===== PAGE 8 COLUMN 1 =====,https://www.ucccoffeeprofessional.co.jp/,,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
BirAN,https://www.bir-an.com/,ゲスト参加型結婚証明書comme si.,代表株式会社|お問い合わせ株式会社,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
CALELABO,https://www.calendar-labo.jp/CAZARU/wedding,CAZARU,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
CAN EAT,https://biz.caneat.jp/allergyhearing/,アレルギー対応ITサービス「CAN EAT」,マイプリント株式会社|やPIEM株式会社,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
CʼBON,https://www.cbon.co.jp/net/,肌チェック・化粧品サンプリング,は株式会社,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
DREAMBEER,https://dreambeer.jp/,ビールサーバー,2020株式会社,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
Do,https://do-inc.jp/,,株式会社Do|株式会社ドゥ|会社名株式会社,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
FRAGE BOX(フレイジュボックス),https://fragebox.jp/,業務用フレグランスディフューザー,株式会社イマリ,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
FUNSEE,https://funsee.co.jp/,SNS全般運用,株式会社FUNSEEは|会社名株式会社|アクセス株式会社,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
Flavorule,https://shop.rulecoffee.jp/,コーヒー(飲食・コーヒーギフト),,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
HARUKA AYA,https://harukaaya.com/haruka-aya,ウエディングドレス、パーティードレス 出展,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
HITPAW,https://www.hitpaw.net:443/,AI画像編集システム,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
J-MZ!!,https://j-mz.jp/tiffany/,出展,株式会社|株式会社J-MZ,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
K2（マイプリント・ワイケープロデュース）,https://k2design.co.jp/,,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
KIRARIS,https://www.kiraris.com/,ウェディングフォト,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
Lab by T&GWEDDING,https://tglab-lps.tgn.co.jp/,ウェディングアイテム,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
NATURE OF THINGS inc.,https://shikaketegami.com/,シカケテガミ,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
NORTH,https://www.north-nagano.com/,,合同会社NORTH|合同会社NORTHが手掛ける|IDENTITY合同会社|1679-13合同会社|合同会社NORTHの公式オンラインショップ商品一覧,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
NPO法人 TOKYOウエディングフォーラム,https://tokyo-weddingforum.com/,,制作株式会社|マイプリント株式会社|一般社団法人未来ウエディングJAPAN|一般社団法人港区観光協会,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
PENDROID,https://pendroid.biz/,手書風の文字筆記ロボット,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
PEU・CONNU（プーコニュ）,http://oshibana-de-peuconnu.jp/,押し花ブーケ,,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
PIEM（パイエム）,https://www.piem.jp/,ONE-Wシステム,PIEM株式会社,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
PKBソリューション,https://www.omoide-card-project.jp/,思い出のカード化プロジェクト,株式会社ＰＫＢソリューションの登録商標です,ok,https://bridalnews.co.jp/wp-content/uploads/2026/07/22192f19f81f9289c39ca3f4d2b7b9e1.pdf
