company_name,url,contact_url,区分,検出ワード,source_url
FLENS株式会社,https://www.flens.jp:443/,,S｜業界特化Web制作・店舗支援ハブ,教育業界ハブ：学習塾・予備校向け支援,https://www.flens.jp:443/
ウェブリオ株式会社,https://gras-group.co.jp/,,S｜業界特化Web制作・店舗支援ハブ,教育業界ハブ：教育施設向けICT・業務支援,https://gras-group.co.jp/
エースチャイルド株式会社,https://www.as-child.com/,,S｜業界特化Web制作・店舗支援ハブ,教育業界ハブ：教育機関向け集客・制作支援,https://www.as-child.com/
スタディプラス株式会社,https://info.studyplus.co.jp/,,S｜業界特化Web制作・店舗支援ハブ,教育業界ハブ：教育機関向け集客・制作支援,https://info.studyplus.co.jp/
一般社団法人ICTCONNECT２１,https://ictconnect21.jp/,,S｜業界特化Web制作・店舗支援ハブ,教育業界ハブ：学習塾・予備校向け支援,https://ictconnect21.jp/
一般社団法人日本青少年育成協会,https://www.jyda.jp/,,S｜業界特化Web制作・店舗支援ハブ,教育業界ハブ：学習塾・予備校向け支援,https://www.jyda.jp/
一般社団法人英語４技能･探究学習推進協会,https://esibla.or.jp/about/,,S｜業界特化Web制作・店舗支援ハブ,教育業界ハブ：学習塾・予備校向け支援,https://esibla.or.jp/about/
中央教育研究所株式会社,https://www.chuoh-kyouiku.co.jp/index.php,,S｜業界特化Web制作・店舗支援ハブ,教育業界ハブ：学習塾・予備校向け支援,https://www.chuoh-kyouiku.co.jp/index.php
公益財団法人日本数学検定協会,https://www.su-gaku.net/,,S｜業界特化Web制作・店舗支援ハブ,教育業界ハブ：教育施設向け決済・集金支援,https://www.su-gaku.net/
合同会社ドリーマーズギルド,https://codeadventure.jp/,,S｜業界特化Web制作・店舗支援ハブ,教育業界ハブ：学習塾・予備校向け支援,https://codeadventure.jp/
合資会社マネジメント・ブレイン・アソシエイツ,https://management-brain.co.jp/,,S｜業界特化Web制作・店舗支援ハブ,教育業界ハブ：学習塾・予備校向け支援,https://management-brain.co.jp/
株式会社FREEMIND,https://www.freemind.co.jp/,,S｜業界特化Web制作・店舗支援ハブ,教育業界ハブ：学習塾・予備校向け支援,https://www.freemind.co.jp/
株式会社Lacicu,https://www.lacicu.co.jp/,,S｜業界特化Web制作・店舗支援ハブ,教育業界ハブ：学習塾・予備校向け支援,https://www.lacicu.co.jp/
株式会社POPER,https://poper.co/,,S｜業界特化Web制作・店舗支援ハブ,教育業界ハブ：学習塾・予備校向け支援,https://poper.co/
株式会社アズコミュニケーションズ,https://www.azcom.ne.jp/,,S｜業界特化Web制作・店舗支援ハブ,教育業界ハブ：教育施設向け決済・集金支援,https://www.azcom.ne.jp/
株式会社アローコーポレーション,https://www.allow-web.com/,,S｜業界特化Web制作・店舗支援ハブ,教育業界ハブ：学習塾・予備校向け支援,https://www.allow-web.com/
株式会社インディ,https://indy-hoken.co.jp/,,S｜業界特化Web制作・店舗支援ハブ,教育業界ハブ：教材・テスト・教育コンテンツ支援,https://indy-hoken.co.jp/
株式会社インパクト,https://impact777.jp/,,S｜業界特化Web制作・店舗支援ハブ,教育業界ハブ：学習塾・予備校向け支援,https://impact777.jp/
株式会社イードア,https://www.eightcareer.com/,,S｜業界特化Web制作・店舗支援ハブ,教育業界ハブ：教育施設向けICT・業務支援,https://www.eightcareer.com/
株式会社イーブレインホールディングス,http://www.e-brainshd.co.jp/,,S｜業界特化Web制作・店舗支援ハブ,教育業界ハブ：教育事業向け経営・人材支援,http://www.e-brainshd.co.jp/
株式会社ウィザーズプラス,http://www.wizardz-plus.jp/,,S｜業界特化Web制作・店舗支援ハブ,教育業界ハブ：学習塾・予備校向け支援,http://www.wizardz-plus.jp/
