company_name,url,address,phone,maps_url,contact_url,message,sent_at,status,error_reason,screenshot_path,provider_used,提案区分,H1,区分,検出ワード
FLENS株式会社,https://www.flens.jp:443/,,,,https://www.flens.jp/contact,,,,,,,,,S｜業界特化Web制作・店舗支援ハブ,教育業界ハブ：学習塾・予備校向け支援
ウェブリオ株式会社,https://gras-group.co.jp/,,,,https://gras-group.co.jp/contact/,,,,,,,,,S｜業界特化Web制作・店舗支援ハブ,教育業界ハブ：教育施設向けICT・業務支援
エースチャイルド株式会社,https://www.as-child.com/,,,,https://www.as-child.com/contact/,,,,,,,,,S｜業界特化Web制作・店舗支援ハブ,教育業界ハブ：教育機関向け集客・制作支援
スタディプラス株式会社,https://info.studyplus.co.jp/,,,,https://docs.google.com/forms/d/e/1FAIpQLSef6zVHPYp5BgPGi1PlDF6U5Btj38KZiTX9mlTZ1UaYU9cgXg/viewform?pli=1,,,,,,,,,S｜業界特化Web制作・店舗支援ハブ,教育業界ハブ：教育機関向け集客・制作支援
一般社団法人ICTCONNECT２１,https://ictconnect21.jp/,,,,https://ictconnect21.jp/inquiry/,,,,,,,,,S｜業界特化Web制作・店舗支援ハブ,教育業界ハブ：学習塾・予備校向け支援
一般社団法人日本青少年育成協会,https://www.jyda.jp/,,,,https://www.jyda.jp/contact,,,,,,,,,S｜業界特化Web制作・店舗支援ハブ,教育業界ハブ：学習塾・予備校向け支援
一般社団法人英語４技能･探究学習推進協会,https://esibla.or.jp/about/,,,,https://esibla.or.jp/contact/,,,,,,,,,S｜業界特化Web制作・店舗支援ハブ,教育業界ハブ：学習塾・予備校向け支援
中央教育研究所株式会社,https://www.chuoh-kyouiku.co.jp/index.php,,,,https://www.chuoh-kyouiku.com/mailform/inquiry.html,,,,,,,,,S｜業界特化Web制作・店舗支援ハブ,教育業界ハブ：学習塾・予備校向け支援
公益財団法人日本数学検定協会,https://www.su-gaku.net/,,,,https://www.su-gaku.net/contact,,,,,,,,,S｜業界特化Web制作・店舗支援ハブ,教育業界ハブ：教育施設向け決済・集金支援
合同会社ドリーマーズギルド,https://codeadventure.jp/,,,,https://codeadventure.jp/contact,,,,,,,,,S｜業界特化Web制作・店舗支援ハブ,教育業界ハブ：学習塾・予備校向け支援
合資会社マネジメント・ブレイン・アソシエイツ,https://management-brain.co.jp/,,,,https://management-brain.co.jp/contact/,,,,,,,,,S｜業界特化Web制作・店舗支援ハブ,教育業界ハブ：学習塾・予備校向け支援
株式会社FREEMIND,https://www.freemind.co.jp/,,,,https://www.freemind.co.jp/contact/,,,,,,,,,S｜業界特化Web制作・店舗支援ハブ,教育業界ハブ：学習塾・予備校向け支援
株式会社アズコミュニケーションズ,https://www.azcom.ne.jp/,,,,https://azcom.ne.jp/contact-top,,,,,,,,,S｜業界特化Web制作・店舗支援ハブ,教育業界ハブ：教育施設向け決済・集金支援
株式会社アローコーポレーション,https://www.allow-web.com/,,,,https://www.allow-web.com/contact/,,,,,,,,,S｜業界特化Web制作・店舗支援ハブ,教育業界ハブ：学習塾・予備校向け支援
株式会社インディ,https://indy-hoken.co.jp/,,,,https://indy-hoken.co.jp/contactus,,,,,,,,,S｜業界特化Web制作・店舗支援ハブ,教育業界ハブ：教材・テスト・教育コンテンツ支援
株式会社イードア,https://www.eightcareer.com/,,,,https://www.eightcareer.com/contact,,,,,,,,,S｜業界特化Web制作・店舗支援ハブ,教育業界ハブ：教育施設向けICT・業務支援
株式会社ウィザーズプラス,http://www.wizardz-plus.jp/,,,,https://www.wizardz-plus.jp/contact/sales,,,,,,,,,S｜業界特化Web制作・店舗支援ハブ,教育業界ハブ：学習塾・予備校向け支援
株式会社ウーマンプラスアルファ,https://woman-pa.com/,,,,https://woman-pa.com/contact,,,,,,,,,S｜業界特化Web制作・店舗支援ハブ,教育業界ハブ：学習塾・予備校向け支援
株式会社エジソンクラブ,https://ejisonclub.jp/,,,,https://ejisonclub.jp/contact,,,,,,,,,S｜業界特化Web制作・店舗支援ハブ,教育業界ハブ：学習塾・予備校向け支援
株式会社エムプランニング情報システム,https://www.mplanning-info.com/,,,,https://www.mplanning-info.com/contact/,,,,,,,,,S｜業界特化Web制作・店舗支援ハブ,教育業界ハブ：学習塾・予備校向け支援
