company_name,url,contact_url,区分,検出ワード,source_url
EYL Holdings株式会社,https://eyl-holdings.co.jp/education-school-dx/,,S｜業界特化Web制作・店舗支援ハブ,教育業界ハブ：学習塾・予備校向け支援,https://eyl-holdings.co.jp/education-school-dx/
VISH株式会社,https://www.buscatch.com/scholaplus/,,S｜業界特化Web制作・店舗支援ハブ,教育業界ハブ：学習塾・予備校向け支援,https://www.buscatch.com/scholaplus/
テクノピアン株式会社,https://www.technosms.com/lp/tutoring/,,S｜業界特化Web制作・店舗支援ハブ,教育業界ハブ：学習塾・予備校向け支援,https://www.technosms.com/lp/
合同会社CROP,https://dd929.com/,,S｜業界特化Web制作・店舗支援ハブ,教育業界ハブ：学習塾・予備校向け支援,https://oneread.jp/service/
合同会社ウノマス,https://unomas.jp/lp-juku/,,S｜業界特化Web制作・店舗支援ハブ,教育業界ハブ：学習塾・予備校向け支援,https://unomas.jp/lp-juku/
株式会社TSパートナーズ,https://jukugo-cloud.com/,,S｜業界特化Web制作・店舗支援ハブ,教育業界ハブ：学習塾・予備校向け支援,https://jukugo-cloud.com/
株式会社cantik,https://cantik.co.jp/school/,,S｜業界特化Web制作・店舗支援ハブ,教育業界ハブ：学習塾・予備校向け支援,https://cantik.co.jp/school/
株式会社スタディクラウド,https://studycloud.co.jp/,,S｜業界特化Web制作・店舗支援ハブ,教育業界ハブ：学習塾・予備校向け支援,https://studycloud.co.jp/
株式会社トキツカゼ,https://www.tokitsukaze-edu.jp/,,S｜業界特化Web制作・店舗支援ハブ,教育業界ハブ：学習塾・予備校向け支援,https://www.tokitsukaze-edu.jp/
株式会社プロブレイン,https://pbtokyo.co.jp/,,S｜業界特化Web制作・店舗支援ハブ,教育業界ハブ：学習塾・予備校向け支援,https://pbtokyo.co.jp/
