company_name,url,contact_url,区分,検出ワード,source_url
FLENS株式会社,https://www.flens.jp:443/,https://www.flens.jp/contact,S｜業界特化Web制作・店舗支援ハブ,教育業界ハブ：学習塾・予備校向け支援,https://www.flens.jp:443/
ウェブリオ株式会社,https://gras-group.co.jp/,https://gras-group.co.jp/contact/,S｜業界特化Web制作・店舗支援ハブ,教育業界ハブ：教育施設向けICT・業務支援,https://gras-group.co.jp/
エースチャイルド株式会社,https://www.as-child.com/,https://www.as-child.com/contact/,S｜業界特化Web制作・店舗支援ハブ,教育業界ハブ：教育機関向け集客・制作支援,https://www.as-child.com/
スタディプラス株式会社,https://info.studyplus.co.jp/,https://docs.google.com/forms/d/e/1FAIpQLSef6zVHPYp5BgPGi1PlDF6U5Btj38KZiTX9mlTZ1UaYU9cgXg/viewform?pli=1,S｜業界特化Web制作・店舗支援ハブ,教育業界ハブ：教育機関向け集客・制作支援,https://info.studyplus.co.jp/
一般社団法人ICTCONNECT２１,https://ictconnect21.jp/,https://ictconnect21.jp/inquiry/,S｜業界特化Web制作・店舗支援ハブ,教育業界ハブ：学習塾・予備校向け支援,https://ictconnect21.jp/
一般社団法人日本青少年育成協会,https://www.jyda.jp/,https://www.jyda.jp/contact,S｜業界特化Web制作・店舗支援ハブ,教育業界ハブ：学習塾・予備校向け支援,https://www.jyda.jp/
一般社団法人英語４技能･探究学習推進協会,https://esibla.or.jp/about/,https://esibla.or.jp/contact/,S｜業界特化Web制作・店舗支援ハブ,教育業界ハブ：学習塾・予備校向け支援,https://esibla.or.jp/about/
中央教育研究所株式会社,https://www.chuoh-kyouiku.co.jp/index.php,https://www.chuoh-kyouiku.com/mailform/inquiry.html,S｜業界特化Web制作・店舗支援ハブ,教育業界ハブ：学習塾・予備校向け支援,https://www.chuoh-kyouiku.co.jp/index.php
公益財団法人日本数学検定協会,https://www.su-gaku.net/,https://www.su-gaku.net/contact,S｜業界特化Web制作・店舗支援ハブ,教育業界ハブ：教育施設向け決済・集金支援,https://www.su-gaku.net/
合同会社ドリーマーズギルド,https://codeadventure.jp/,https://codeadventure.jp/contact,S｜業界特化Web制作・店舗支援ハブ,教育業界ハブ：学習塾・予備校向け支援,https://codeadventure.jp/
合資会社マネジメント・ブレイン・アソシエイツ,https://management-brain.co.jp/,https://management-brain.co.jp/contact/,S｜業界特化Web制作・店舗支援ハブ,教育業界ハブ：学習塾・予備校向け支援,https://management-brain.co.jp/
株式会社FREEMIND,https://www.freemind.co.jp/,https://www.freemind.co.jp/contact/,S｜業界特化Web制作・店舗支援ハブ,教育業界ハブ：学習塾・予備校向け支援,https://www.freemind.co.jp/
株式会社Lacicu,https://www.lacicu.co.jp/,https://www.lacicu.co.jp/contact,S｜業界特化Web制作・店舗支援ハブ,教育業界ハブ：学習塾・予備校向け支援,https://www.lacicu.co.jp/
株式会社POPER,https://poper.co/,https://poper.co/contact,S｜業界特化Web制作・店舗支援ハブ,教育業界ハブ：学習塾・予備校向け支援,https://poper.co/
株式会社アズコミュニケーションズ,https://www.azcom.ne.jp/,https://azcom.ne.jp/contact-top,S｜業界特化Web制作・店舗支援ハブ,教育業界ハブ：教育施設向け決済・集金支援,https://www.azcom.ne.jp/
株式会社アローコーポレーション,https://www.allow-web.com/,https://www.allow-web.com/contact/,S｜業界特化Web制作・店舗支援ハブ,教育業界ハブ：学習塾・予備校向け支援,https://www.allow-web.com/
株式会社インディ,https://indy-hoken.co.jp/,https://indy-hoken.co.jp/contactus,S｜業界特化Web制作・店舗支援ハブ,教育業界ハブ：教材・テスト・教育コンテンツ支援,https://indy-hoken.co.jp/
株式会社インパクト,https://impact777.jp/,https://impact777.jp/contact,S｜業界特化Web制作・店舗支援ハブ,教育業界ハブ：学習塾・予備校向け支援,https://impact777.jp/
株式会社イードア,https://www.eightcareer.com/,https://www.eightcareer.com/contact,S｜業界特化Web制作・店舗支援ハブ,教育業界ハブ：教育施設向けICT・業務支援,https://www.eightcareer.com/
株式会社イーブレインホールディングス,http://www.e-brainshd.co.jp/,http://www.e-brainshd.co.jp/contact,S｜業界特化Web制作・店舗支援ハブ,教育業界ハブ：教育事業向け経営・人材支援,http://www.e-brainshd.co.jp/
株式会社ウィザーズプラス,http://www.wizardz-plus.jp/,https://www.wizardz-plus.jp/contact/sales,S｜業界特化Web制作・店舗支援ハブ,教育業界ハブ：学習塾・予備校向け支援,http://www.wizardz-plus.jp/
