company_name,url,contact_url,区分,検出ワード,source_url
HIROM株式会社,https://hirom.co.jp/,https://hirom.co.jp/pages/contact,S｜業界特化Web制作・店舗支援ハブ,葬祭・供養業界ハブ：HARIOの耐熱ガラスを用いたメモリアルポットを出展。 山中塗りと有田焼、本金の金彩を組み合わせた上質な骨壺を中心に、手元供養からペット供養まで、暮らしに馴染む葬祭用品をご提案します。 出展製品情報,https://f-vr.jp/sogo-unicom/enq/web/funeral2026/detail.cgi?id=33
SDRS株式会社,https://www.sdrs.inc/,https://www.sdrs.inc/inquiry/index.html,S｜業界特化Web制作・店舗支援ハブ,葬祭・供養業界ハブ：ご遺体安置冷蔵庫、コーヒーマシン、物販自動販売機 出展製品情報 ご遺体安置冷蔵庫,https://f-vr.jp/sogo-unicom/enq/web/funeral2026/detail.cgi?id=58
つむぎ株式会社,https://tsumugi-mirai.jp/,https://tsumugi-mirai.jp/contact/,S｜業界特化Web制作・店舗支援ハブ,葬祭・供養業界ハブ：採用・教育・評価・理念浸透を学べる葬祭業界特化の経営者コミュニティ「ヒトラボ」。入会費無料、月会費1.1万円で毎月全国の葬儀経営者が集い、本気で人と組織について考え、学び、情報共有をしています。30社限定。そのほかつむぎが提供するサービスは,https://f-vr.jp/sogo-unicom/enq/web/funeral2026/detail.cgi?id=90
イワタ株式会社,https://medical-iwata.co.jp/,https://medical-iwata.co.jp/contact/,S｜業界特化Web制作・店舗支援ハブ,葬祭・供養業界ハブ：遺体処置用品、衛生材料、エンバーミング、除菌消臭剤、湯灌・寝台車、メイク用品、処置講習 【デモ】ご遺体処置講習／エアブラシの実演 ご遺体処置講習や、現場の声から生まれた湯灌浴槽クリーニングを初公開。技術と製品の両面から葬送の質向上を提案しま,https://f-vr.jp/sogo-unicom/enq/web/funeral2026/detail.cgi?id=12
クリザール・ジャパン株式会社,https://www.chrysal.com/ja,https://www.chrysal.com/ja/contact,S｜業界特化Web制作・店舗支援ハブ,葬祭・供養業界ハブ：オランダに本社を置くクリザールは花の生産者、流通、小売、消費者まで世界中で使用されている鮮度保持剤です。 切り花(生花)用鮮度保持剤を各種ご提案しております。 切り花の鮮度管理でお困りの事がございましたらお気軽にご相談ください。,https://f-vr.jp/sogo-unicom/enq/web/funeral2026/detail.cgi?id=125
サントイ株式会社,https://suntoy.co.jp/,https://suntoy.co.jp/contact/,S｜業界特化Web制作・店舗支援ハブ,葬祭・供養業界ハブ：弊社は昭和３６年創業の炉メーカーです。 ご要望、状況に合わせて選んでいただけるよう、豊富なラインナップを取り揃え、様々なニーズにお応えいたします。 自社でもペット霊園・訪問火葬を運営しておりますので、新規事業の際の開業支援もお手伝いさせてい,https://f-vr.jp/sogo-unicom/enq/web/funeral2026/detail.cgi?id=108
ベーシック株式会社,https://www.sougi-call.jp/,https://www.sougi-call.jp/contact/,S｜業界特化Web制作・店舗支援ハブ,葬祭・供養業界ハブ：葬儀社様、葬儀会館向け環境・脱炭素（GX）ソリューション 葬儀専門電話代行コールセンター、 葬儀専門チラシデザイン / ホームページ制作、,https://f-vr.jp/sogo-unicom/enq/web/funeral2026/detail.cgi?id=7
マークスライフ株式会社,https://marks-house.jp/,https://marks-house.jp/contact,S｜業界特化Web制作・店舗支援ハブ,葬祭・供養業界ハブ：ご葬儀後の相続不動産・空き家管理のお悩みに応え、葬儀社様の本業外収益を創出。ご葬家様との接点を継続し、相続・売却・法要・リピート施行へつなげるストック型不動産収益獲得モデルです。 出展製品情報 0円空き家管理,https://f-vr.jp/sogo-unicom/enq/web/funeral2026/detail.cgi?id=106
リミット通販株式会社,https://www.limit-tsuhan.com/lifin/,https://www.limit-tsuhan.com/lifin/contact.html,S｜業界特化Web制作・店舗支援ハブ,葬祭・供養業界ハブ：“その一着が、ご遺族に届ける最初の安心になる”をテーマに、信頼感を伝えるオリジナルユニフォームや猛暑対策ウエア等、快適さと品格を両立した商品をご提案。暑さ対策は働く人だけでなく、ご遺族への安心にもつながる時代へ。ぜひ試着してご体感ください。,https://f-vr.jp/sogo-unicom/enq/web/funeral2026/detail.cgi?id=9
リンテアライン株式会社,https://rintealign.com/,https://rintealign.com/contact/,S｜業界特化Web制作・店舗支援ハブ,葬祭・供養業界ハブ：お葬式は自分で決める時代へ 約9割の人が、お葬式を亡くなる直前・直後に決めています。限られた時間の中での判断は、ご本人にもご家族にも大きな負担です。「そなえるお葬式」は、自分らしいお葬式を事前に決めて契約できる新しい仕組み。安心を届ける活動,https://f-vr.jp/sogo-unicom/enq/web/funeral2026/detail.cgi?id=127
一般社団法人日本動物葬儀霊園協会,https://ndsrk.org/,https://ndsrk.org/toiawase/,S｜業界特化Web制作・店舗支援ハブ,葬祭・供養業界ハブ：動物葬祭ディレクター検定試験のご案内 動物葬祭概論第４版②販売およびご案内 ペット葬祭のご案内,https://f-vr.jp/sogo-unicom/enq/web/funeral2026/detail.cgi?id=116
伊坪ビジネス株式会社,https://www.azure.jp/,https://www.azure.jp/contact-us/,S｜業界特化Web制作・店舗支援ハブ,葬祭・供養業界ハブ：マルチ認証による受付無人化とExcel香典帳の即時生成。 地域特有の風習（北海道の領収書、北関東の新生活等）に標準対応。 喪家専用『悠WEB』による囲い込み戦略も提案。,https://f-vr.jp/sogo-unicom/enq/web/funeral2026/detail.cgi?id=63
大栄株式会社,https://www.butsui.com/,https://www.butsui.com/inquiry,S｜業界特化Web制作・店舗支援ハブ,葬祭・供養業界ハブ：待望の仏衣新作の発表、大栄仏衣83着の中からご遺族の満足度の高い仏衣や葬儀社様から「案内しやすい」と評判の仏衣の展示。更に、2年前に女性向けを発売し好評をいただいた仏衣の男性向けをご覧いただけます。そして目玉は、仏衣＋αの商品。ご満足いただ,https://f-vr.jp/sogo-unicom/enq/web/funeral2026/detail.cgi?id=14
大額株式会社,https://daigakuframe.co.jp/,https://daigakuframe.co.jp/contact,S｜業界特化Web制作・店舗支援ハブ,葬祭・供養業界ハブ：遺影額をはじめとした額縁関連商品、メモリアル商品の製造・販売 出展製品情報 付帯サービス,https://f-vr.jp/sogo-unicom/enq/web/funeral2026/detail.cgi?id=45
