company_name,url,contact_url,evidence,source_url,fetch
AgeRobotics株式会社,https://smartsougi.jp/,,①スマート葬儀：接客・受注のDX体験。②SusBase：環境配慮と効率化を両立する祭壇ベース実機展示。③人材紹介：業界特化の「HIBIYAキャリアアソシエイツ」「スマート葬儀ジョブ」による最適解を提案。IT・人財・花の融合で葬儀運営の課題をトータルに解決します。 出展製品情報 New,https://f-vr.jp/sogo-unicom/enq/web/funeral2026/detail.cgi?id=13,ok
HIROM株式会社,https://hirom.co.jp/,https://hirom.co.jp/pages/contact,HARIOの耐熱ガラスを用いたメモリアルポットを出展。 山中塗りと有田焼、本金の金彩を組み合わせた上質な骨壺を中心に、手元供養からペット供養まで、暮らしに馴染む葬祭用品をご提案します。 出展製品情報,https://f-vr.jp/sogo-unicom/enq/web/funeral2026/detail.cgi?id=33,ok
LIFE INNOVATION株式会社,https://www.kizuna-tsunagu.jp/,,高齢の方でも使い慣れているLINEで、孫とメッセージをやり取りする感覚で簡単に操作できるサービス。死亡届等の行政手続きをご遺族のスマホに通知して顧客満足度向上を図り、さらに新盆や一周忌等も通知して葬儀社様の売上増加を支援。スタッフの電話対応も減少して人件費削減、業務効率化を支援。 出展製品情報 相続サポート キズナつなぐ（特許取得済）,https://f-vr.jp/sogo-unicom/enq/web/funeral2026/detail.cgi?id=149,ok
QLCプロデュース株式会社,https://www.qlc.co.jp/,https://www.qlc.co.jp/contact/,新たな社会課題の裏にビジネスチャンスがあります！高齢者の皆さまの自立した生活をサポートするために誕生したデイサービス「レッツ倶楽部」「ブリッジライフ」の加盟パートナーを募集。景気・社会情勢に左右されないリハビリ特化型デイサービス事業への参入をサポートいたします。 出展製品情報 自立支援型デイサービス「レッツ倶楽部」,https://f-vr.jp/sogo-unicom/enq/web/funeral2026/detail.cgi?id=83,ok
SDRS株式会社,https://www.sdrs.inc/,https://www.sdrs.inc/inquiry/index.html,ご遺体安置冷蔵庫、コーヒーマシン、物販自動販売機 出展製品情報 ご遺体安置冷蔵庫,https://f-vr.jp/sogo-unicom/enq/web/funeral2026/detail.cgi?id=58,ok
abs株式会社,https://revibot.jp/,,葬祭業界の業務効率化とDX推進をサポートするソリューションを提供しています。また、最新のテクノロジーを活用しAIやITの力で、故人様の想い出をリアルに体験できる「もう一度逢いたい」という想いに寄り添うサービスを展開しています。 出展製品情報 New,https://f-vr.jp/sogo-unicom/enq/web/funeral2026/detail.cgi?id=4,ok
ずゞや株式会社,https://www.zuzuya.co.jp/,,葬具用品、位牌、モダン仏壇、手元供養品、仏具、ソウルジュエリーなど、多様なニーズに対応した商材を展示いたします。 出展製品情報 New,https://f-vr.jp/sogo-unicom/enq/web/funeral2026/detail.cgi?id=19,ok
つむぎ株式会社,https://tsumugi-mirai.jp/,https://tsumugi-mirai.jp/contact/,採用・教育・評価・理念浸透を学べる葬祭業界特化の経営者コミュニティ「ヒトラボ」。入会費無料、月会費1.1万円で毎月全国の葬儀経営者が集い、本気で人と組織について考え、学び、情報共有をしています。30社限定。そのほかつむぎが提供するサービスは出展製品情報をご覧ください。 出展製品情報 人・組織創りLabo ”ヒトラボ”,https://f-vr.jp/sogo-unicom/enq/web/funeral2026/detail.cgi?id=90,ok
イワタ株式会社,https://medical-iwata.co.jp/,https://medical-iwata.co.jp/contact/,遺体処置用品、衛生材料、エンバーミング、除菌消臭剤、湯灌・寝台車、メイク用品、処置講習 【デモ】ご遺体処置講習／エアブラシの実演 ご遺体処置講習や、現場の声から生まれた湯灌浴槽クリーニングを初公開。技術と製品の両面から葬送の質向上を提案します。,https://f-vr.jp/sogo-unicom/enq/web/funeral2026/detail.cgi?id=12,ok
エプソン販売株式会社,https://www.epson.jp/,https://www.epson.jp/contact/,葬祭関連業の課題に対して3つのソリューションをご提案 ①プロジェクターによる集客・誘導・宣伝 ②プリンター活用による即時印刷と内製化,https://f-vr.jp/sogo-unicom/enq/web/funeral2026/detail.cgi?id=86,ok
クリザール・ジャパン株式会社,https://www.chrysal.com/ja,https://www.chrysal.com/ja/contact,オランダに本社を置くクリザールは花の生産者、流通、小売、消費者まで世界中で使用されている鮮度保持剤です。 切り花(生花)用鮮度保持剤を各種ご提案しております。 切り花の鮮度管理でお困りの事がございましたらお気軽にご相談ください。,https://f-vr.jp/sogo-unicom/enq/web/funeral2026/detail.cgi?id=125,ok
サントイ株式会社,https://suntoy.co.jp/,https://suntoy.co.jp/contact/,弊社は昭和３６年創業の炉メーカーです。 ご要望、状況に合わせて選んでいただけるよう、豊富なラインナップを取り揃え、様々なニーズにお応えいたします。 自社でもペット霊園・訪問火葬を運営しておりますので、新規事業の際の開業支援もお手伝いさせていただきます。,https://f-vr.jp/sogo-unicom/enq/web/funeral2026/detail.cgi?id=108,ok
ダイナコムウェア株式会社,https://www.dynacw.co.jp/,https://www.dynacw.co.jp/support/support_inquiry.aspx,明朝体やゴシック体、楷書体などの毛筆系各書体まで、外字を正しく美しく表示できる外字書体および外字製品を提供するダイナコムウェア株式会社では、文字を大切にするさまざまな業界で導入いただいている外字の懸案事項を円満に解決できる製品「外字フォント製品」をご紹介します。 出展製品情報 外字ソリューション製品「外字サーバＥＶ」,https://f-vr.jp/sogo-unicom/enq/web/funeral2026/detail.cgi?id=48,ok
トモエ陶業株式会社,https://tomoetogyo.jp/,https://tomoetogyo.jp/contact,私どもトモエ陶業がご提案するのは、普遍の価値。 時代に左右されることなく、永続的な品質です。 伝統技術が息づく彩りから、現代の暮らしに溶け込む洗練されたデザインまで。,https://f-vr.jp/sogo-unicom/enq/web/funeral2026/detail.cgi?id=25,ok
トルゼ（株式会社オートルリーブ）,https://toruze.jp/,,葬儀社専門コールセンターの新しい選択肢、TORUZE（トルゼ）。葬儀の実践知とAI技術を融合し、独自開発のスクリプト＆システムにより受注率向上、夜間・休日の業務負担軽減、全通話をマーケティングデータとして蓄積することを実現。葬儀経験者多数在籍。ブースでは実際のデモを行います。 出展製品情報 New,https://f-vr.jp/sogo-unicom/enq/web/funeral2026/detail.cgi?id=46,ok
ベーシック株式会社,https://www.sougi-call.jp/,https://www.sougi-call.jp/contact/,葬儀社様、葬儀会館向け環境・脱炭素（GX）ソリューション 葬儀専門電話代行コールセンター、 葬儀専門チラシデザイン / ホームページ制作、,https://f-vr.jp/sogo-unicom/enq/web/funeral2026/detail.cgi?id=7,ok
マックス株式会社,https://www.max-ltd.co.jp/,https://www.max-ltd.co.jp/toiawase/,筆耕ソフト 書家の筆 感熱プロッタRP-1000F、RP-395T カッテングプロッタCM-420 カッテング＆プリンティング CPM-100H6 出展製品情報 筆耕ソフト 書家の筆SF-800,https://f-vr.jp/sogo-unicom/enq/web/funeral2026/detail.cgi?id=17,ok
マークスライフ株式会社,https://marks-house.jp/,https://marks-house.jp/contact,ご葬儀後の相続不動産・空き家管理のお悩みに応え、葬儀社様の本業外収益を創出。ご葬家様との接点を継続し、相続・売却・法要・リピート施行へつなげるストック型不動産収益獲得モデルです。 出展製品情報 0円空き家管理,https://f-vr.jp/sogo-unicom/enq/web/funeral2026/detail.cgi?id=106,ok
