display_name,company_name,url,contact_url,evidence,source_url,fetch
Paintnote株式会社,Paintnote株式会社,https://saposuke.jp/,https://saposuke.jp/contact, サポスケは、現場仕事向けのスケジュール管理クラウドです。Excelやホワイトボードなどで行なっている現場とスタッフのスケジュール管理・共有を、シンプルな操作で大きく効率化。ビルメンテナンス、清掃、専門工事、警備、訪問看護・介護など多くの業種で、サポスケを活用し、スケジュール管理のDXを実現しています。,https://www.bmfairtokyo.net/exhibitors/,ok
アイリスオーヤマ株式会社,アイリスオーヤマ株式会社,https://www.irisohyama.co.jp/b2b/robotics/products/cleaningrobot/,https://www.irisohyama.co.jp/led/houjin/information/, アイリスオーヤマで初めて完全内製化されたAIエージェント搭載の清掃ロボット「JILBY」や、警備ロボット「SQ-2」をはじめ、お客様に最適なロボットをご案内致します。清掃ロボット分野におけるベンダーシェアNo.1の実績で培った豊富な知見をもとに、人手不足や業務負荷が深刻化するビルメンテナンス現場を支援します。日常清掃・巡回警備業務などに対し、現場運用を見据,https://www.bmfairtokyo.net/exhibitors/,ok
アシオット株式会社,アシオット株式会社,https://asmart.ai/,https://asmart.ai/request/, A Smart（エースマート）は、メーター検針および点検業務の無人化で最大90％の業務負荷を削減する、スマートメーターに替わる選択肢です。 ・ 電気、ガス、水道といったあらゆるメーカーのメーターに ・ 検針および点検から請求書自動作成までを完全無人化 ・ 30分毎/毎時/毎日/毎月の設定タイミングで、現地へ行かず遠隔自動検針 ・ テキストデータだけでなく撮,https://www.bmfairtokyo.net/exhibitors/,ok
インテックスソリューション株式会社,インテックスソリューション株式会社,https://intexsolution.jp/,https://intexsolution.jp/asking/, 「清潔は人と社会、そして未来を豊かにする」を理念に、ビルメンテナンス現場の課題解決に取り組むインテックスソリューション株式会社です。 今回の展示会では、3つの新製品・新サービスをご紹介します。「TIONEX」は、チタン膜コーティングにより清掃時間・回数を大幅に削減できる次世代コーティング剤。「Re-SITE」は、現場の清掃手順・方法を再設計し、専用アプリで,https://www.bmfairtokyo.net/exhibitors/,ok
サンリョウ株式会社,サンリョウ株式会社,https://33ryou.com/,https://33ryou.com//category/information/, ビルの地下に設置されている汚水槽には様々なものが流入してくる。特に不織布系がポンプを詰まらせてしまいメンテナンス担当者は２４時間３６５日対応している。ゲンチシュートは流入してくる汚水を一旦特殊なカートリッジ（網）で受けて水によって粉々にならない不織布等を受けたカートリッジ内に留めることで汲み上げポンプが詰まらないようにする装置。ポンプ詰まり防止対策商品です,https://www.bmfairtokyo.net/exhibitors/,ok
シーバイエス株式会社,シーバイエス株式会社,https://cxs.co.jp/,https://cxs.co.jp/contact/, “私たちの仕事は、地球上のすべての人に向けられています。 赤ちゃんからお年寄りまで、人の大切な日常空間を、きれい・安全・安心に保つことが仕事です。 決して表に出ることはありませんが、私たちはその仕事に誇りを感じています。 人が暮らす場に潤いと活力をもたらすことで、いのちがいきいきと輝く社会へとつなげてゆきたい。 そのためにも絶えず進化するソリューションをご,https://www.bmfairtokyo.net/exhibitors/,ok
ダイキン工業株式会社,ダイキン工業株式会社,https://www.itec.daikin.co.jp/dk-connect-bm/,https://www.itec.daikin.co.jp/qx/nonconformity_management/, DK-CONNECT BMは、建物管理に関わる情報をクラウド上で一元管理できる建物管理クラウド型台帳システムです。ブースでは、建物情報や設備台帳、点検結果、不具合履歴などをどのように管理・活用できるか、実際の画面を交えてご紹介します。紙やExcelでの管理、情報の散在、属人化に課題を感じている方は、ぜひブースで操作感をご体感ください。,https://www.bmfairtokyo.net/exhibitors/,ok
ビューローベリタスジャパン株式会社,ビューローベリタスジャパン株式会社,https://www.buil-repo.com/,, ビューローベリタスは、建物の安全性向上と長寿命化に向けた各種点検サービスを全国で提供しています。ブースでは、建物に関するあらゆる課題についてご相談を承ります。 実績例：複合ビル、大学、病院、大型ショッピングモール、チェーン店舗 ■ 12条点検（建築基準法第12条 定期報告） 特定建築物定期調査、建築設備・防火設備検査などの法定点検 ■ 外壁調査（打診・ドロ,https://www.bmfairtokyo.net/exhibitors/,ok
ミッケル化学株式会社,ミッケル化学株式会社,https://miccheal.co.jp/,https://miccheal.co.jp/contact, 人と環境にやさしい製品で、日常作業から定期管理まで、作業される方の視点に立ち負担軽減や省力化・効率化を実現する製品をご提案いたします。,https://www.bmfairtokyo.net/exhibitors/,ok
公益財団法人日本環境協会 エコマーク事務局,公益財団法人日本環境協会 エコマーク事務局,https://www.ecomark.jp/,https://www.ecomark.jp/contact/, いまやあたりまえとなっている環境配慮は、ビルメンテナンスにおいても欠かせません。高い認知度と信頼性を備えた第三者認証の「エコマーク」は、環境配慮型商品であることの証明として、清掃サービスと清掃用資材でも、大いに活用することができます。 ①エコマーク認定「清掃サービス」は、意識の高いビルオーナーや国等機関・公共施設に選ばれています。 ②エコマーク認定「清掃資,https://www.bmfairtokyo.net/exhibitors/,ok
