company_name,url,address,phone,maps_url,contact_url,message,sent_at,status,error_reason,screenshot_path,provider_used,提案区分,H1,区分,検出ワード
株式会社10X,https://10x.co.jp/,,,,https://10x.co.jp/contact,,,,,,,,,A｜POS・予約・店舗DX・OA販売,店舗DXハブ：10Xは小売業のDXを支えるプラットフォーム「Stailer」を提供している。ネットスーパーやAI発注、AIプライシングなどスーパーの経営課題に直結するプロダクト群を展開している 
GROWIT株式会社,https://www.growit.jp/,,,,https://www.growit.jp/contact,,,,,,,,,A｜POS・予約・店舗DX・OA販売,店舗DXハブ：カスタマイズ可能なBOSTEC製券売機、卓上型blayn製券売機を提案・展示。また小売業に特化したMDシステム「Unicage Retail」は、大量データの高速処理が可能。また、連携するiPadPOSレジは、レンタルにて必要機材を揃えるこ
株式会社J＆J,https://j-taxfree.jp:443/,,,,https://j-taxfree.jp:443/contact/,,,,,,,,,A｜POS・予約・店舗DX・OA販売,店舗DXハブ：「J-TaxFreeシステム」は免税手続きを端末1台で完結し、2026年11月の免税制度改正にも一気通貫対応するシステムである。「Beaver Delivery」は購入品を国外へ迅速配送し、訪日客の手ぶら観光を実現する。両サービスとも店舗業
Lazuli株式会社,https://lazuli.ninja/,,,,https://lazuli.ninja/contact/,,,,,,,,,A｜POS・予約・店舗DX・OA販売,店舗DXハブ：Lazuliは、生成AIを活用した商品データ基盤「Lazuli PDP」を提供する。PDFや画像、バラバラな形式のExcelなど「非構造化データ」の自動構造化を実現する。高度なAIが商品情報を瞬時に解析・名寄せし、特徴タグを付与することで、
株式会社エムジェイワイコンサルタント,https://mjy-consult.com/,,,,https://mjy-consult.com/guide,,,,,,,,,A｜POS・予約・店舗DX・OA販売,店舗DXハブ：駅ビル・ショッピングモールなど商業施設に特化した、店舗出店・リーシングのリーディングカンパニーが手がけるビッグデータを活用した出店サポート 
株式会社SJC,https://www.sjc-sendai.co.jp/,,,,https://www.sjc-sendai.co.jp/contact/,,,,,,,,,A｜POS・予約・店舗DX・OA販売,店舗DXハブ：・「iSYS」は様々な業態に対応可能な小売店様向けの基幹システム AIを活用した自動発注の取り組みもご紹介。 ・「NEXT」は食品製造業様向けの販売管理システム EDI連携実績も多くあり、製造原価管理機能や需要予測機能もご提供可能。 
株式会社TIプランニング,https://paymentnavi.com/,,,,https://paymentnavi.com/contact,,,,,,,,,A｜POS・予約・店舗DX・OA販売,店舗DXハブ：当社ではカード情報ポータルサイト「payment navi(ペイメントナビ)」を運営している。本展示会では、冊子「決済・金融・流通サービスの強化書2026」(新刊)を配布する。また、プレミアム情報「Paymentnavi Pro2024」、
株式会社iTAN,https://itans.jp/,,,,https://itans.jp/contact/,,,,,,,,,A｜POS・予約・店舗DX・OA販売,店舗DXハブ：スマホアプリ開発サービス『iSIN』の提供・運営。 通常、数千万近くかかるアプリ開発を初期費用/開発費用を抑えて実現できるアプリ開発サービス。 マーケティングチャネル、エンゲージメント向上、新ソリューション提供など多種多様なニーズに応えるサ
株式会社infonerv,https://www.infonerv.com/,,,,https://infonerv.com/contact/,,,,,,,,,A｜POS・予約・店舗DX・OA販売,店舗DXハブ：東京大学発のAIスタートアップ(株)infonervが提供する、自動発注AI「α-発注」を展示する。実際の管理画面を見たり、操作することができる。 
アイティアクセス株式会社,https://www.itaccess.co.jp/fintech/,,,,https://www.itaccess.co.jp/fintech/contact/,,,,,,,,,A｜POS・予約・店舗DX・OA販売,店舗DXハブ：無人店舗・自販機向けのキャッシュレス決済端末及び決済サービスを紹介。当社の製品は、電子マネー、コード決済、非接触クレジットカード、職域決済(顔認証/社員証カード)に対応しており、幅広いニーズに対応可能。また、高速・安全・簡単な決済を実現し、
