display_name,url,contact_url,evidence,source_url,company_name,fetch
10X,https://10x.co.jp/,https://10x.co.jp/contact,10Xは小売業のDXを支えるプラットフォーム「Stailer」を提供している。ネットスーパーやAI発注、AIプライシングなどスーパーの経営課題に直結するプロダクト群を展開している ,https://messe.nikkei.co.jp/exhibitor/info/RT/ja/24892/,株式会社10X,ok
AUO DISPLAY PLUSジャパン,https://www.auodplus.com/,,AUO Display Plus は、ディスプレイ技術をコアとして、ユーザーが抱えているペインポイントやニーズに基づき、小売、企業、教育、交通および医療看護の分野で、高度に統合された、より高効率で、より高精度のソフトウェア・ハードウェアによるソリューションを提供しています。さらに、専門的な提携パートナーと共同で、トータルソリューションとワンストップ式サービス,https://messe.nikkei.co.jp/exhibitor/info/RT/ja/25248/,,SSLError
Asobica,https://coorum.jp/,https://coorum.jp/inquiry/,顧客の本音(EoC)をデータ化・分析し、あらゆるCX(顧客体験)の価値を最大化する「coorum community」「coorum research」「coorum insight」の3つのソリューションを展示。来店動機の発見・顧客解像度の向上・ロイヤリティ/LTV向上につながるインサイトの発見を実現し、事業成長を加速する具体施策の検討・実証までを支援。 ,https://messe.nikkei.co.jp/exhibitor/info/RT/ja/24339/,,ok
Axiomtek,https://www.axiomtek.com/,https://www.axiomtek.com/products/systems-and-platforms/edge-ai-gpu-computing/nvidia-jetson-system/,本展示会では、Axiomtekは最先端の技術と堅実なエンジニアリングを融合させた製品を紹介し、小売環境向けに、信頼性の高いインテリジェントソリューションを提供する。 最大90%のリサイクル素材で作られた製品は、小売業界の、より環境に優しく持続可能な未来の実現に貢献する。 ,https://messe.nikkei.co.jp/exhibitor/info/RT/ja/24591/,,ok
BIPROGY,https://www.biprogy.com/,https://www.biprogy.com/contact,小売業務を支援するシステムを1980年代より提供してきたBIPROGYは、システムインフラから業務アプリケーションまで、業務プロセスに沿ったソリューションをトータルでご提案し、お客様のICT環境の最適化をご支援。MD基幹システムのみならず、AI自動発注や電子棚札など、最新のソリューションをお客様活用事例も含めてご紹介。 ,https://messe.nikkei.co.jp/exhibitor/info/RT/ja/24921/,,ok
BLUEBIRD,https://www.bluebirdcorp.com/?lang=JP,,Bluebirdは、エンタープライズIoTインフラのためのコンサルティングおよびカスタマイズソリューションを提供する、エンタープライズIoTトータルソリューションプロバイダである。 120ヵ国、3000社の顧客が選定したブルーバードの技術リーダーシップは、グローバル市場における核心競争力である。 ,https://messe.nikkei.co.jp/exhibitor/info/RT/ja/24413/,,ConnectionError
CREiST,https://www.creist.co.jp/,https://www.creist.co.jp/recruit/contact/,CREiSTでは、電子棚札(ESL)および電子ペーパーを活用した、流通・小売業様向けソリューションを展示しています。電子棚札導入の重要なポイントは、導入後の安定運用とスタッフの業務負担軽減を見据え、課題に即した最適な提案を行うことです。導入設計から運用フェーズまでを一貫して支援し、現場負担の軽減とお客様満足度の向上を実現する店舗づくりをご提案します。 ,https://messe.nikkei.co.jp/exhibitor/info/RT/ja/24913/,株式会社CREiST,ok
Castles Technology,https://www.castlestech.com/,https://www.castlestech.com/contacts/,Castles Technologyは、グローバルな決済ソリューションプロバイダーである。今回の展示会では、軽量かつ高性能なAndroid端末「S1E4 PRO」を紹介する。飲食、小売、百貨店など、様々な業種でスムーズなキャッシュレス決済を実現するものである。 ,https://messe.nikkei.co.jp/exhibitor/info/RT/ja/24488/,,ok
ClipLine,https://service.clipline.com/,https://service.clipline.com/contact,店舗間の「バラつき」や人手不足という課題について、「ABILI」は、動画教育による実行支援に加え、スキル評価やランクアップ管理までをワンストップで提供。さらに経営データ分析と顧客の声を統合し、納得感のある評価と効率的なマネジメントを実現。人が定着し、自ら動く「強い組織」を作るサービステックの仕組みをご紹介。 ,https://messe.nikkei.co.jp/exhibitor/info/RT/ja/24536/,,ok
Cuebus,https://cuebus.jp/,https://cuebus.jp/contact/,空間と時間を効率化する、耐久性に優れたリニアモーターによるロボット倉庫の紹介。指定された商品コンテナを、人工知能により最適な経路を作成し移動させるデモを実演する。 ,https://messe.nikkei.co.jp/exhibitor/info/RT/ja/25204/,Ｃｕｅｂｕｓ株式会社,ok
DIRIGIO,https://dirigio.jp/,,飲食DXを支えるDIRIGIOの「PICKS」モバイルオーダーは、注文・決済・顧客管理を一気通貫で提供し、多くの飲食店で顧客接点のDX推進と顧客体験向上を実現。Welmeeは、社員の食事支援を簡単に実現するバーチャル社食アプリで、日常の食事体験を通じたエンゲージメント向上や働きやすい環境づくりを支援。給与改定に頼らず社員の実質手取りUPと満足度向上の実現可能,https://messe.nikkei.co.jp/exhibitor/info/RT/ja/24999/,株式会社DIRIGIO,ok
ESRIジャパン,https://www.esrij.com/,https://www.esrij.com/news/information/,ArcGIS : あらゆる業務で地図を最大限に活用し、迅速かつ合理的な意思決定を実現する GIS プラットフォーム ,https://messe.nikkei.co.jp/exhibitor/info/RT/ja/24738/,ESRIジャパン株式会社,ok
Evonet,https://evonetglobal.com/jp/,https://evonetglobal.com/jp/products/performance/,Evonetは、国内外のカード、ウォレット、ローカル決済などを統合的に処理する次世代決済インフラを提供する。主要な決済手段に加え、Network TokenやClick to Payなどの付加価値機能にも対応している。高性能API、柔軟なルーティング、高度な不正検知により承認率と運用効率を高め、小売・EC企業様の多様な決済ニーズとグローバル展開を支えてビジネ,https://messe.nikkei.co.jp/exhibitor/info/RT/ja/25499/,,ok
Exotec Nihon,https://www.exotec.com/ja/,https://www.exotec.com/ja/contact/,2015年にフランス・リールで設立されたExotecは、現在では倉庫自動化分野におけるグローバルリーダーへと成長しました。 当社の主力製品であるSkypod®システムは、一流ブランドの物流オペレーションを革新し、消費者ニーズやサプライチェーンの変化に迅速かつ柔軟に対応できる環境を実現しています。 ,https://messe.nikkei.co.jp/exhibitor/info/RT/ja/25416/,,ok
FOVAテック,https://www.fova-tech.co.jp/,https://www.fova-tech.co.jp/products/robotics/contact_rs.php,～人とロボットが共創する、新しい未来へ～ 「社会課題に、ロボティクスという答えを」 少子高齢化や人手不足が深刻化する日本社会。私たちは、あらゆる業種の企業へ自動ロボットを提案・販売し、業務効率化や働き方改革を支援する。そして、人とロボットが共存する社会の実現に貢献する。 多様性が重んじられる社会の中で、人々に新たな業務手段の選択肢を届け、幸せと未来を創るロボ,https://messe.nikkei.co.jp/exhibitor/info/RT/ja/24266/,株式会社FOVAテック,ok
Fainders.AI,https://www.fainders.ai/jp,,画像認識AIセルフレジ「VISION CHECK-OUT」は、7台のカメラにより360度から商品を検知・分類し、複数商品を同時に認識する。バーコードやRFIDを必要とせず、商品を置くだけで簡単かつ迅速な決済が可能である。省人化にとどまらず、店舗運営の効率化と顧客に快適な購買体験を提供する。 ,https://messe.nikkei.co.jp/exhibitor/info/RT/ja/24698/,,HTTPError
Fujian MIFLY Technology,https://jofeemifly.com/,,電子棚札(ESL)は、従来の紙の値札に代わるデジタル表示デバイスで、スーパーマーケット、コンビニエンスストア、ドラッグストア、倉庫型店舗などの小売業で広く利用されている。 無線通信技術を通じて店舗管理システムとリアルタイムで接続され、価格や表示内容を自動的に更新することが可能である。 ,https://messe.nikkei.co.jp/exhibitor/info/RT/ja/24365/,,SSLError
GIGA-TMS,https://www.gigatms.com.tw/RWD/default.asp,https://www.gigatms.com.tw/RWD/contactus.asp,TS100シリーズ: TS100は、洗練された完全統合型のオールインワンデスクトップUHFリーダーおよびライターである。必要な速さと簡単な取り付けの両方を提供する。 SLR810: SLR810はUHF RFIDリーダーである。ガン型のデザインは、在庫管理、貨物追跡、および倉庫管理に最適である。 ,https://messe.nikkei.co.jp/exhibitor/info/RT/ja/24384/,,ok
