company_name,url,contact_url,decision,reason
イングホールディングス株式会社,https://www.ihc-group.co.jp/,https://ihc-group.co.jp/contact/,accept,no_live_or_master_match
ディーエムソリューションズ株式会社,https://www.dm-s.co.jp/,https://www.dm-s.co.jp/contact/,exclude,existing_sheet_match
フレックス株式会社,https://www.flex-ad.co.jp/,https://www.flex-ad.co.jp/contact/,exclude,existing_sheet_match
国際広宣株式会社,https://www.kokusai-k.jp/,https://www.kokusai-k.jp/お問い合わせ/,accept,no_live_or_master_match
東栄広告株式会社,https://www.toei-ad.jp/,https://www.toei-ad.jp/contact/,accept,no_live_or_master_match
株式会社 3Films,https://3films.com/,https://3films.com/contact,exclude,existing_sheet_match
株式会社 JCSコミュニケーションズ,https://jcs-c.co.jp/,https://jcs-c.co.jp/contact/,exclude,existing_sheet_match
株式会社 infit,https://in-fit.co.jp/,https://in-fit.co.jp/contact,exclude,existing_sheet_match
株式会社LIGO,https://www.li-go.jp/,https://www.li-go.jp/information/,exclude,existing_sheet_match
株式会社Union,https://union-company.jp/,https://union-company.jp/contact/,exclude,existing_sheet_match
株式会社bサーチ,https://www.bsearch.co.jp/,https://www.bsearch.co.jp/contact,exclude,existing_sheet_match
株式会社favy,https://favy.co.jp/,,exclude,required_field_blank
株式会社あどＱ,https://okugaikoukoku.com/,https://okugaikoukoku.com/form.php,accept,no_live_or_master_match
株式会社ひらやま企画,http://www.ccard.co.jp/,,exclude,required_field_blank
株式会社ゆう,https://you-corporation.jp,,exclude,required_field_blank
株式会社アイ・コーポレーション,http://aicorpo.com/,https://aicorpo.com/contact,accept,no_live_or_master_match
株式会社アクセスグループ・ホールディングス,https://www.access-t.co.jp/,,exclude,required_field_blank
株式会社アドバ,https://www.adva.co.jp/,https://www.adva.co.jp/contact/,exclude,existing_sheet_match
株式会社アドバード,http://www.ad-bird.com/,http://www.ad-bird.com/contact/,exclude,existing_sheet_match
株式会社アド・イーグル,https://www.adeagle.co.jp:443/,https://www.adeagle.co.jp:443/contact-kyujin,accept,no_live_or_master_match
株式会社アド・エヌ,https://ad-n.co.jp/,https://ad-n.co.jp/contact,exclude,existing_sheet_match
株式会社アペックスライン,https://www.apex-line.net/,https://www.apex-line.net/contact/,exclude,existing_sheet_match
株式会社アントレ,https://entrenet.jp/corporate/,https://entrenet.jp/corporate/contact/,accept,no_live_or_master_match
株式会社イオレ,https://www.eole.co.jp/,https://www.eole.co.jp/ir/inquiry/,exclude,existing_sheet_match
株式会社インターワーク,http://www.inter-work.jp/,,exclude,required_field_blank
株式会社ウインウイン,https://www.winwin-ad.com/,https://winwin-ad.com/support/,exclude,existing_sheet_match
株式会社エス・エム・エス,https://www.bm-sms.co.jp/,https://www.bm-sms.co.jp/contact/,review,jpx_name_requires_official_domain_check
株式会社エフエム東京,https://www.tfm.co.jp/,https://www.tfm.co.jp/f/htt/form2026,accept,no_live_or_master_match
株式会社オサマジョール,https://osa-mayor.com/,https://osa-mayor.com/contact/,exclude,existing_sheet_match
株式会社カラフルカンパニー,https://www.colorfulcompany.co.jp/,https://www.colorfulcompany.co.jp/contact/,exclude,existing_sheet_match
株式会社ガイアコミュニケーションズ,https://gaia-ad.co.jp/,https://gaia-ad.co.jp/contact/,exclude,existing_sheet_match
株式会社クイック,https://919.jp/,https://919.jp/contact/,exclude,existing_sheet_match
株式会社クリエイト,https://www.create-group.co.jp/,https://www.create-group.co.jp/contact/,exclude,existing_sheet_match
株式会社コーセンドー,https://yellowweb.co.jp/,https://yellowweb.co.jp/2017/04/24/%e4%bc%9a%e7%a4%be%e6%a6%82%e8%a6%81/,accept,no_live_or_master_match
株式会社サンヨー,https://www.sanyo-ad.co.jp/,https://www.sanyo-ad.co.jp/contact/,exclude,existing_sheet_match
株式会社サン・アド,http://www.san-ad.co.jp/,http://www.san-ad.co.jp/form/entry/,exclude,existing_sheet_match
株式会社スカウト,https://www.scout-group.jp/,https://www.scout-group.jp/contact/?form=3,accept,no_live_or_master_match
株式会社スポーツニッポン新聞社,https://www.sponichi.co.jp/,,exclude,required_field_blank
株式会社チアーズ,https://i-cheers.jp/,https://i-cheers.jp/contact/,accept,no_live_or_master_match
株式会社テレビ朝日,https://www.tv-asahi.co.jp/,,exclude,required_field_blank
株式会社テレビ東京,https://www.tv-tokyo.co.jp/,https://www.tv-tokyo.co.jp/information/,accept,no_live_or_master_match
株式会社デイリースポーツ案内広告社,https://www.dac-group.co.jp/,https://www.dac-group.co.jp/contact,accept,no_live_or_master_match
株式会社デルタ,https://deltagp.co.jp/,https://deltagp.co.jp/form/,exclude,existing_sheet_match
株式会社トップ広告社,https://www.top-ad.co.jp/,https://www.top-ad.co.jp/contact/,exclude,existing_sheet_match
株式会社トーカンエクスプレス,https://www.tokan-express.co.jp/,https://www.tokan-express.co.jp/contact,accept,no_live_or_master_match
株式会社トーコン,https://tokon.co.jp/,https://tokon.co.jp/information/,exclude,existing_sheet_match
株式会社トータルブレーン,https://www.totalbrain.jp/,https://www.totalbrain.jp/contact/,accept,no_live_or_master_match
株式会社ドラEVER,https://doraever.jp/,https://doraever.jp/contact,accept,no_live_or_master_match
株式会社ニッポン放送,https://www.1242.com/,https://www.1242.com/information/341957/?utm_source=topics,accept,no_live_or_master_match
株式会社ノーザンライツ,https://www.n-lights.com//,,exclude,required_field_blank
株式会社ビーツ,https://www.beeats.co.jp/,https://www.beeats.co.jp/contact/,exclude,existing_sheet_match
株式会社フジテレビジョン,https://www.fujitv.co.jp/index.html,https://www.fujitv.co.jp/safe/contact/index.html,accept,no_live_or_master_match
株式会社ブレイブ,https://www.bravec.co.jp/,https://www.bravec.co.jp/contact/,accept,no_live_or_master_match
株式会社ブレインズ・コミュニケーション,https://b-com.jp/,https://b-com.jp/contact,accept,no_live_or_master_match
株式会社プライムサーヴ,https://www.prime-solve.co.jp/,https://www.prime-solve.co.jp/contact.html,exclude,existing_sheet_match
株式会社プレシャスパートナーズ,https://p-partners.co.jp/,https://p-partners.co.jp/information/,exclude,existing_sheet_match
株式会社ベイエフエム,https://www.bayfm.co.jp/,,exclude,required_field_blank
株式会社ベストマッチ,https://www.bestmatch.co.jp/,https://www.bestmatch.co.jp/information/,exclude,existing_sheet_match
株式会社マインドシェア,http://www.mindshare.co.jp/,http://www.mindshare.co.jp/contact/,exclude,existing_sheet_match
株式会社ユアーズプランニング,http://www.yours-p.net,,exclude,required_field_blank
株式会社ライトコミュニケーション,https://www.rightcom.jp/,,exclude,required_field_blank
株式会社リアルフォース,https://real-force.co.jp/,https://real-force.co.jp/contact,exclude,existing_sheet_match
株式会社リクルーティングサービス,http://www.4191.co.jp/,https://www.4191.co.jp/form/46/,exclude,existing_sheet_match
株式会社リビコー,https://liviko.net/,https://liviko.net/contact,exclude,existing_sheet_match
株式会社ワークショップ２１,http://www.workshop21.co.jp/,,exclude,required_field_blank
株式会社一広グループホールディングス,https://www.ikko.co.jp/,https://www.ikko.co.jp/contact/,exclude,existing_sheet_match
株式会社中日新聞社,https://www.tokyo-np.co.jp:443/,https://www.tokyo-np.co.jp/tokyo_d_information,accept,no_live_or_master_match
株式会社十二社,https://juniso.co.jp/,https://juniso.co.jp/contact/,exclude,existing_sheet_match
株式会社千広企画,https://www.senko-edit.com/,https://www.senko-edit.com/contact/,accept,no_live_or_master_match
株式会社和広,https://www.kkwako.co.jp/,https://www.kkwako.co.jp/contact/,accept,no_live_or_master_match
株式会社太陽エージェンシー,https://taiyo-ag.co.jp/,https://taiyo-ag.co.jp/contact/,exclude,existing_sheet_match
株式会社太陽企画,https://www.taiyo-kikaku.co.jp/,https://www.taiyo-kikaku.co.jp/contact/,exclude,existing_sheet_match
株式会社宏和デザイン,https://www.kowa-de.com/,https://www.kowa-de.com/contact/,exclude,existing_sheet_match
株式会社宝島社,https://tkj.jp/,,exclude,required_field_blank
株式会社放送出版プランニングセンター,https://www.planning.co.jp/,https://www.planning.co.jp/contact.html,exclude,existing_sheet_match
株式会社文化放送,http://www.joqr.co.jp/index.php,http://www.joqr.co.jp/qr/article/93105/,accept,no_live_or_master_match
株式会社日宣,https://nissenad.co.jp/,https://nissenad.co.jp/contact/,review,jpx_name_requires_official_domain_check
株式会社日広通信,https://nikko-tsushin.co.jp/,https://nikko-tsushin.co.jp/contact,accept,no_live_or_master_match
株式会社日本経済新聞社,https://www.nikkei.com/,,exclude,required_field_blank
株式会社東京アド,https://www.tokyo-ad.net/,https://www.tokyo-ad.net/inquiry/,exclude,existing_sheet_match
株式会社東成社ＩＣＳ,http://www.t-ics.com/,,exclude,required_field_blank
株式会社東通メディア,https://www.totsumedia.co.jp/,https://www.totsumedia.co.jp/contact/,exclude,existing_sheet_match
株式会社求人センター,https://q-c.co.jp/,https://q-c.co.jp/contact,accept,no_live_or_master_match
株式会社産経広告社,https://sankei-ad.net/,https://sankei-ad.net/inquiry/,exclude,existing_sheet_match
株式会社産通,https://santsu.com/,https://santsu.com/,exclude,existing_sheet_match
株式会社飛竜企画,https://www.hiryu.co.jp/,https://www.hiryu.co.jp/contact,accept,no_live_or_master_match
株式会社ＦＭ ＮＡＣＫ５,https://www.nack5.co.jp/,https://www.nack5.co.jp/information/,accept,no_live_or_master_match
株式会社Ｊ－ＷＡＶＥ,https://www.j-wave.co.jp/,https://www.j-wave.co.jp/topics/2004_contact.htm,accept,no_live_or_master_match
株式会社ＫＲＳ,https://krs-hr.jp/,https://krs-hr.jp/contact,accept,no_live_or_master_match
株式会社ＴＢＳテレビ,https://www.tbs.co.jp/,https://www.tbs.co.jp/information/20250917.html,accept,no_live_or_master_match
株式会社ＴＢＳラジオ,https://www.tbsradio.jp/,,exclude,required_field_blank
株式会社ＹＵＩＤＥＡ,https://yuidea.co.jp/,https://yuidea.co.jp/contact/,exclude,existing_sheet_match
横浜エフエム放送株式会社,https://www.fmyokohama.co.jp:443/,https://www.fmyokohama.co.jp:443/corp/contact,accept,no_live_or_master_match
長田広告株式会社,https://ad-nagata.com/,https://ad-nagata.com/contact,exclude,existing_sheet_match
