company_name,url,address,phone,contact_url,区分,検出ワード,source_url,profile_url,company_confirmed,fetch
イングホールディングス株式会社,https://www.ihc-group.co.jp/,〒110-0016 東京都台東区台東3-42-7 松田商事ビル4階,03-3832-6841,https://ihc-group.co.jp/contact/,S｜地域広告・販促・Web・クリエイティブ支援,広告業協同組合公式会員：Indeed PLUS、求人ボックス、バイトル、しゅふJOB、DIRECTLY、マッチジョブ、リクナビ、その他各媒体 〈グループ会社〉 ・株式会社八広社 ・株式会社エリアフォース ・株式会社アドマップス ・ing-Bwell株式会社 ・INGRU株式会社 ・株式会社KIBI,https://www.aca-j.or.jp/meibo/,https://ihc-group.co.jp/company/,yes,ok
ディーエムソリューションズ株式会社,https://www.dm-s.co.jp/,〒180-0005　東京都武蔵野市御殿山1-1-3　クリスタルパークビル2階,0422-57-3921,https://www.dm-s.co.jp/contact/,S｜地域広告・販促・Web・クリエイティブ支援,広告業協同組合公式会員：ダイレクトメール発送代行、フルフィルメントサービス インターネットマーケティング、バーティカルメディアサービス,https://www.aca-j.or.jp/meibo/,https://www.dm-s.co.jp/company/,yes,ok
フレックス株式会社,https://www.flex-ad.co.jp/,〒190-0012 東京都立川市曙町2-20-16 フレックスビル,042-528-1611,https://www.flex-ad.co.jp/contact/,S｜地域広告・販促・Web・クリエイティブ支援,広告業協同組合公式会員：総合広告代理業。 主に流通産業の販売促進に関わる全般の企画推進。 地域情報誌「クーポンプレス」の企画・編集・発行 出版,https://www.aca-j.or.jp/meibo/,https://www.flex-ad.co.jp/,no,ok
国際広宣株式会社,https://www.kokusai-k.jp/,〒102-0093 東京都千代田区平河町1-8-2 山京半蔵門パレス602,03-6261-5671,https://www.kokusai-k.jp/お問い合わせ/,S｜地域広告・販促・Web・クリエイティブ支援,広告業協同組合公式会員：テレビ・ラジオ・新聞・雑誌広告の企画・制作その他屋内外の広告宣伝（各種イベント・アドバルーン等）の企画・制作 テレビ朝日・ＴＢＳ・フジテレビ・日本テレビ テレビ東京・ニッポン放送・文化放送・エフエム東京 J-WAVE・毎日放送・東海テレビ・中部日本放送他全国民放各局・山梨日日新聞社・角川書店 新聞 ラジオ テレビ,https://www.aca-j.or.jp/meibo/,https://www.kokusai-k.jp/,yes,ok
東栄広告株式会社,https://www.toei-ad.jp/,〒104-0031 東京都中央区京橋1-8-7  京橋日殖ビル3階,03-3563-1741,https://www.toei-ad.jp/contact/,S｜地域広告・販促・Web・クリエイティブ支援,広告業協同組合公式会員：新聞、雑誌、テレビ、ラジオ及びSP関連企画・制作。 毎日新聞、中日新聞、東京新聞、下野新聞、上毛新聞、北海道新聞、西日本新聞、他全国紙及び全国地方紙。 講談社、主婦の友社、光文社、扶桑社、他各雑誌社。 フジテレビ、TBS、ニッポン放送、文化放送、FM東京、他各局。東京新聞ショッパー、ホットペッパー、サンケイリビング、他全国主要フリーペーパー。 新聞 ラジオ ,https://www.aca-j.or.jp/meibo/,https://www.toei-ad.jp/about/,yes,ok
株式会社 3Films,https://3films.com/,東京都港区六本木6-5-18,03-5775-5061,https://3films.com/contact,S｜地域広告・販促・Web・クリエイティブ支援,広告業協同組合公式会員：不動産業務アプリ「不動3之助」開発・運営 システム開発、WEB開発、アプリ開発、YouTube制作 レンタカー会社業務アプリ「レンタカー之助」開発・運営,https://www.aca-j.or.jp/meibo/,https://3films.com/about/,yes,ok
株式会社 JCSコミュニケーションズ,https://jcs-c.co.jp/,〒100-0013 東京都千代田区霞が関1-4-2　大同生命霞が関ビル18階,03-5282-2151,https://jcs-c.co.jp/contact/,S｜地域広告・販促・Web・クリエイティブ支援,広告業協同組合公式会員：AV機器レンタル、オペレーション及びスポンサー企業のADVERTISING SERVICEとデジタル広告制作等 取扱媒体,https://www.aca-j.or.jp/meibo/,https://jcs-c.co.jp/,no,ok
株式会社 infit,https://in-fit.co.jp/,〒105-0004 東京都港区新橋2-2-2 邦信ビル3F,03-6206-1002,https://in-fit.co.jp/contact,S｜地域広告・販促・Web・クリエイティブ支援,広告業協同組合公式会員：マーケティング支援、デジタル広告運用、クリエイティブ・コンテンツ制作 名簿 ラジオ テレビ,https://www.aca-j.or.jp/meibo/,https://in-fit.co.jp/company/,yes,ok
株式会社LIGO,https://www.li-go.jp/,〒107-0062 東京都港区南青山2丁目2番15号 Win　Aoyamaビル　UCF635,03-5776-2504,https://www.li-go.jp/information/,S｜地域広告・販促・Web・クリエイティブ支援,広告業協同組合公式会員：一般広告代理業 運送業の採用支援、教育 Webマーケティング 取扱い媒体　ドラEVER　求人BOX　スタンバイ、０円リクルーティング,https://www.aca-j.or.jp/meibo/,https://www.li-go.jp/company/,yes,ok
株式会社Union,https://union-company.jp/,〒160-0022 東京都新宿区新宿４丁目１−６　JR新宿ミライナタワー 22階,03-5944-0940,https://union-company.jp/contact/,S｜地域広告・販促・Web・クリエイティブ支援,広告業協同組合公式会員：デジタル領域に特化したマーケティング事業及びオウンドメディアの運営です。 社内で一気通貫で対応することで、スムーズに流れるウェブマーケティングを提供しております。,https://www.aca-j.or.jp/meibo/,https://union-company.jp/,yes,ok
株式会社bサーチ,https://www.bsearch.co.jp/,〒162-0818 東京都新宿区築地町4 神楽坂テクノス3F,03-6721-5113,https://www.bsearch.co.jp/contact,S｜地域広告・販促・Web・クリエイティブ支援,広告業協同組合公式会員：・広告メディア代理事業 ・ソリューション事業 ・有料職業紹介事業,https://www.aca-j.or.jp/meibo/,https://www.bsearch.co.jp/company/,yes,ok
株式会社favy,https://favy.co.jp/,〒160-0022　東京都新宿区新宿3丁目15−11アドホック新宿ビル3F,050-1746-3240,,S｜地域広告・販促・Web・クリエイティブ支援,広告業協同組合公式会員：OMOツールの提供／複数のツールを組合せで、効率的にOMOマーケティング施策を実施するサポート。 運用代行／Saasツールやツール群から生まれるユーザー行動データを活用し。OMOマーケティング施策を企画・実行。,https://www.aca-j.or.jp/meibo/,https://favy.co.jp/about,yes,ok
株式会社あどＱ,https://okugaikoukoku.com/,〒160-0012　東京都新宿区新宿5-11-2 SOBLD 508,03-5368-3958,https://okugaikoukoku.com/form.php,S｜地域広告・販促・Web・クリエイティブ支援,広告業協同組合公式会員：広告看板、LEDビジョンなどの屋外広告を中心とした総合広告代理店。 企画運営/媒体開発/DTPデザイン/動画制作/製作施工/保守管理等 「屋外広告ドットコム」ＷＥＢ運営 「屋外広告ドットコム定例会」主催 「北千住ビジョン」動画制作・配信管理・放映枠販売,https://www.aca-j.or.jp/meibo/,https://okugaikoukoku.com/,no,ok
