company_name,url,address,phone,contact_url,区分,検出ワード,source_url,profile_url,company_confirmed,fetch
DICグラフィックス株式会社,https://www.dic-global.com/ja/index.html,,,https://www.dic-global.com/ja/contact/,S｜地域印刷・販促物・ポスティング支援,愛知県印刷工業組合公式会員：商業印刷・販促物・企画制作,https://www.ai-in-ko.or.jp/organization/member.html,https://www.dic-global.com/ja/about/outline.html,yes,ok
あいち印刷株式会社,https://www.aichi-pr.co.jp/,,,https://www.aichi-pr.co.jp/contact/,S｜地域印刷・販促物・ポスティング支援,愛知県印刷工業組合公式会員：商業印刷・販促物・企画制作,https://www.ai-in-ko.or.jp/organization/member.html,https://www.aichi-pr.co.jp/,no,ok
イトーテック株式会社,https://www.itotec.co.jp/,,,https://www.itotec.co.jp/toiawase.html,S｜地域印刷・販促物・ポスティング支援,愛知県印刷工業組合公式会員：商業印刷・販促物・企画制作,https://www.ai-in-ko.or.jp/organization/member.html,https://www.itotec.co.jp/company.html,yes,ok
ウエノ株式会社名古屋支店,https://www.uenocorp.co.jp/,,,https://www.uenocorp.co.jp/contact.html,S｜地域印刷・販促物・ポスティング支援,愛知県印刷工業組合公式会員：商業印刷・販促物・企画制作,https://www.ai-in-ko.or.jp/organization/member.html,https://www.uenocorp.co.jp/,no,ok
コニカミノルタジャパン株式会社,https://www.konicaminolta.jp/business/products/graphic/index.html,,,https://www.konicaminolta.jp/business/about/bj/contact.html,S｜地域印刷・販促物・ポスティング支援,愛知県印刷工業組合公式会員：商業印刷・販促物・企画制作,https://www.ai-in-ko.or.jp/organization/member.html,https://www.konicaminolta.jp/business/products/graphic/index.html,no,ok
コロナ美術印刷株式会社,http://www.corona-ap.com/,,,,S｜地域印刷・販促物・ポスティング支援,愛知県印刷工業組合公式会員：商業印刷・販促物・企画制作,https://www.ai-in-ko.or.jp/organization/member.html,http://www.corona-ap.com/,no,ok
タック株式会社,https://taias.co.jp/,,,https://taias.co.jp/contact/,S｜地域印刷・販促物・ポスティング支援,愛知県印刷工業組合公式会員：商業印刷・販促物・企画制作,https://www.ai-in-ko.or.jp/organization/member.html,https://taias.co.jp/company/,yes,ok
ハイデルベルグ・ジャパン株式会社,https://www.heidelberg.com/jp/ja/index.jsp,,,https://www.heidelberg.com/jp/ja/preview_pages/forms/contact_descriptor.jsp,S｜地域印刷・販促物・ポスティング支援,愛知県印刷工業組合公式会員：商業印刷・販促物・企画制作,https://www.ai-in-ko.or.jp/organization/member.html,https://www.heidelberg.com/jp/ja/company/news_events/pressrelease_2014/press_release_all/press_release_overview.jsp,yes,ok
ブラザ－印刷株式会社,https://brother-p.com/,,,https://brother-p.com//contact,S｜地域印刷・販促物・ポスティング支援,愛知県印刷工業組合公式会員：商業印刷・販促物・企画制作,https://www.ai-in-ko.or.jp/organization/member.html,https://brother-p.com/,no,ok
プリントス株式会社,https://printos.co.jp/,,,https://printos.co.jp/contact,S｜地域印刷・販促物・ポスティング支援,愛知県印刷工業組合公式会員：商業印刷・販促物・企画制作,https://www.ai-in-ko.or.jp/organization/member.html,https://printos.co.jp/company/,yes,ok
プリ・テック株式会社,https://pritech.co.jp/,,,,S｜地域印刷・販促物・ポスティング支援,愛知県印刷工業組合公式会員：商業印刷・販促物・企画制作,https://www.ai-in-ko.or.jp/organization/member.html,https://pritech.co.jp/,no,ok
