company_name,url,contact_url,decision,reason
A-NEXT株式会社,https://www.a-nexthome.com/,https://www.a-nexthome.com/?page_id=59,accept,no_live_or_master_match
さくら不動産株式会社,https://sakura-realestate-company.com/,https://sakura-realestate-company.com/contact/,accept,no_live_or_master_match
アイムス株式会社,https://aims-kansai.jp/,https://aims-kansai.jp/contact,accept,no_live_or_master_match
アイリハウス株式会社,https://www.airehouse.net/,https://www.airehouse.net/contact.html,accept,no_live_or_master_match
アスライフ株式会社,https://as-life.co.jp/,https://as-life.co.jp/contact-individuals/,accept,no_live_or_master_match
シティネットトラスト株式会社,https://www.citynetweb.jp/,https://www.citynetweb.jp/contact,accept,no_live_or_master_match
マルイ不動産株式会社,https://www.maruifudousan.co.jp/,https://www.maruifudousan.co.jp/inquiry/,accept,no_live_or_master_match
出蔵不動産株式会社,https://www.degurafudousan.com/,https://www.degurafudousan.com/contact,accept,no_live_or_master_match
合同会社SKC首都圏介護センター,https://skc-kaigo.jp/,https://skc-kaigo.jp/reform-2/,accept,no_live_or_master_match
合同会社オクマ商事,https://chacha-home.com/,https://chacha-home.com/contact/,accept,no_live_or_master_match
商工ほうむ不動産株式会社,https://sh-g.jp/,https://sh-g.jp/contact-form/,accept,no_live_or_master_match
土佐開発株式会社,https://tosakaihatsu.com/,https://tosakaihatsu.com/information,accept,no_live_or_master_match
日本宅建株式会社,https://j-takken.co.jp/,https://j-takken.co.jp/contact/,accept,no_live_or_master_match
有限会社さかや商事,https://sakaya-s.co.jp/,https://sakaya-s.co.jp/contact/,accept,no_live_or_master_match
有限会社イーリンク,https://www.elink.ne.jp/,https://www.elink.ne.jp/wordpress/service,accept,no_live_or_master_match
有限会社コミュニティ開発,https://community-k.com/,https://community-k.com/?page_id=11,accept,no_live_or_master_match
有限会社サキコーポレーション,https://saki-corp.jp/,https://saki-corp.jp/reform,accept,no_live_or_master_match
有限会社トゥルース,https://www.truth2000.com/,https://www.truth2000.com/contact/,accept,no_live_or_master_match
有限会社日本マスターリンク社,https://www.hokkaido2103.jp/,https://www.hokkaido2103.jp/inquiry/,accept,no_live_or_master_match
有限会社高屋土地建物,https://www.e-takaya.co.jp/,https://www.e-takaya.co.jp/original_page/reform_detail,accept,no_live_or_master_match
株式会社EX不動産,https://exre.jp/,https://exre.jp/contact/,accept,no_live_or_master_match
株式会社GRIT,https://gritcoco-realestate.com/,https://gritcoco-realestate.com/contact/,exclude,existing_sheet_match
株式会社IZ,https://iz-aizu-inc.com/,https://iz-aizu-inc.com/contact/,accept,no_live_or_master_match
株式会社Miraie.,https://www.k-miraie.com/,https://www.k-miraie.com/reform.php,accept,no_live_or_master_match
株式会社ONEホーム,https://onehome-fudosan.jp/,https://onehome-fudosan.jp/contact,accept,no_live_or_master_match
株式会社ties,https://ties1.info/,https://ties1.info/contact/,accept,no_live_or_master_match
