company_name,url,address,phone,contact_url,区分,検出ワード,source_url,profile_url,company_confirmed,fetch
DAIKEN株式会社,https://www.daiken.jp/,,,https://www.daiken.jp/reform/,H｜店舗内装・設計施工・什器・設備支援,インテリア産業協会公式会員：住宅部品（金物、塗料、建具、床材、天井材等）,https://www.interior.or.jp/association/member/,https://www.daiken.jp/about/,yes,ok
ONEデザインズ株式会社,https://www.koyou-onesd.co.jp/,,,https://www.koyou-onesd.co.jp/contactus/,H｜店舗内装・設計施工・什器・設備支援,インテリア産業協会公式会員：住宅・施工業（ゼネコン、住宅、増改築、内装等）,https://www.interior.or.jp/association/member/,https://www.koyou-onesd.co.jp/aboutus/,yes,ok
SUMINOE株式会社,https://suminoe.jp/,,,https://suminoe.jp/pages/contact,H｜店舗内装・設計施工・什器・設備支援,インテリア産業協会公式会員：ファブリック（カーテン・カーペット等）,https://www.interior.or.jp/association/member/,https://suminoe.jp/pages/company,yes,ok
TOTO株式会社,https://jp.toto.com/,,,https://jp.toto.com/reform/,H｜店舗内装・設計施工・什器・設備支援,インテリア産業協会公式会員：住宅設備機器（バス、キッチン、流し台、衛生器具、家電等）,https://www.interior.or.jp/association/member/,https://jp.toto.com/company/,yes,ok
みはし株式会社,https://mihasi.co.jp/,,,https://mihasi.co.jp/custom-products/,H｜店舗内装・設計施工・什器・設備支援,インテリア産業協会公式会員：住宅部品（金物、塗料、建具、床材、天井材等）,https://www.interior.or.jp/association/member/,https://mihasi.co.jp/company/,yes,ok
アスワン株式会社,https://www.aswan.co.jp/,,,https://www.aswan.co.jp/productinformation/seriesintroduction/curtainseries/,H｜店舗内装・設計施工・什器・設備支援,インテリア産業協会公式会員：ファブリック（カーテン・カーペット等）,https://www.interior.or.jp/association/member/,https://www.aswan.co.jp/companyinformation/,yes,ok
クリナップ株式会社,https://cleanup.jp/,,,https://cleanup.jp/select/reform/,H｜店舗内装・設計施工・什器・設備支援,インテリア産業協会公式会員：住宅設備機器（バス、キッチン、流し台、衛生器具、家電等）,https://www.interior.or.jp/association/member/,https://cleanup.jp/select/reform/about/,yes,ok
シンコールインテリア株式会社,https://sincol-group.jp/index.html,,,https://sincol-group.jp/corporate_information/,H｜店舗内装・設計施工・什器・設備支援,インテリア産業協会公式会員：壁装材,https://www.interior.or.jp/association/member/,https://sincol-group.jp/corporate_information/network/,yes,ok
セキスイデザインワークス株式会社,https://sekisui-designworks.co.jp/,,,https://sekisui-designworks.co.jp/contact/,H｜店舗内装・設計施工・什器・設備支援,インテリア産業協会公式会員：住宅・施工業（ゼネコン、住宅、増改築、内装等）,https://www.interior.or.jp/association/member/,https://sekisui-designworks.co.jp/company/,yes,ok
タカラスタンダード株式会社,https://www.takara-standard.co.jp:443/,,,https://www.takara-standard.co.jp:443/reform/,H｜店舗内装・設計施工・什器・設備支援,インテリア産業協会公式会員：住宅設備機器（バス、キッチン、流し台、衛生器具、家電等）,https://www.interior.or.jp/association/member/,https://www.takara-standard.co.jp:443/company/,yes,ok
トキワ工業株式会社,http://www.tokiwa.net/,,,http://www.tokiwa.net/form/mypage/,H｜店舗内装・設計施工・什器・設備支援,インテリア産業協会公式会員：壁装材,https://www.interior.or.jp/association/member/,http://www.tokiwa.net/company/,yes,ok
ドリームベッド株式会社,https://www.dreambed.jp/,,,https://www.dreambed.jp/inquiry/,H｜店舗内装・設計施工・什器・設備支援,インテリア産業協会公式会員：家具,https://www.interior.or.jp/association/member/,https://www.dreambed.jp/,yes,ok
ファインオーナメント株式会社,https://sokk.co.jp/,,,https://sokk.co.jp/contact/,H｜店舗内装・設計施工・什器・設備支援,インテリア産業協会公式会員：ファブリック（カーテン・カーペット等）,https://www.interior.or.jp/association/member/,https://sokk.co.jp/company/,yes,ok
リック株式会社,https://www.lic-net.jp/,,,https://www.lic-net.jp/,H｜店舗内装・設計施工・什器・設備支援,インテリア産業協会公式会員：ファブリック（カーテン・カーペット等）,https://www.interior.or.jp/association/member/,https://www.lic-net.jp/,yes,ok
リリカラ株式会社,https://www.lilycolor.co.jp:443/,,,https://www.lilycolor.co.jp:443/interior/contact/index_consumer.html,H｜店舗内装・設計施工・什器・設備支援,インテリア産業協会公式会員：壁装材,https://www.interior.or.jp/association/member/,https://www.lilycolor.co.jp:443/company/index.html,yes,ok
ルノン株式会社,https://ssl.runon.co.jp/,,,https://ssl.runon.co.jp/reformpro/,H｜店舗内装・設計施工・什器・設備支援,インテリア産業協会公式会員：壁装材,https://www.interior.or.jp/association/member/,https://ssl.runon.co.jp/,yes,ok
三井ホーム株式会社,https://www.mitsuihome.co.jp/,,,https://www.mitsuihome.co.jp/information/,H｜店舗内装・設計施工・什器・設備支援,インテリア産業協会公式会員：住宅・施工業（ゼネコン、住宅、増改築、内装等）,https://www.interior.or.jp/association/member/,https://www.mitsuihome.co.jp/company/kankyo/,yes,ok
上野株式会社,https://interior-ueno.co.jp/,,,https://interior-ueno.co.jp/inquery,H｜店舗内装・設計施工・什器・設備支援,インテリア産業協会公式会員：壁装材,https://www.interior.or.jp/association/member/,https://interior-ueno.co.jp/company/,yes,ok
住友不動産シスコン株式会社,https://www.sumitomo-syscon.com,,,https://www.sumitomo-syscon.com/contact,H｜店舗内装・設計施工・什器・設備支援,インテリア産業協会公式会員：住宅・施工業（ゼネコン、住宅、増改築、内装等）,https://www.interior.or.jp/association/member/,https://www.sumitomo-syscon.com/company/,yes,ok
住友林業ホームテック株式会社,https://www.sumirin-ht.co.jp/,,,https://www.sumirin-ht.co.jp/reform/about/,H｜店舗内装・設計施工・什器・設備支援,インテリア産業協会公式会員：住宅・施工業（ゼネコン、住宅、増改築、内装等）,https://www.interior.or.jp/association/member/,https://www.sumirin-ht.co.jp/company/,yes,ok
内藤家具インテリア工業株式会社,https://naitokag.co.jp/,,,https://naitokag.co.jp/contact,H｜店舗内装・設計施工・什器・設備支援,インテリア産業協会公式会員：家具,https://www.interior.or.jp/association/member/,https://naitokag.co.jp/company/,yes,ok
