company_name,url,address,phone,maps_url,contact_url,message,sent_at,status,error_reason,screenshot_path,provider_used,提案区分,H1,区分,検出ワード
JFEスチール株式会社,https://www.jfe-steel.co.jp/,,,,https://www.jfe-steel.co.jp/toiawase.html,,,,,,,,,H｜飲食店・厨房・開業・店舗設備支援,日本厨房工業会公式会員：業務用厨房設備機器の生産・販売・施工・コンサルティング
アイディッシュ株式会社,https://dishcook.jp/,,,,https://dishcook.jp/contact,,,,,,,,,H｜飲食店・厨房・開業・店舗設備支援,日本厨房工業会公式会員：業務用厨房設備機器の生産・販売・施工・コンサルティング
イシダ厨機株式会社,https://www.ishidachuki.com/,,,,https://www.ishidachuki.com/contact/product/,,,,,,,,,H｜飲食店・厨房・開業・店舗設備支援,日本厨房工業会公式会員：業務用厨房設備機器の生産・販売・施工・コンサルティング
イトヤ株式会社,https://www.kitchensupport.co.jp/,,,,https://www.kitchensupport.co.jp/contact/,,,,,,,,,H｜飲食店・厨房・開業・店舗設備支援,日本厨房工業会公式会員：業務用厨房設備機器の生産・販売・施工・コンサルティング
ウチダステンレス工業株式会社,https://www.uchida-stainless.com/,,,,https://www.uchida-stainless.com/contact/,,,,,,,,,H｜飲食店・厨房・開業・店舗設備支援,日本厨房工業会公式会員：業務用厨房設備機器の生産・販売・施工・コンサルティング
エイシン電機株式会社,https://www.eishin-esdk.co.jp/,,,,https://www.eishin-esdk.co.jp/contact.html,,,,,,,,,H｜飲食店・厨房・開業・店舗設備支援,日本厨房工業会公式会員：業務用厨房設備機器の生産・販売・施工・コンサルティング
エスキー工機株式会社,https://eski.jp/,,,,https://eski.jp/?page_id=2871,,,,,,,,,H｜飲食店・厨房・開業・店舗設備支援,日本厨房工業会公式会員：業務用厨房設備機器の生産・販売・施工・コンサルティング
エムケー厨設株式会社,https://mkc-gr.co.jp/,,,,https://mkc-gr.co.jp/contact/,,,,,,,,,H｜飲食店・厨房・開業・店舗設備支援,日本厨房工業会公式会員：業務用厨房設備機器の生産・販売・施工・コンサルティング
オピニオン株式会社,https://www.e-opinion.jp/,,,,https://www.e-opinion.jp/contact,,,,,,,,,H｜飲食店・厨房・開業・店舗設備支援,日本厨房工業会公式会員：業務用厨房設備機器の生産・販売・施工・コンサルティング
キタックスエンジニアリング株式会社,https://kitax.jp/,,,,https://kitax.jp/company/information/,,,,,,,,,H｜飲食店・厨房・開業・店舗設備支援,日本厨房工業会公式会員：業務用厨房設備機器の生産・販売・施工・コンサルティング
クールフライヤー株式会社,https://coolfryer.co.jp/,,,,https://coolfryer.co.jp/contact/,,,,,,,,,H｜飲食店・厨房・開業・店舗設備支援,日本厨房工業会公式会員：業務用厨房設備機器の生産・販売・施工・コンサルティング
