company_name,url,address,phone,contact_url,区分,検出ワード,source_url,profile_url,company_confirmed,fetch
EN.WORKS合同会社,https://en-works.co.jp/,,,https://en-works.co.jp/information/,S｜地域広告・販促・Web・クリエイティブ支援,日本広告制作協会公式会員：映像・撮影・CG,https://www.oac.or.jp/member/,https://en-works.co.jp/about/,yes,ok
Fiom合同会社,https://fiom-llc.studio.site/,,,,S｜地域広告・販促・Web・クリエイティブ支援,"日本広告制作協会公式会員：グラフィック・映像・パッケージ・撮影・CG・ブランディング・エディトリアル・イベント・プランニング・コンサルティング・SNS（TikTok,Instagram）、縦型ショートドラマなど",https://www.oac.or.jp/member/,https://fiom-llc.studio.site/,yes,ok
RX Japan合同会社,https://www.rxjapan.jp/,,,https://www.rxjapan.jp/contact,S｜地域広告・販促・Web・クリエイティブ支援,日本広告制作協会公式会員：RX・Japan合同会社・104-0028・東京都中央区八重洲・2-2-1・東京ミッドタウン八重洲・八重洲セントラルタワー11階・03-6739-4101,https://www.oac.or.jp/member/,https://www.rxjapan.jp/about,yes,ok
インプレッション株式会社,https://www.impression-net.co.jp/,,,,S｜地域広告・販促・Web・クリエイティブ支援,日本広告制作協会公式会員：広告・クリエイティブ制作,https://www.oac.or.jp/member/,https://www.impression-net.co.jp/,yes,ok
キヤノンマーケティングジャパン株式会社,https://canon.jp/,,,https://canon.jp/support/faq?id=top,S｜地域広告・販促・Web・クリエイティブ支援,日本広告制作協会公式会員：108-8011・東京都港区港南2-16-6・キヤノンSタワー10F・03-6719-9470,https://www.oac.or.jp/member/,https://canon.jp/,yes,ok
コアプランニング株式会社,https://coa-planning.studio.site,,,,S｜地域広告・販促・Web・クリエイティブ支援,日本広告制作協会公式会員：広告・クリエイティブ制作,https://www.oac.or.jp/member/,https://coa-planning.studio.site,yes,ok
サン・クリエイティブ株式会社,https://www.sun-cre.jp/,,,https://www.sun-cre.jp/contact/,S｜地域広告・販促・Web・クリエイティブ支援,日本広告制作協会公式会員：広告・クリエイティブ制作,https://www.oac.or.jp/member/,https://www.sun-cre.jp/,yes,ok
シブニデザイン株式会社,http://www.sb2.co.jp/,,,http://www.sb2.co.jp/index.html,S｜地域広告・販促・Web・クリエイティブ支援,日本広告制作協会公式会員：広告・クリエイティブ制作,https://www.oac.or.jp/member/,http://www.sb2.co.jp/,no,ok
タンデムクロス株式会社,https://www.tandem-ad.co.jp/,,,,S｜地域広告・販促・Web・クリエイティブ支援,日本広告制作協会公式会員：104-0043・東京都中央区湊2-2-8・CKビル5F・03-5541-8105,https://www.oac.or.jp/member/,https://www.tandem-ad.co.jp/,no,ok
デザインプール株式会社,https://designpool.co.jp/,,,http://designpool.co.jp/contact/,S｜地域広告・販促・Web・クリエイティブ支援,日本広告制作協会公式会員：広告・クリエイティブ制作,https://www.oac.or.jp/member/,https://designpool.co.jp/profile,yes,ok
