company_name,url,address,phone,contact_url,区分,検出ワード,source_url,profile_url,company_confirmed,fetch
日本トルビン株式会社,https://nihon-torubin.co.jp/,,,https://nihon-torubin.co.jp/?page_id=42,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援,https://www.jpm.jp/branch/all.php?cid=15,https://nihon-torubin.co.jp/?page_id=40,yes,ok
日本不動産株式会社,https://www.nihonfudousan.co.jp/,,,https://www.nihonfudousan.co.jp/contact,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援,https://www.jpm.jp/branch/all.php?cid=5,https://www.nihonfudousan.co.jp/company/access,yes,ok
日本海不動産株式会社,https://www.nihonkai-fudousan.co.jp/,,,https://www.nihonkai-fudousan.co.jp/contact/,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援,https://www.jpm.jp/branch/all.php?cid=8,https://www.nihonkai-fudousan.co.jp/company/,yes,ok
日本賃貸住宅保証機構株式会社,https://www.jrag.co.jp/,,,https://www.jrag.co.jp/contact,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援,https://www.jpm.jp/branch/all.php?cid=27,https://www.jrag.co.jp/,yes,ok
日本通信紙株式会社,https://www.e-ntk.co.jp/,,,https://www.e-ntk.co.jp/contact,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援,https://www.jpm.jp/branch/all.php?cid=14,https://www.e-ntk.co.jp/company,yes,ok
日清紡都市開発株式会社,https://www.nisshinbo-tk.co.jp/,,,https://www.nisshinbo-tk.co.jp/%e3%81%8a%e5%95%8f%e3%81%84%e5%90%88%e3%82%8f%e3%81%9b/,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援,https://www.jpm.jp/branch/all.php?cid=14,https://www.nisshinbo-tk.co.jp/company/,yes,ok
明成不動産管理株式会社,https://meiseilife.com/,,,https://meiseilife.com/contact,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援,https://www.jpm.jp/branch/all.php?cid=27,https://meiseilife.com/company,yes,ok
昭和有機株式会社,https://www.showayuki-hd.co.jp/,,,https://www.showayuki-hd.co.jp/contact,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援,https://www.jpm.jp/branch/all.php?cid=14,https://www.showayuki-hd.co.jp/company,yes,ok
有限会社いわさき不動産,http://www.iwasaki-realestate.com/,,,http://www.iwasaki-realestate.com/contact,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援,https://www.jpm.jp/branch/all.php?cid=15,http://www.iwasaki-realestate.com/company/,yes,ok
有限会社おおさん,https://www.oosan.jp/,,,https://www.oosan.jp/,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援,https://www.jpm.jp/branch/all.php?cid=14,https://www.oosan.jp/,yes,ok
