company_name,url,address,phone,maps_url,contact_url,message,sent_at,status,error_reason,screenshot_path,provider_used,提案区分,,区分,検出ワード
有限会社原商事,http://www.hara-syouzi.com/,,,,http://www.hara-syouzi.com/mailform/mailform_1/,,,,,,,,,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援
有限会社喜納住宅開発,https://www.kina.co.jp/,,,,https://www.kina.co.jp/contact/,,,,,,,,,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援
有限会社大吉宅建,http://www.daikiti-takuken.co.jp/,,,,http://www.daikiti-takuken.co.jp/contact,,,,,,,,,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援
有限会社大坪事務所,https://www.otsubo-j.co.jp/,,,,https://www.otsubo-j.co.jp/,,,,,,,,,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援
有限会社大堂,https://www.daido-1977.co.jp/,,,,https://www.daido-1977.co.jp/contact/,,,,,,,,,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援
有限会社大益,https://www.daimasu-s.co.jp/,,,,https://www.daimasu-s.co.jp/contact/,,,,,,,,,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援
有限会社大興不動産延岡,https://www.taiko-nobeoka.com/,,,,https://www.taiko-nobeoka.com/contact,,,,,,,,,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援
有限会社大興不動産日向,https://www.taiko-hyuga.co.jp/,,,,https://www.taiko-hyuga.co.jp/contact,,,,,,,,,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援
有限会社大阪ホーム・コンサルタント,https://www.osakahome.co.jp/,,,,https://www.osakahome.co.jp/kasitai/,,,,,,,,,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援
有限会社太平不動産,https://www.taihei-fudosan.com/,,,,https://www.taihei-fudosan.com/contact,,,,,,,,,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援
