company_name,url,address,phone,contact_url,区分,検出ワード,source_url,profile_url,company_confirmed,fetch
株式会社ベツダイ,https://betsudai.jp:443/,,,https://betsudai.jp/,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援,https://www.jpm.jp/branch/all.php?cid=43,https://betsudai.jp/,yes,ok
株式会社ホワイトホームズ,https://www.white-homes.com/,,,https://www.white-homes.com/contact/kaiyaku,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援,https://www.jpm.jp/branch/all.php?cid=14,https://www.white-homes.com/company,yes,ok
株式会社ホープハウスシステム,https://hopehouse.co.jp/,,,https://hopehouse.co.jp/information,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援,https://www.jpm.jp/branch/all.php?cid=27,https://hopehouse.co.jp/corporate,yes,ok
株式会社ホームグラウンド,https://homegroundjp.com/,,,https://homegroundjp.com/contact/,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援,https://www.jpm.jp/branch/all.php?cid=14,https://homegroundjp.com/about/,yes,ok
株式会社ポートホームズ,https://www.porthomes.co.jp/,,,https://www.porthomes.co.jp/inquiry.php,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援,https://www.jpm.jp/branch/all.php?cid=15,https://www.porthomes.co.jp/company/,yes,ok
株式会社マイムコミュニティー,https://www.mym.co.jp/,,,https://www.mym.co.jp/contact/,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援,https://www.jpm.jp/branch/all.php?cid=14,https://www.mym.co.jp/about/,yes,ok
株式会社マエムラ,https://www.maemura.co.jp/,,,https://www.maemura.co.jp/contact,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援,https://www.jpm.jp/branch/all.php?cid=45,https://www.maemura.co.jp/maemura-company,yes,ok
株式会社マスター・アドバイザーズ,https://master-01.com/,,,https://master-01.com/contact.html,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援,https://www.jpm.jp/branch/all.php?cid=14,https://master-01.com/company.html,yes,ok
株式会社マルイホームサービス,https://www.marui-hs.co.jp/,,,https://www.marui-hs.co.jp/content/rentcontac/,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援,https://www.jpm.jp/branch/all.php?cid=14,https://www.marui-hs.co.jp/company/,yes,ok
株式会社マルユウハウジー,https://www.okinawa-chintai.jp/,,,https://www.okinawa-chintai.jp/contact/,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援,https://www.jpm.jp/branch/all.php?cid=47,https://www.okinawa-chintai.jp/about/,yes,ok
株式会社マンセル,https://www.mansell-re.jp/,,,https://www.mansell-re.jp/contact/,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援,https://www.jpm.jp/branch/all.php?cid=19,https://www.mansell-re.jp/?page_id=35,yes,ok
株式会社ミタホーム,https://mita-home.co.jp/,,,https://www.mita-home.co.jp/contact/,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援,https://www.jpm.jp/branch/all.php?cid=14,https://mita-home.co.jp/company/,yes,ok
株式会社ミツモア,https://meetsmore.com/,,,https://meetsmore.com/services/moving/media/142201,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援,https://www.jpm.jp/branch/all.php?cid=14,https://meetsmore.com/services/whereabouts-investigation-detectives,yes,ok
株式会社ミニミニ城東,https://minimini.jp/corp/joto/,,,https://minimini.jp/main/contact.asp,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援,https://www.jpm.jp/branch/all.php?cid=13,https://minimini.jp/corp/joto/,yes,ok
株式会社ミヤビグループ,https://miyabi-group.jp/,,,https://miyabi-group.jp/multiple-contact/,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援,https://www.jpm.jp/branch/all.php?cid=27,https://miyabi-group.jp/company/,yes,ok
株式会社ムカサ,https://mukasa-re.jp/,,,https://mukasa-re.jp/form/taikyo/,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援,https://www.jpm.jp/branch/all.php?cid=14,https://mukasa-re.jp/corporate/,yes,ok
株式会社ムーヴアップ,https://move-up.co.jp/,,,https://move-up.co.jp/contact/,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援,https://www.jpm.jp/branch/all.php?cid=14,https://move-up.co.jp/company/,yes,ok
株式会社メイクスプラス,https://makes-g.co.jp/makes-p/,,,https://makes-g.co.jp/makes-p/contact,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援,https://www.jpm.jp/branch/all.php?cid=14,https://makes-g.co.jp/makes-p/about/,yes,ok
株式会社メインランドジャパン,https://www.mljp.co.jp/,,,https://www.mljp.co.jp/contact-renov/,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援,https://www.jpm.jp/branch/all.php?cid=27,https://www.mljp.co.jp/company/,yes,ok
株式会社メッツプロパティ,https://metsproperty.jp/,,,https://metsproperty.jp/contact/,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援,https://www.jpm.jp/branch/all.php?cid=5,https://metsproperty.jp/company/,yes,ok
株式会社メディエイトシップ,https://mediateship.com/,,,https://mediateship.com/contact/,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援,https://www.jpm.jp/branch/all.php?cid=14,https://mediateship.com/company/,yes,ok
株式会社モダンアパートメント,https://m-apartment.co.jp/,,,https://m-apartment.co.jp/contact/,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援,https://www.jpm.jp/branch/all.php?cid=27,https://m-apartment.co.jp/company/,yes,ok
株式会社モデスティ,https://modesty.co.jp/,,,https://modesty.co.jp/contact_mail/,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援,https://www.jpm.jp/branch/all.php?cid=14,https://modesty.co.jp/company/,yes,ok
株式会社ユアーズ・コーポレーション,https://www.yoursnet.com/,,,https://www.yoursnet.com/contact/,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援,https://www.jpm.jp/branch/all.php?cid=14,https://www.yoursnet.com/overview/,yes,ok
株式会社ユカリエ,https://www.yukarie.co.jp/,,,https://www.yukarie.co.jp/contact/,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援,https://www.jpm.jp/branch/all.php?cid=5,https://www.yukarie.co.jp/about/,yes,ok
株式会社ユタカコーポレーション,https://www.yutaka-c.co.jp/,,,https://www.yutaka-c.co.jp/topics/,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援,https://www.jpm.jp/branch/all.php?cid=1,https://www.yutaka-c.co.jp/company.html,yes,ok
株式会社ユニバーサル広告社,https://www.universal-ad.co.jp/,,,https://www.universal-ad.co.jp/contact/,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援,https://www.jpm.jp/branch/all.php?cid=14,https://www.universal-ad.co.jp/company/,yes,ok
株式会社ユニマットライフ,https://www.unimat-life.co.jp/,,,https://www.unimat-life.co.jp/contact/contact.php,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援,https://www.jpm.jp/branch/all.php?cid=14,https://www.unimat-life.co.jp/company/vision/,yes,ok
株式会社ユメックス,https://yumex-saga.com,,,https://yumex-saga.com/contact,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援,https://www.jpm.jp/branch/all.php?cid=41,https://yumex-saga.com,yes,ok
株式会社ライナフ,https://linough.com/,,,https://linough.com/contact/,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援,https://www.jpm.jp/branch/all.php?cid=14,https://linough.com/company/,yes,ok
株式会社ライフアップ,https://lifeap.co.jp/,,,https://lifeap.co.jp/contact,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援,https://www.jpm.jp/branch/all.php?cid=14,https://lifeap.co.jp/about/,yes,ok
株式会社ライフビジョン,http://www.life-vision.jp/,,,http://www.life-vision.jp//contact/,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援,https://www.jpm.jp/branch/all.php?cid=14,http://www.life-vision.jp//corporate/,yes,ok
株式会社ライフリンクス,https://www.est-gr.co.jp/owner/,,,https://www.est-gr.co.jp/owner/page06.html,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援,https://www.jpm.jp/branch/all.php?cid=27,https://www.est-gr.co.jp/owner/,yes,ok
株式会社ライフ不動産,https://www.life-kanri.co.jp/,,,https://www.life-kanri.co.jp/contact/,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援,https://www.jpm.jp/branch/all.php?cid=27,https://www.life-kanri.co.jp/company/,yes,ok
株式会社ライフ企画,https://life-k.formatline.com/?from=old,,,https://life-k.formatline.com/property/sale/search/,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援,https://www.jpm.jp/branch/all.php?cid=1,https://life-k.formatline.com/aboutus/,yes,ok
株式会社ライブズナビ,https://lives-navi.co.jp/,,,https://lives-navi.co.jp/contact/,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援,https://www.jpm.jp/branch/all.php?cid=14,https://lives-navi.co.jp/company/,yes,ok
株式会社ライブ大興,https://livedaiko.com/,,,https://livedaiko.com/form_nomal/,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援,https://www.jpm.jp/branch/all.php?cid=11,https://livedaiko.com/company/,yes,ok
株式会社ラッキー不動産,https://www.luckyfudousan.jp/,,,https://www.luckyfudousan.jp/contact,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援,https://www.jpm.jp/branch/all.php?cid=1,https://www.luckyfudousan.jp/company,yes,ok
株式会社ラックハウジング,https://www.luckhousing.info/,,,https://www.luckhousing.info/contact,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援,https://www.jpm.jp/branch/all.php?cid=27,https://www.luckhousing.info/company,yes,ok
株式会社ランドエスパース,https://www.landespace.co.jp/,,,https://www.landespace.co.jp/contact/,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援,https://www.jpm.jp/branch/all.php?cid=14,https://www.landespace.co.jp/company/,yes,ok
株式会社ランドトラスト,https://landtrust.co.jp/,,,https://landtrust.co.jp/customer/,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援,https://www.jpm.jp/branch/all.php?cid=13,https://landtrust.co.jp/about/,yes,ok
株式会社リアライフ,https://www.rl-group.jp/,,,https://www.rl-group.jp/contact,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援,https://www.jpm.jp/branch/all.php?cid=40,https://www.rl-group.jp/company/,yes,ok
株式会社リアルエステート,https://re-estate.co.jp/,,,https://re-estate.co.jp/contact/,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援,https://www.jpm.jp/branch/all.php?cid=27,https://re-estate.co.jp/corporate/,yes,ok
株式会社リアルビジョン,https://www.realv.jp/,,,https://www.realv.jp/consult/,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援,https://www.jpm.jp/branch/all.php?cid=14,https://www.realv.jp/about/,yes,ok
株式会社リズムライフ,https://www.rizum.biz/,,,https://www.rizum.biz/contact/,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援,https://www.jpm.jp/branch/all.php?cid=15,https://www.rizum.biz/company/,yes,ok
株式会社リセールバリュー,https://www.resalevalue.co.jp/,,,https://www.resalevalue.co.jp/%e3%81%8a%e5%95%8f%e3%81%84%e5%90%88%e3%82%8f%e3%81%9b,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援,https://www.jpm.jp/branch/all.php?cid=14,https://www.resalevalue.co.jp/%E4%BC%9A%E7%A4%BE%E6%A1%88%E5%86%85,yes,ok
株式会社リゾン,https://www.lizon.co.jp/,,,https://www.lizon.co.jp/inquiry/,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援,https://www.jpm.jp/branch/all.php?cid=11,https://www.lizon.co.jp/,yes,ok
株式会社リネア建築企画,https://www.linea.co.jp/,,,https://www.linea.co.jp/company/inquiry/,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援,https://www.jpm.jp/branch/all.php?cid=14,https://www.linea.co.jp/,yes,ok
株式会社リビングイン,https://livingin.co.jp/,,,https://livingin.co.jp/contact/,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援,https://www.jpm.jp/branch/all.php?cid=14,https://livingin.co.jp/about/,yes,ok
株式会社リビングギャラリー,https://www.living-gallery.com/,,,https://www.living-gallery.com/contact/,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援,https://www.jpm.jp/branch/all.php?cid=8,https://www.living-gallery.com/company/,yes,ok
