company_name,url,address,phone,contact_url,区分,検出ワード,source_url,profile_url,company_confirmed,fetch
【リョービMHIグラフィックテクノロジー株式会社】,https://www.ryobi-group.co.jp/graphic/,,,https://www.ryobi-group.co.jp/graphic/contact/,S｜地域印刷・販促物・ポスティング支援,福岡県印刷工業組合公式会員：商業印刷・販促物・企画制作,https://fukuoka-pia.or.jp/list/,https://www.ryobi-group.co.jp/graphic/,no,ok
【株式会社キングコーポレーション】,http://www.king-corp.co.jp/,,,http://www.king-corp.co.jp/contact/houjin/,S｜地域印刷・販促物・ポスティング支援,福岡県印刷工業組合公式会員：商業印刷・販促物・企画制作,https://fukuoka-pia.or.jp/list/,http://www.king-corp.co.jp/,no,ok
アオヤギ株式会社,https://aoyagi-f.co.jp/,,,https://aoyagi-f.co.jp/information/9/detail,S｜地域印刷・販促物・ポスティング支援,福岡県印刷工業組合公式会員：商業印刷・販促物・企画制作,https://fukuoka-pia.or.jp/list/,https://aoyagi-f.co.jp/,yes,ok
アド印刷株式会社,https://www.ad-printing.co.jp/,,,https://www.ad-printing.co.jp/contact/,S｜地域印刷・販促物・ポスティング支援,福岡県印刷工業組合公式会員：商業印刷・販促物・企画制作,https://fukuoka-pia.or.jp/list/,https://www.ad-printing.co.jp/,no,ok
ダイヤモンド秀巧社印刷株式会社,https://www.dspcorp.jp/,,,,S｜地域印刷・販促物・ポスティング支援,福岡県印刷工業組合公式会員：商業印刷・販促物・企画制作,https://fukuoka-pia.or.jp/list/,,no,SSLError
ツカサ印刷株式会社,https://tsukasa-printing.com/,,,https://tsukasa-printing.com/contact.php,S｜地域印刷・販促物・ポスティング支援,福岡県印刷工業組合公式会員：商業印刷・販促物・企画制作,https://fukuoka-pia.or.jp/list/,https://tsukasa-printing.com/company.php,yes,ok
マツオ印刷株式会社,https://www.matsuo-print.com/,,,https://www.matsuo-print.com/contact/,S｜地域印刷・販促物・ポスティング支援,福岡県印刷工業組合公式会員：商業印刷・販促物・企画制作,https://fukuoka-pia.or.jp/list/,https://www.matsuo-print.com/company/,yes,ok
三栄印刷株式会社,https://www.aaa-print.co.jp/,,,https://www.aaa-print.co.jp/contact/,S｜地域印刷・販促物・ポスティング支援,福岡県印刷工業組合公式会員：商業印刷・販促物・企画制作,https://fukuoka-pia.or.jp/list/,https://www.aaa-print.co.jp/company/,yes,ok
中央印刷株式会社,https://cp-one.jp/,,,https://cp-one.jp/contact/,S｜地域印刷・販促物・ポスティング支援,福岡県印刷工業組合公式会員：商業印刷・販促物・企画制作,https://fukuoka-pia.or.jp/list/,https://cp-one.jp/corporaccessate/,yes,ok
久留米印刷株式会社,https://www.kurume-insatsu.co.jp/,,,https://www.kurume-insatsu.co.jp/contact/,S｜地域印刷・販促物・ポスティング支援,福岡県印刷工業組合公式会員：商業印刷・販促物・企画制作,https://fukuoka-pia.or.jp/list/,https://www.kurume-insatsu.co.jp/company/,yes,ok
久野印刷株式会社,https://www.media-line.or.jp/hisano/,,,https://www.media-line.or.jp/hisano/contact/,S｜地域印刷・販促物・ポスティング支援,福岡県印刷工業組合公式会員：商業印刷・販促物・企画制作,https://fukuoka-pia.or.jp/list/,https://www.media-line.or.jp/hisano/company/,yes,ok
井上紙工印刷株式会社,https://e-isp.jp/,,,https://e-isp.jp/contact/,S｜地域印刷・販促物・ポスティング支援,福岡県印刷工業組合公式会員：商業印刷・販促物・企画制作,https://fukuoka-pia.or.jp/list/,https://e-isp.jp/gaiyou/,yes,ok
井上総合印刷株式会社,https://www.inoue-sogo.co.jp/,,,https://www.inoue-sogo.co.jp/company,S｜地域印刷・販促物・ポスティング支援,福岡県印刷工業組合公式会員：商業印刷・販促物・企画制作,https://fukuoka-pia.or.jp/list/,https://www.inoue-sogo.co.jp/about,yes,ok
今井印刷株式会社,https://imai-p.jp/,,,https://imai-p.jp/contact/,S｜地域印刷・販促物・ポスティング支援,福岡県印刷工業組合公式会員：商業印刷・販促物・企画制作,https://fukuoka-pia.or.jp/list/,https://imai-p.jp/aboutus/,yes,ok
今心株式会社,https://ima-gine.jp/,,,https://ima-gine.jp/contact,S｜地域印刷・販促物・ポスティング支援,福岡県印刷工業組合公式会員：商業印刷・販促物・企画制作,https://fukuoka-pia.or.jp/list/,https://ima-gine.jp/aboutus/,yes,ok
大商印刷株式会社,http://www.daisho-p.co.jp/,,,,S｜地域印刷・販促物・ポスティング支援,福岡県印刷工業組合公式会員：商業印刷・販促物・企画制作,https://fukuoka-pia.or.jp/list/,http://www.daisho-p.co.jp/,no,ok
大道印刷株式会社,http://www.daido-printing.co.jp/,,,http://www.daido-printing.co.jp/printtoiawase.html,S｜地域印刷・販促物・ポスティング支援,福岡県印刷工業組合公式会員：商業印刷・販促物・企画制作,https://fukuoka-pia.or.jp/list/,http://www.daido-printing.co.jp/,no,ok
大野印刷株式会社,https://www.ohno-print.jp/,,,https://www.ohno-print.jp/contact.html,S｜地域印刷・販促物・ポスティング支援,福岡県印刷工業組合公式会員：商業印刷・販促物・企画制作,https://fukuoka-pia.or.jp/list/,https://www.ohno-print.jp/company.html,yes,ok
太平印刷株式会社,https://taihei-printing.jp/,,,,S｜地域印刷・販促物・ポスティング支援,福岡県印刷工業組合公式会員：商業印刷・販促物・企画制作,https://fukuoka-pia.or.jp/list/,https://taihei-printing.jp/,no,ok
巧文社印刷株式会社,http://www.kobun.com/,,,http://www.kobun.com/contact/,S｜地域印刷・販促物・ポスティング支援,福岡県印刷工業組合公式会員：商業印刷・販促物・企画制作,https://fukuoka-pia.or.jp/list/,http://www.kobun.com/company/,yes,ok
昭和紙工株式会社,http://ww2.tiki.ne.jp/~showashiko/,,,,S｜地域印刷・販促物・ポスティング支援,福岡県印刷工業組合公式会員：商業印刷・販促物・企画制作,https://fukuoka-pia.or.jp/list/,http://ww2.tiki.ne.jp/~showashiko/,no,ok
