company_name,url,address,phone,contact_url,区分,検出ワード,source_url,profile_url,company_confirmed,fetch
あいおいニッセイ同和損害保険株式会社,https://www.aioinissaydowa.co.jp/,,,https://www.aioinissaydowa.co.jp/contact/agreement/,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援,https://www.jpm.jp/branch/all.php?cid=13,https://www.aioinissaydowa.co.jp/,no,ok
あおぞら不動産株式会社,https://www.aozorafudosan.com/,,,https://www.aozorafudosan.com/contact/,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援,https://www.jpm.jp/branch/all.php?cid=1,https://www.aozorafudosan.com/,no,ok
あすみらい株式会社,https://www.asumirai.co.jp/,,,,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援,https://www.jpm.jp/branch/all.php?cid=40,https://www.asumirai.co.jp/company/,yes,ok
あららぎ不動産株式会社,https://www.araragi.com/,,,https://www.araragi.com/reform/,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援,https://www.jpm.jp/branch/all.php?cid=18,https://www.araragi.com/company/,yes,ok
あんしん保証株式会社,https://anshin-gs.co.jp/,,,https://anshin-gs.co.jp/contact/,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援,https://www.jpm.jp/branch/all.php?cid=14,https://anshin-gs.co.jp/company/,yes,ok
いい管理株式会社,https://www.iikanri.com/,,,https://www.iikanri.com/contact,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援,https://www.jpm.jp/branch/all.php?cid=40,https://www.iikanri.com/company,yes,ok
かつみ不動産株式会社,https://www.katsumi-f.co.jp/,,,https://www.katsumi-f.co.jp/contact/,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援,https://www.jpm.jp/branch/all.php?cid=11,https://www.katsumi-f.co.jp/,no,ok
かんべ土地建物株式会社,https://www.kanbetochi.co.jp/,,,https://www.kanbetochi.co.jp/contact/,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援,https://www.jpm.jp/branch/all.php?cid=14,https://www.kanbetochi.co.jp/company/,yes,ok
くるめ地所株式会社,https://www.kurume-jisyo.co.jp/,,,https://www.kurume-jisyo.co.jp/contact,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援,https://www.jpm.jp/branch/all.php?cid=40,https://www.kurume-jisyo.co.jp/company,yes,ok
しずなび株式会社,https://corp.s-est.co.jp/,,,https://corp.s-est.co.jp/contact/,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援,https://www.jpm.jp/branch/all.php?cid=18,https://corp.s-est.co.jp/corporate/,yes,ok
すずき不動産株式会社,https://www.soundness-suzuki.com/,,,,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援,https://www.jpm.jp/branch/all.php?cid=18,,no,SSLError
すまいの日建住器有限会社,https://www.nj1.jp/,,,https://www.nj1.jp/inquiry.php,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援,https://www.jpm.jp/branch/all.php?cid=11,https://www.nj1.jp/company/,yes,ok
すみれリビング株式会社,https://as-hida.jp/,,,,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援,https://www.jpm.jp/branch/all.php?cid=20,https://as-hida.jp/about/,yes,ok
ほっと保証株式会社,https://hothosyou.co.jp/,,,https://hothosyou.co.jp/contact/,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援,https://www.jpm.jp/branch/all.php?cid=1,https://hothosyou.co.jp/corporate/,yes,ok
まさひろ商事不動産株式会社,https://www.masahiro-s.co.jp/,,,https://www.masahiro-s.co.jp/%e3%81%8a%e5%95%8f%e3%81%84%e5%90%88%e3%82%8f%e3%81%9b/,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援,https://www.jpm.jp/branch/all.php?cid=14,https://www.masahiro-s.co.jp/%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81/,yes,ok
まるさ住宅株式会社,https://www.marusa.net/,,,https://www.marusa.net/form/,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援,https://www.jpm.jp/branch/all.php?cid=45,https://www.marusa.net/company/,yes,ok
みづほ住販株式会社,https://www.miduho21.com/,,,https://www.miduho21.com/contact,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援,https://www.jpm.jp/branch/all.php?cid=14,https://www.miduho21.com/company,yes,ok
みらいずコンサルティング株式会社,https://mi-rize.com/,,,https://mi-rize.com/contact/,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援,https://www.jpm.jp/branch/all.php?cid=14,https://mi-rize.com/about/,yes,ok
みらい少額短期保険株式会社,https://www.mirai-hoken.co.jp/,,,https://www.mirai-hoken.co.jp/contact/,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援,https://www.jpm.jp/branch/all.php?cid=14,https://www.mirai-hoken.co.jp/company/info/,yes,ok
むさし産業株式会社,https://www.634sangyo.co.jp/,,,https://www.634sangyo.co.jp/reform,K｜地域不動産・賃貸管理・物件活用支援,日本賃貸住宅管理協会公式会員：地域の賃貸管理・不動産活用支援,https://www.jpm.jp/branch/all.php?cid=14,https://www.634sangyo.co.jp/company_profile,yes,ok
