company_name,url,address,phone,contact_url,区分,検出ワード,source_url
中央ビジコム株式会社,https://www.bijicom.co.jp/,,,,J｜医療IT・診療所システム導入支援,JAHIS公式会員：医療IT・電子カルテ・レセコン導入支援,https://www.jahis.jp/about/id%3D37?contents_type=10
株式会社ミック,https://www.mic.jp/,,,,J｜医療IT・診療所システム導入支援,JAHIS公式会員：歯科向け電子カルテ・レセコン支援,https://www.jahis.jp/about/id%3D37?contents_type=10
株式会社ソフトテックス,https://www.softtex.co.jp/,,,,J｜医療IT・診療所システム導入支援,JAHIS公式会員：医療システム構築・サポート,https://www.jahis.jp/about/id%3D37?contents_type=10
株式会社ラボテック,https://labotech.jp/,,,,J｜医療IT・診療所システム導入支援,JAHIS公式会員：診療所向け電子カルテ導入支援,https://www.jahis.jp/about/id%3D37?contents_type=10
株式会社ケアコム,https://www.carecom.jp/,,,,J｜医療IT・診療所システム導入支援,JAHIS公式会員：医療・介護情報通信システム支援,https://www.jahis.jp/about/id%3D37?contents_type=10
ノアメディカルシステム株式会社,https://www.noah-medicalsystem.jp/,,,,J｜医療IT・診療所システム導入支援,JAHIS公式会員：調剤薬局向けシステム導入支援,https://www.jahis.jp/about/id%3D37?contents_type=10
デンタルシステムズ株式会社,https://www.dentalsystems.jp/,,,,J｜医療IT・診療所システム導入支援,JAHIS公式会員：歯科医院向けDX・レセコン支援,https://www.jahis.jp/about/id%3D37?contents_type=10
株式会社モイネットシステム,https://www.moinetsystem.com/,,,,J｜医療IT・診療所システム導入支援,JAHIS公式会員：調剤薬局向けIT支援,https://www.jahis.jp/about/id%3D37?contents_type=10
株式会社グッドサイクルシステム,https://www.goodcycle.net/,,,,J｜医療IT・診療所システム導入支援,JAHIS公式会員：薬局向け電子薬歴・業務システム支援,https://www.jahis.jp/about/id%3D37?contents_type=10
株式会社エヌコム,https://ncom.jp/,,,,J｜医療IT・診療所システム導入支援,JAHIS公式会員：医療機関向け電子カルテ・IT基盤支援,https://www.jahis.jp/about/id%3D37?contents_type=10
メディカルアイ株式会社,https://www.medical-i.jp/,,,,J｜医療IT・診療所システム導入支援,JAHIS公式会員：クリニック向け医療IT・経営支援,https://www.jahis.jp/about/id%3D37?contents_type=10
株式会社ウィルアンドデンターフェイス,https://denf.co.jp/,,,,J｜医療IT・診療所システム導入支援,JAHIS公式会員：歯科用電子カルテ・レセコン支援,https://www.jahis.jp/about/id%3D37?contents_type=10
株式会社メディカル情報サービス,https://www.misrc.co.jp/,,,,J｜医療IT・診療所システム導入支援,公式サイト：医療システム導入・教育・運用支援,https://www.misrc.co.jp/
株式会社メディカルエージェンシー,https://www.medical-agency.co.jp/,,,,J｜医療IT・診療所システム導入支援,公式サイト：医療情報システム導入コンサルティング,https://www.medical-agency.co.jp/
CGIメディカル株式会社,https://www.cgi-med.com/,,,,J｜医療IT・診療所システム導入支援,公式サイト：病院経営改善・医療情報システム導入支援,https://www.cgi-med.com/
株式会社ラムテック,https://www.lamtec.co.jp/,,,,J｜医療IT・診療所システム導入支援,公式サイト：医用システム・画像処理導入支援,https://www.lamtec.co.jp/
株式会社医療IT研究所,https://www.mitlab.co.jp/,,,,J｜医療IT・診療所システム導入支援,公式サイト：医療・地域向け情報システム支援,https://www.mitlab.co.jp/
