company_name,url,address,phone,contact_url,区分,検出ワード,source_url,profile_url,company_confirmed,fetch
BPO文書電シカ株式会社,https://www.moriage.co.jp/,,,https://www.moriage.co.jp/toiawase.html,S｜地域印刷・販促物・ポスティング支援,大阪府印刷工業組合公式会員：商業印刷・販促物・企画制作,https://osaka-pia.or.jp/division11/,https://www.moriage.co.jp/,no,ok
HOTARU株式会社,https://hotaru.ltd/,,,https://hotaru.ltd/contact/,S｜地域印刷・販促物・ポスティング支援,大阪府印刷工業組合公式会員：商業印刷・販促物・企画制作,https://osaka-pia.or.jp/division06/,https://hotaru.ltd/company/,yes,ok
NADIX株式会社,http://nadix.co.jp/print/,,,,S｜地域印刷・販促物・ポスティング支援,大阪府印刷工業組合公式会員：商業印刷・販促物・企画制作,https://osaka-pia.or.jp/division07/,,no,HTTPError
OSPアドバンス株式会社,https://www.osp-advance.co.jp/,,,https://www.osp-advance.co.jp/information/,S｜地域印刷・販促物・ポスティング支援,大阪府印刷工業組合公式会員：商業印刷・販促物・企画制作,https://osaka-pia.or.jp/division07/,https://www.osp-advance.co.jp/,no,ok
あさひ高速印刷株式会社,https://www.ag-media.jp/,,,https://www.ag-media.jp/contact/form,S｜地域印刷・販促物・ポスティング支援,大阪府印刷工業組合公式会員：商業印刷・販促物・企画制作,https://osaka-pia.or.jp/division06/,https://www.ag-media.jp/,no,ok
なんば機械株式会社,https://www.namba-kikai.co.jp/,,,https://www.namba-kikai.co.jp/contact,S｜地域印刷・販促物・ポスティング支援,大阪府印刷工業組合公式会員：商業印刷・販促物・企画制作,https://osaka-pia.or.jp/division07/,https://www.namba-kikai.co.jp/company/,yes,ok
はまや印刷株式会社,http://www.hamayaprt.co.jp/,,,,S｜地域印刷・販促物・ポスティング支援,大阪府印刷工業組合公式会員：商業印刷・販促物・企画制作,https://osaka-pia.or.jp/division05/,http://www.hamayaprt.co.jp/,no,ok
やまかつ株式会社,https://yamakatsu.com/,,,https://yamakatsu.com/inquiry.php,S｜地域印刷・販促物・ポスティング支援,大阪府印刷工業組合公式会員：商業印刷・販促物・企画制作,https://osaka-pia.or.jp/division04/,https://yamakatsu.com/,no,ok
やまと印刷株式会社,https://ymtprint.co.jp:443/,,,https://ymtprint.co.jp:443/contact.html,S｜地域印刷・販促物・ポスティング支援,大阪府印刷工業組合公式会員：商業印刷・販促物・企画制作,https://osaka-pia.or.jp/division02/,https://ymtprint.co.jp:443/company.html,yes,ok
アサヒ精版株式会社,https://asahiseihan.jp/,,,https://asahiseihan.jp/contact/,S｜地域印刷・販促物・ポスティング支援,大阪府印刷工業組合公式会員：商業印刷・販促物・企画制作,https://osaka-pia.or.jp/division07/,https://asahiseihan.jp/company-profile/,yes,ok
アルプス印刷株式会社,https://alps-p.jp/,,,https://alps-p.jp/contact.html,S｜地域印刷・販促物・ポスティング支援,大阪府印刷工業組合公式会員：商業印刷・販促物・企画制作,https://osaka-pia.or.jp/division12/,https://alps-p.jp/,yes,ok
アーバン印刷株式会社,http://www.urbannet.co.jp/,,,,S｜地域印刷・販促物・ポスティング支援,大阪府印刷工業組合公式会員：商業印刷・販促物・企画制作,https://osaka-pia.or.jp/division06/,http://www.urbannet.co.jp/,no,ok
イシイ株式会社,http://www.ieps.co.jp/,,,http://www.ieps.co.jp/inquiry/,S｜地域印刷・販促物・ポスティング支援,大阪府印刷工業組合公式会員：商業印刷・販促物・企画制作,https://osaka-pia.or.jp/division06/,http://www.ieps.co.jp/,no,ok
オクイ株式会社,http://www.okui.co.jp/,,,http://www.okui.co.jp/contact.html,S｜地域印刷・販促物・ポスティング支援,大阪府印刷工業組合公式会員：商業印刷・販促物・企画制作,https://osaka-pia.or.jp/division07/,http://www.okui.co.jp/,no,ok
カキモト化工株式会社,http://www.kakimotokako.co.jp/,,,http://www.kakimotokako.co.jp/contact/index.htm,S｜地域印刷・販促物・ポスティング支援,大阪府印刷工業組合公式会員：商業印刷・販促物・企画制作,https://osaka-pia.or.jp/division04/,http://www.kakimotokako.co.jp/,no,ok
カワセコンピュータサプライ株式会社,https://www.kc-s.co.jp/,,,https://www.kc-s.co.jp/service/b-form/,S｜地域印刷・販促物・ポスティング支援,大阪府印刷工業組合公式会員：商業印刷・販促物・企画制作,https://osaka-pia.or.jp/division05/,https://www.kc-s.co.jp/company/,yes,ok
カーディナル株式会社,https://cardmarket.jp/,,,https://cardmarket.jp/estimation/,S｜地域印刷・販促物・ポスティング支援,大阪府印刷工業組合公式会員：商業印刷・販促物・企画制作,https://osaka-pia.or.jp/division02/,https://cardmarket.jp/article/knowledge/company/,yes,ok
キタグチ印刷株式会社,http://www.kitaguchi-p.jp/,,,,S｜地域印刷・販促物・ポスティング支援,大阪府印刷工業組合公式会員：商業印刷・販促物・企画制作,https://osaka-pia.or.jp/division06/,http://www.kitaguchi-p.jp/,no,ok
キハラ工芸株式会社,https://www.kiharakogei.com/,,,https://www.kiharakogei.com/informationprotect/informationprotect.html,S｜地域印刷・販促物・ポスティング支援,大阪府印刷工業組合公式会員：商業印刷・販促物・企画制作,https://osaka-pia.or.jp/division05/,https://www.kiharakogei.com/,no,ok
キング商事株式会社,http://www.kingsyoji.co.jp/,,,http://www.kingsyoji.co.jp/contact.html,S｜地域印刷・販促物・ポスティング支援,大阪府印刷工業組合公式会員：商業印刷・販促物・企画制作,https://osaka-pia.or.jp/division07/,http://www.kingsyoji.co.jp/,no,ok
コクヨＫハート株式会社,https://www.kokuyo-k-heart.com/,,,https://www.kokuyo-k-heart.com/contact/,S｜地域印刷・販促物・ポスティング支援,大阪府印刷工業組合公式会員：商業印刷・販促物・企画制作,https://osaka-pia.or.jp/division07/,https://www.kokuyo-k-heart.com/,no,ok
サン美術印刷株式会社,https://www.sunart.co.jp/,,,https://www.sunart.co.jp/contents/contact.html,S｜地域印刷・販促物・ポスティング支援,大阪府印刷工業組合公式会員：商業印刷・販促物・企画制作,https://osaka-pia.or.jp/division07/,https://www.sunart.co.jp/contents/about.html,yes,ok
