company_name,url,address,phone,contact_url,区分,検出ワード,source_url,profile_url,company_confirmed,fetch
HOTARU株式会社,https://hotaru.ltd/,,,https://hotaru.ltd/contact/,S｜地域印刷・販促物・ポスティング支援,大阪府印刷工業組合公式会員：商業印刷・販促物・企画制作,https://osaka-pia.or.jp/division06/,https://hotaru.ltd/company/,yes,ok
なんば機械株式会社,https://www.namba-kikai.co.jp/,,,https://www.namba-kikai.co.jp/contact,S｜地域印刷・販促物・ポスティング支援,大阪府印刷工業組合公式会員：商業印刷・販促物・企画制作,https://osaka-pia.or.jp/division07/,https://www.namba-kikai.co.jp/company/,yes,ok
やまと印刷株式会社,https://ymtprint.co.jp:443/,,,https://ymtprint.co.jp:443/contact.html,S｜地域印刷・販促物・ポスティング支援,大阪府印刷工業組合公式会員：商業印刷・販促物・企画制作,https://osaka-pia.or.jp/division02/,https://ymtprint.co.jp:443/company.html,yes,ok
アサヒ精版株式会社,https://asahiseihan.jp/,,,https://asahiseihan.jp/contact/,S｜地域印刷・販促物・ポスティング支援,大阪府印刷工業組合公式会員：商業印刷・販促物・企画制作,https://osaka-pia.or.jp/division07/,https://asahiseihan.jp/company-profile/,yes,ok
アルプス印刷株式会社,https://alps-p.jp/,,,https://alps-p.jp/contact.html,S｜地域印刷・販促物・ポスティング支援,大阪府印刷工業組合公式会員：商業印刷・販促物・企画制作,https://osaka-pia.or.jp/division12/,https://alps-p.jp/,yes,ok
カワセコンピュータサプライ株式会社,https://www.kc-s.co.jp/,,,https://www.kc-s.co.jp/service/b-form/,S｜地域印刷・販促物・ポスティング支援,大阪府印刷工業組合公式会員：商業印刷・販促物・企画制作,https://osaka-pia.or.jp/division05/,https://www.kc-s.co.jp/company/,yes,ok
カーディナル株式会社,https://cardmarket.jp/,,,https://cardmarket.jp/estimation/,S｜地域印刷・販促物・ポスティング支援,大阪府印刷工業組合公式会員：商業印刷・販促物・企画制作,https://osaka-pia.or.jp/division02/,https://cardmarket.jp/article/knowledge/company/,yes,ok
サン美術印刷株式会社,https://www.sunart.co.jp/,,,https://www.sunart.co.jp/contents/contact.html,S｜地域印刷・販促物・ポスティング支援,大阪府印刷工業組合公式会員：商業印刷・販促物・企画制作,https://osaka-pia.or.jp/division07/,https://www.sunart.co.jp/contents/about.html,yes,ok
セキセイ株式会社,http://www.sedia.co.jp/,,,https://www.sedia.co.jp/inquiry,S｜地域印刷・販促物・ポスティング支援,大阪府印刷工業組合公式会員：商業印刷・販促物・企画制作,https://osaka-pia.or.jp/division11/,https://www.sedia.co.jp/about/,yes,ok
ダイワ光芸株式会社,https://www.daiwakk.com/,,,https://www.daiwakk.com/form/daiwakk-xlab/contact,S｜地域印刷・販促物・ポスティング支援,大阪府印刷工業組合公式会員：商業印刷・販促物・企画制作,https://osaka-pia.or.jp/division07/,https://www.daiwakk.com/company,yes,ok
トキワ印刷株式会社,https://www.tokiwa-print.co.jp/,,,https://www.tokiwa-print.co.jp/package/form,S｜地域印刷・販促物・ポスティング支援,大阪府印刷工業組合公式会員：商業印刷・販促物・企画制作,https://osaka-pia.or.jp/division06/,https://www.tokiwa-print.co.jp/information/profile/,yes,ok
ニチダイ株式会社,http://nichidai-kk.com/,,,http://nichidai-kk.com/information.html,S｜地域印刷・販促物・ポスティング支援,大阪府印刷工業組合公式会員：商業印刷・販促物・企画制作,https://osaka-pia.or.jp/division12/,http://nichidai-kk.com/information.html,yes,ok
プリントビズ株式会社,https://www.printbiz.co.jp/,,,https://www.printbiz.co.jp/form/index.html,S｜地域印刷・販促物・ポスティング支援,大阪府印刷工業組合公式会員：商業印刷・販促物・企画制作,https://osaka-pia.or.jp/division01/,https://www.printbiz.co.jp/profile/index.html,yes,ok
ヘリオグラビア印刷株式会社,http://www.heliogravure.co.jp/,,,http://www.heliogravure.co.jp/contact/contact.html,S｜地域印刷・販促物・ポスティング支援,大阪府印刷工業組合公式会員：商業印刷・販促物・企画制作,https://osaka-pia.or.jp/division07/,http://www.heliogravure.co.jp/about/about-top.html,yes,ok
ヤマックス株式会社,https://www.yamacs.co.jp/,,,https://www.yamacs.co.jp/contact/,S｜地域印刷・販促物・ポスティング支援,大阪府印刷工業組合公式会員：商業印刷・販促物・企画制作,https://osaka-pia.or.jp/division04/,https://www.yamacs.co.jp/about/,yes,ok
レスター工業株式会社,https://www.lester.co.jp/,,,https://www.lester.co.jp/inquiry/,S｜地域印刷・販促物・ポスティング支援,大阪府印刷工業組合公式会員：商業印刷・販促物・企画制作,https://osaka-pia.or.jp/division05/,https://www.lester.co.jp/company/,yes,ok
中井銘鈑株式会社,https://www.nakaimeiban.co.jp/,,,https://www.nakaimeiban.co.jp/otoiawase/,S｜地域印刷・販促物・ポスティング支援,大阪府印刷工業組合公式会員：商業印刷・販促物・企画制作,https://osaka-pia.or.jp/division05/,https://www.nakaimeiban.co.jp/,yes,ok
丸山印刷株式会社,https://www.maruyama-p.co.jp/,,,https://www.maruyama-p.co.jp/contact/,S｜地域印刷・販促物・ポスティング支援,大阪府印刷工業組合公式会員：商業印刷・販促物・企画制作,https://osaka-pia.or.jp/division01/,https://www.maruyama-p.co.jp/aboutus,yes,ok
作道印刷株式会社,https://www.sakudo.co.jp/,,,https://www.sakudo.co.jp/contact/,S｜地域印刷・販促物・ポスティング支援,大阪府印刷工業組合公式会員：商業印刷・販促物・企画制作,https://osaka-pia.or.jp/division05/,https://www.sakudo.co.jp/company/,yes,ok
