company_name,url,address,phone,contact_url,区分,検出ワード,source_url,profile_url,company_confirmed,fetch
AI TECHNOLOGY株式会社,https://ai-technology.co.jp/,,,https://ai-technology.co.jp/contact/,I｜小売・スーパー向け店舗設備・販促・システム支援,全国スーパーマーケット協会公式賛助会員：情報・サービス・販売促進・研究・メディア,https://www.super.or.jp/?page_id=73,https://ai-technology.co.jp/company/,yes,ok
ANDCOCO株式会社,https://andcoco.co.jp/,,,https://andcoco.co.jp/contact/,I｜小売・スーパー向け店舗設備・販促・システム支援,全国スーパーマーケット協会公式賛助会員：情報・サービス・販売促進・研究・メディア,https://www.super.or.jp/?page_id=73,https://andcoco.co.jp/about/,yes,ok
BIPROGY,https://www.biprogy.com/,,,https://www.biprogy.com/contact,I｜小売・スーパー向け店舗設備・販促・システム支援,全国スーパーマーケット協会公式賛助会員：情報・サービス・販売促進・研究・メディア,https://www.super.or.jp/?page_id=73,https://www.biprogy.com/com/corporate_philosophy.html,no,ok
Best Beer Japan,https://www.bestbeerjapan.com/,,,https://www.bestbeerjapan.com/,I｜小売・スーパー向け店舗設備・販促・システム支援,全国スーパーマーケット協会公式賛助会員：情報・サービス・販売促進・研究・メディア,https://www.super.or.jp/?page_id=73,https://www.bestbeerjapan.com/,no,ok
Dahua Technology Japan,https://www.dahuasecurity.com/Japan/,,,https://www.dahuasecurity.com/Japan/informationDesk?type=1,I｜小売・スーパー向け店舗設備・販促・システム支援,全国スーパーマーケット協会公式賛助会員：店舗設備・システム・設計・エネルギー,https://www.super.or.jp/?page_id=73,https://www.dahuasecurity.com/Japan/aboutUs/introduction/0,no,ok
Earth hacks株式会社,https://co.earth-hacks.jp/,,,,I｜小売・スーパー向け店舗設備・販促・システム支援,全国スーパーマーケット協会公式賛助会員：情報・サービス・販売促進・研究・メディア,https://www.super.or.jp/?page_id=73,https://co.earth-hacks.jp/about/,yes,ok
GSK,http://www.gsk-clean.com/,,,,I｜小売・スーパー向け店舗設備・販促・システム支援,全国スーパーマーケット協会公式賛助会員：店舗設備・システム・設計・エネルギー,https://www.super.or.jp/?page_id=73,http://www.gsk-clean.com/company.html,no,ok
Hanshow Japan,https://www.hanshow.com/ja,,,https://www.hanshow.com/ja/case/leroy-merlin-takes-a-major-step-in-achieving-digital-store-transformation-with-hanshow-esl-solution,I｜小売・スーパー向け店舗設備・販促・システム支援,全国スーパーマーケット協会公式賛助会員：店舗設備・システム・設計・エネルギー,https://www.super.or.jp/?page_id=73,https://www.hanshow.com/ja,no,ok
K･Pクリエイションズ,https://www.koyanagi.co.jp/,,,https://www.koyanagi.co.jp/contact/index.html,I｜小売・スーパー向け店舗設備・販促・システム支援,全国スーパーマーケット協会公式賛助会員：情報・サービス・販売促進・研究・メディア,https://www.super.or.jp/?page_id=73,https://www.koyanagi.co.jp/,no,ok
L-founders of loyalty Japan,https://www.l-founders.com/,,,https://www.l-founders.com/contact,I｜小売・スーパー向け店舗設備・販促・システム支援,全国スーパーマーケット協会公式賛助会員：情報・サービス・販売促進・研究・メディア,https://www.super.or.jp/?page_id=73,https://www.l-founders.com/,no,ok
NTTドコモ,https://www.docomo.ne.jp/,,,https://www.docomo.ne.jp/support/inquiry/feedback/?icid=CRP_common_footer_to_CRP_SUP_inquiry_feedback,I｜小売・スーパー向け店舗設備・販促・システム支援,全国スーパーマーケット協会公式賛助会員：情報・サービス・販売促進・研究・メディア,https://www.super.or.jp/?page_id=73,https://www.docomo.ne.jp/corporate/?icid=CRP_menu_to_CRP_CORP,no,ok
ONE COMPATH,https://onecompath.com/,,,https://onecompath.com/inquiry/,I｜小売・スーパー向け店舗設備・販促・システム支援,全国スーパーマーケット協会公式賛助会員：情報・サービス・販売促進・研究・メディア,https://www.super.or.jp/?page_id=73,https://onecompath.com/company/,no,ok
Pudu Robotics Japan,https://www.pudurobotics.com/jp,,,https://www.pudurobotics.com/jp/contact-us,I｜小売・スーパー向け店舗設備・販促・システム支援,全国スーパーマーケット協会公式賛助会員：店舗設備・システム・設計・エネルギー,https://www.super.or.jp/?page_id=73,https://www.pudurobotics.com/jp,no,ok
SCENTMATIC,https://scentmatic.co.jp/,,,,I｜小売・スーパー向け店舗設備・販促・システム支援,全国スーパーマーケット協会公式賛助会員：情報・サービス・販売促進・研究・メディア,https://www.super.or.jp/?page_id=73,https://scentmatic.co.jp/,no,ok
SCSK,https://www.scsk.jp/,,,,I｜小売・スーパー向け店舗設備・販促・システム支援,全国スーパーマーケット協会公式賛助会員：情報・サービス・販売促進・研究・メディア,https://www.super.or.jp/?page_id=73,https://www.scsk.jp/,no,ok
STORES,https://stores.fun/,,,https://stores.fun/online-payments,I｜小売・スーパー向け店舗設備・販促・システム支援,全国スーパーマーケット協会公式賛助会員：情報・サービス・販売促進・研究・メディア,https://www.super.or.jp/?page_id=73,https://stores.fun/,no,ok
TECH CREW株式会社,https://techcrew.co.jp/,,,https://techcrew.co.jp/,I｜小売・スーパー向け店舗設備・販促・システム支援,全国スーパーマーケット協会公式賛助会員：情報・サービス・販売促進・研究・メディア,https://www.super.or.jp/?page_id=73,https://techcrew.co.jp/company/,yes,ok
TOPPAN,https://www.holdings.toppan.com/ja/,,,https://www.holdings.toppan.com/ja/inquiry.html,I｜小売・スーパー向け店舗設備・販促・システム支援,全国スーパーマーケット協会公式賛助会員：情報・サービス・販売促進・研究・メディア,https://www.super.or.jp/?page_id=73,https://www.holdings.toppan.com/ja/about-us/,no,ok
TOSEI,https://www.tosei-corporation.co.jp/,,,https://www.tosei-corporation.co.jp/contact_all/,I｜小売・スーパー向け店舗設備・販促・システム支援,全国スーパーマーケット協会公式賛助会員：店舗設備・システム・設計・エネルギー,https://www.super.or.jp/?page_id=73,https://www.tosei-corporation.co.jp/,no,ok
TechMagic株式会社,https://techmagic.co.jp/,,,https://techmagic.co.jp/contact/,I｜小売・スーパー向け店舗設備・販促・システム支援,全国スーパーマーケット協会公式賛助会員：店舗設備・システム・設計・エネルギー,https://www.super.or.jp/?page_id=73,https://techmagic.co.jp/company/,yes,ok
VTIジャパン,https://vtijapan.co.jp/,,,https://vtijapan.co.jp/microsoft-power-platform-development-services,I｜小売・スーパー向け店舗設備・販促・システム支援,全国スーパーマーケット協会公式賛助会員：情報・サービス・販売促進・研究・メディア,https://www.super.or.jp/?page_id=73,https://vtijapan.co.jp/,no,ok
Venture Lab.株式会社,https://venture-lab.jp/,,,,I｜小売・スーパー向け店舗設備・販促・システム支援,全国スーパーマーケット協会公式賛助会員：情報・サービス・販売促進・研究・メディア,https://www.super.or.jp/?page_id=73,https://venture-lab.jp/company/,yes,ok
menu magazine,https://menumagazine.co.jp/,,,,I｜小売・スーパー向け店舗設備・販促・システム支援,全国スーパーマーケット協会公式賛助会員：情報・サービス・販売促進・研究・メディア,https://www.super.or.jp/?page_id=73,https://menumagazine.co.jp/,no,ok
ぐるなび上海,https://www.gudumami.com/,,,https://www.gudumami.com/,I｜小売・スーパー向け店舗設備・販促・システム支援,全国スーパーマーケット協会公式賛助会員：情報・サービス・販売促進・研究・メディア,https://www.super.or.jp/?page_id=73,https://www.gudumami.com/,no,ok
ゆめカード,https://www.youmecard.jp/,,,https://www.youmecard.jp/important/important_detail_000074.html,I｜小売・スーパー向け店舗設備・販促・システム支援,全国スーパーマーケット協会公式賛助会員：情報・サービス・販売促進・研究・メディア,https://www.super.or.jp/?page_id=73,https://www.youmecard.jp/,no,ok
アイドマ マーケティング コミュニケーション,http://www.e-aidma.co.jp/,,,https://www.e-aidma.co.jp/contact/,I｜小売・スーパー向け店舗設備・販促・システム支援,全国スーパーマーケット協会公式賛助会員：情報・サービス・販売促進・研究・メディア,https://www.super.or.jp/?page_id=73,http://www.e-aidma.co.jp/,no,ok
アイリスオーヤマ,https://www.irisohyama.co.jp/,,,https://www.irisohyama.co.jp/partner/,I｜小売・スーパー向け店舗設備・販促・システム支援,全国スーパーマーケット協会公式賛助会員：店舗設備・システム・設計・エネルギー,https://www.super.or.jp/?page_id=73,https://www.irisohyama.co.jp/,no,ok
アクアリンク,https://www.aqualink.co.jp/,,,https://www.aqualink.co.jp/contact/,I｜小売・スーパー向け店舗設備・販促・システム支援,全国スーパーマーケット協会公式賛助会員：店舗設備・システム・設計・エネルギー,https://www.super.or.jp/?page_id=73,https://www.aqualink.co.jp/,no,ok
アスピランツ株式会社,https://www.aspirants.biz/,,,https://www.aspirants.biz,I｜小売・スーパー向け店舗設備・販促・システム支援,全国スーパーマーケット協会公式賛助会員：情報・サービス・販売促進・研究・メディア,https://www.super.or.jp/?page_id=73,https://www.aspirants.biz/,yes,ok
アトム技研株式会社,https://www.atomgiken.co.jp/,,,https://www.atomgiken.co.jp/contact,I｜小売・スーパー向け店舗設備・販促・システム支援,全国スーパーマーケット協会公式賛助会員：店舗用品・資材,https://www.super.or.jp/?page_id=73,https://www.atomgiken.co.jp/corporateinfo,yes,ok
アドインテ,https://adinte.co.jp/,,,https://adinte.co.jp/contact/,I｜小売・スーパー向け店舗設備・販促・システム支援,全国スーパーマーケット協会公式賛助会員：情報・サービス・販売促進・研究・メディア,https://www.super.or.jp/?page_id=73,https://adinte.co.jp/company/,no,ok
アースクリーン東北,https://www.earthclean.co.jp/,,,https://www.earthclean.co.jp/inquiry/mailform.cgi,I｜小売・スーパー向け店舗設備・販促・システム支援,全国スーパーマーケット協会公式賛助会員：店舗設備・システム・設計・エネルギー,https://www.super.or.jp/?page_id=73,https://www.earthclean.co.jp/,no,ok
イフコ・ジャパン株式会社,https://www.ifco.com/ja/,,,https://www.ifco.com/ja/contact/,I｜小売・スーパー向け店舗設備・販促・システム支援,全国スーパーマーケット協会公式賛助会員：店舗用品・資材,https://www.super.or.jp/?page_id=73,https://www.ifco.com/ja/about-us/media-center/,yes,ok
イーサポートリンク株式会社,https://www.e-supportlink.com/,,,https://www.e-supportlink.com/contact/,I｜小売・スーパー向け店舗設備・販促・システム支援,全国スーパーマーケット協会公式賛助会員：情報・サービス・販売促進・研究・メディア,https://www.super.or.jp/?page_id=73,https://www.e-supportlink.com/about/,yes,ok
イーシームズ株式会社,https://www.e-sems.co.jp/,,,https://www.e-sems.co.jp/contact/,I｜小売・スーパー向け店舗設備・販促・システム支援,全国スーパーマーケット協会公式賛助会員：店舗設備・システム・設計・エネルギー,https://www.super.or.jp/?page_id=73,https://www.e-sems.co.jp/info/,yes,ok
イーパック,http://www.1189.co.jp/,,,,I｜小売・スーパー向け店舗設備・販促・システム支援,全国スーパーマーケット協会公式賛助会員：店舗用品・資材,https://www.super.or.jp/?page_id=73,http://www.1189.co.jp/,no,ok
ウォーターポイント株式会社,https://waterpoint.co.jp/,,,https://waterpoint.co.jp/contact/,I｜小売・スーパー向け店舗設備・販促・システム支援,全国スーパーマーケット協会公式賛助会員：店舗設備・システム・設計・エネルギー,https://www.super.or.jp/?page_id=73,https://waterpoint.co.jp/company/,yes,ok
エイジス,https://www.ajis.jp/,,,https://www.ajis.jp/contact/,I｜小売・スーパー向け店舗設備・販促・システム支援,全国スーパーマーケット協会公式賛助会員：情報・サービス・販売促進・研究・メディア,https://www.super.or.jp/?page_id=73,https://www.ajis.jp/corporate/,no,ok
エフピコ,https://www.fpco.jp/,,,https://www.fpco.jp/contact.html,I｜小売・スーパー向け店舗設備・販促・システム支援,全国スーパーマーケット協会公式賛助会員：店舗用品・資材,https://www.super.or.jp/?page_id=73,https://www.fpco.jp/about.html,no,ok
エフピコチューパ株式会社,https://chupa.co.jp/,,,https://chupa.co.jp/contact/,I｜小売・スーパー向け店舗設備・販促・システム支援,全国スーパーマーケット協会公式賛助会員：店舗用品・資材,https://www.super.or.jp/?page_id=73,https://chupa.co.jp/company/,yes,ok
エー・トゥ・ビー,https://www.atob.co.jp/,,,https://www.atob.co.jp/contact/,I｜小売・スーパー向け店舗設備・販促・システム支援,全国スーパーマーケット協会公式賛助会員：情報・サービス・販売促進・研究・メディア,https://www.super.or.jp/?page_id=73,https://www.atob.co.jp/,no,ok
オザックス株式会社,https://www.ozax.co.jp/,,,https://www.ozax.co.jp/contact.html,I｜小売・スーパー向け店舗設備・販促・システム支援,全国スーパーマーケット協会公式賛助会員：店舗用品・資材,https://www.super.or.jp/?page_id=73,https://www.ozax.co.jp/company.html,yes,ok
オールアバウトライフマーケティング,https://www.lifemarketing.co.jp/,,,https://www.lifemarketing.co.jp/information/,I｜小売・スーパー向け店舗設備・販促・システム支援,全国スーパーマーケット協会公式賛助会員：情報・サービス・販売促進・研究・メディア,https://www.super.or.jp/?page_id=73,https://www.lifemarketing.co.jp/,no,ok
カルチュア・エクスペリエンス株式会社,https://cl-ex.co.jp/,,,https://cl-ex.co.jp/contact/,I｜小売・スーパー向け店舗設備・販促・システム支援,全国スーパーマーケット協会公式賛助会員：情報・サービス・販売促進・研究・メディア,https://www.super.or.jp/?page_id=73,https://cl-ex.co.jp/company/,yes,ok
カーゴメンテナンス,https://cargo-m.jp/,,,https://cargo-m.jp/contact/,I｜小売・スーパー向け店舗設備・販促・システム支援,全国スーパーマーケット協会公式賛助会員：店舗用品・資材,https://www.super.or.jp/?page_id=73,https://cargo-m.jp/,no,ok
ガッシュ・アド,https://gashad.jp/,,,https://gashad.jp/contact/,I｜小売・スーパー向け店舗設備・販促・システム支援,全国スーパーマーケット協会公式賛助会員：情報・サービス・販売促進・研究・メディア,https://www.super.or.jp/?page_id=73,https://gashad.jp/,no,ok
キヤノンプロダクションプリンティングシステムズ株式会社,https://corporate.jp.canon/profile/group/production-printing-systems,,,https://corporate.jp.canon/profile/group/production-printing-systems/inquiry,I｜小売・スーパー向け店舗設備・販促・システム支援,全国スーパーマーケット協会公式賛助会員：店舗設備・システム・設計・エネルギー,https://www.super.or.jp/?page_id=73,https://corporate.jp.canon/profile/group/production-printing-systems,yes,ok
