company_name,url,address,phone,contact_url,区分,検出ワード,source_url,profile_url,company_confirmed,fetch
おうち・ぷらす株式会社,https://ouchiplus.design/,,,https://ouchiplus.design/reform/,H｜店舗内装・設計施工・什器・設備支援,日本店装チェーン公式会員：商業施設・店舗の企画設計・施工・什器制作,https://tenso-chain.or.jp/member/,https://ouchiplus.design/about/,yes,ok
商環境ネットワーク株式会社,http://www.s-kankyo.com/,,,http://www.s-kankyo.com/contact/,H｜店舗内装・設計施工・什器・設備支援,日本店装チェーン公式会員：商業施設・店舗の企画設計・施工・什器制作,https://tenso-chain.or.jp/member/,http://www.s-kankyo.com/company/,yes,ok
有限会社千田ウインド,https://chida-w.sakura.ne.jp/,,,,H｜店舗内装・設計施工・什器・設備支援,日本店装チェーン公式会員：商業施設・店舗の企画設計・施工・什器制作,https://tenso-chain.or.jp/member/,https://chida-w.sakura.ne.jp/,no,ok
有限会社明装工業社,http://www.meisou.co.jp/,,,,H｜店舗内装・設計施工・什器・設備支援,日本店装チェーン公式会員：商業施設・店舗の企画設計・施工・什器制作,https://tenso-chain.or.jp/member/,http://www.meisou.co.jp/,no,ok
株式会社Blick,https://www.blick4.co.jp/,,,,H｜店舗内装・設計施工・什器・設備支援,日本店装チェーン公式会員：商業施設・店舗の企画設計・施工・什器制作,https://tenso-chain.or.jp/member/,https://www.blick4.co.jp/,no,ok
株式会社EST,https://www.estnaisou.com/,,,https://www.estnaisou.com/contact,H｜店舗内装・設計施工・什器・設備支援,日本店装チェーン公式会員：商業施設・店舗の企画設計・施工・什器制作,https://tenso-chain.or.jp/member/,https://www.estnaisou.com/gaiyou,yes,ok
株式会社Ⅿ.Gリレイションズ,http://mg-relations.com/,,,http://mg-relations.com/contact/,H｜店舗内装・設計施工・什器・設備支援,日本店装チェーン公式会員：商業施設・店舗の企画設計・施工・什器制作,https://tenso-chain.or.jp/member/,http://mg-relations.com/,no,ok
株式会社アルフア,https://alpha1120.com/,,,https://alpha1120.com/contactcom/,H｜店舗内装・設計施工・什器・設備支援,日本店装チェーン公式会員：商業施設・店舗の企画設計・施工・什器制作,https://tenso-chain.or.jp/member/,https://alpha1120.com/companyoverview/,yes,ok
株式会社アートプロジェクト,https://www.artproject.co.jp/,,,https://www.artproject.co.jp/inquiry/,H｜店舗内装・設計施工・什器・設備支援,日本店装チェーン公式会員：商業施設・店舗の企画設計・施工・什器制作,https://tenso-chain.or.jp/member/,https://www.artproject.co.jp/company/,yes,ok
株式会社カトー,http://www.kato-create.com/,,,,H｜店舗内装・設計施工・什器・設備支援,日本店装チェーン公式会員：商業施設・店舗の企画設計・施工・什器制作,https://tenso-chain.or.jp/member/,,no,HTTPError
株式会社キング,http://www.i-king.co.jp/,,,,H｜店舗内装・設計施工・什器・設備支援,日本店装チェーン公式会員：商業施設・店舗の企画設計・施工・什器制作,https://tenso-chain.or.jp/member/,,no,ConnectionError
株式会社サンエス装備,https://suns-soubi.jp/,,,https://suns-soubi.jp/contact.html,H｜店舗内装・設計施工・什器・設備支援,日本店装チェーン公式会員：商業施設・店舗の企画設計・施工・什器制作,https://tenso-chain.or.jp/member/,https://suns-soubi.jp/,no,ok
株式会社サンシステム,https://www.sunsystem-net.co.jp/,,,https://www.sunsystem-net.co.jp/contact.html,H｜店舗内装・設計施工・什器・設備支援,日本店装チェーン公式会員：商業施設・店舗の企画設計・施工・什器制作,https://tenso-chain.or.jp/member/,https://www.sunsystem-net.co.jp/,no,ok
株式会社セラタ,https://www.serata.co.jp/,,,https://www.serata.co.jp/contact/,H｜店舗内装・設計施工・什器・設備支援,日本店装チェーン公式会員：商業施設・店舗の企画設計・施工・什器制作,https://tenso-chain.or.jp/member/,https://www.serata.co.jp/company/,yes,ok
株式会社タキザワ,https://www.tw-takizawa.com/,,,http://www.tw-takizawa.com/wp/contact,H｜店舗内装・設計施工・什器・設備支援,日本店装チェーン公式会員：商業施設・店舗の企画設計・施工・什器制作,https://tenso-chain.or.jp/member/,https://www.tw-takizawa.com/about-us/,yes,ok
株式会社デザインセンター,http://design-center.biz/,,,,H｜店舗内装・設計施工・什器・設備支援,日本店装チェーン公式会員：商業施設・店舗の企画設計・施工・什器制作,https://tenso-chain.or.jp/member/,http://design-center.biz/about_us/,yes,ok
株式会社バル・プランニング,https://www.val-planning.com/,,,https://www.val-planning.com/,H｜店舗内装・設計施工・什器・設備支援,日本店装チェーン公式会員：商業施設・店舗の企画設計・施工・什器制作,https://tenso-chain.or.jp/member/,https://www.val-planning.com/about/,yes,ok
株式会社ボッチ,https://bottch.jp/,,,,H｜店舗内装・設計施工・什器・設備支援,日本店装チェーン公式会員：商業施設・店舗の企画設計・施工・什器制作,https://tenso-chain.or.jp/member/,https://bottch.jp/,yes,ok
