company_name,url,address,phone,contact_url,区分,検出ワード,source_url,profile_url,company_confirmed,fetch
キングプリンティング株式会社,https://www.kingprinting.co.jp/,,,https://www.kingprinting.co.jp/contact/,S｜屋外広告・看板・サイン・店舗外装支援,大阪屋外広告美術協同組合公式組合員：大型オフセット印刷物・布転写・ＰＯＰ製品、特大インクジェットプリント(5ｍ幅),https://www.daikokyo.or.jp/meibo_list.php?parts=06,https://www.kingprinting.co.jp/,yes,ok
サインテック株式会社,http://www.sign-tech.co.jp/,,,https://www.sign-tech.co.jp/contact/index.html,S｜屋外広告・看板・サイン・店舗外装支援,大阪屋外広告美術協同組合公式組合員：ネオンサイン・各種屋内外サイン・設計・施工・保守,https://www.daikokyo.or.jp/meibo_list.php?parts=03,https://www.sign-tech.co.jp/company,yes,ok
セルカム株式会社,https://selcam.co.jp/,,,https://selcam.co.jp/contact/,S｜屋外広告・看板・サイン・店舗外装支援,大阪屋外広告美術協同組合公式組合員：サイン関連の機器販売、材料販売、制作加工,https://www.daikokyo.or.jp/meibo_list.php?parts=05,https://selcam.co.jp/company/,yes,ok
デコラティブシステム株式会社,https://www.decora.jp/,,,https://www.decora.jp/contact/,S｜屋外広告・看板・サイン・店舗外装支援,大阪屋外広告美術協同組合公式組合員：住友スリーエム社特約店、スコッチカルフィルム販売・屋内外フィルムの加工販売・スコッチプリント2000・インクジェット出力サービス及び同施工・ガラスフィルム施工,https://www.daikokyo.or.jp/meibo_list.php?parts=03,https://www.decora.jp/,yes,ok
ニチエ株式会社,https://www.nitie.co.jp/,,,https://www.nitie.co.jp/contact/,S｜屋外広告・看板・サイン・店舗外装支援,大阪屋外広告美術協同組合公式組合員：看板ディスプレイ用資材の製造と機器材の販売,https://www.daikokyo.or.jp/meibo_list.php?parts=03,https://www.nitie.co.jp/company/,yes,ok
ニューラルマーケティング株式会社,https://neuralmarketing.co.jp/,,,https://neuralmarketing.co.jp/news/,S｜屋外広告・看板・サイン・店舗外装支援,大阪屋外広告美術協同組合公式組合員：インターネット付随事業雄及び電飾看板の販売、製造,https://www.daikokyo.or.jp/meibo_list.php?parts=06,https://neuralmarketing.co.jp/company/,yes,ok
マクテック株式会社,http://www.maktech.co.jp/,,,https://www.maktech.co.jp/contact/,S｜屋外広告・看板・サイン・店舗外装支援,大阪屋外広告美術協同組合公式組合員：幕構造物、屋外装飾、サイン 製造･取付･販売,https://www.daikokyo.or.jp/meibo_list.php?parts=07,https://www.maktech.co.jp/company/,yes,ok
七曜企画株式会社,https://nanayou-k.co.jp/,,,https://nanayou-k.co.jp/contact/,S｜屋外広告・看板・サイン・店舗外装支援,大阪屋外広告美術協同組合公式組合員：交通広告・屋外広告の企画・設計・施工・新しい広告媒体の企画・開発,https://www.daikokyo.or.jp/meibo_list.php?parts=05,https://nanayou-k.co.jp/company/,yes,ok
住友広告株式会社,https://www.sumitomo-ad.co.jp/,,,https://www.sumitomo-ad.co.jp/contact.php,S｜屋外広告・看板・サイン・店舗外装支援,大阪屋外広告美術協同組合公式組合員：大阪市交通局・南海電鉄・阪堺電気軌道指定広告取扱・交通広告代理・各種看板・表示物制作,https://www.daikokyo.or.jp/meibo_list.php?parts=06,https://www.sumitomo-ad.co.jp/about.php,yes,ok
新和興業株式会社,https://www.sinwa-inc.co.jp/,,,https://www.sinwa-inc.co.jp/inquiry/,S｜屋外広告・看板・サイン・店舗外装支援,大阪屋外広告美術協同組合公式組合員：内装・外装用フィルムの加工と販売及び塗料・塗装機器の販売,https://www.daikokyo.or.jp/meibo_list.php?parts=05,https://www.sinwa-inc.co.jp/company/,yes,ok
有限会社アイコム,https://ikom-sign.com/,,,https://ikom-sign.com/service/reform/,S｜屋外広告・看板・サイン・店舗外装支援,大阪屋外広告美術協同組合公式組合員：看板・サインのデザイン、取付、施工,https://www.daikokyo.or.jp/meibo_list.php?parts=06,https://ikom-sign.com/company/,yes,ok
有限会社アミューズ,https://www.amuse-s.com/,,,https://www.amuse-s.com/inquiry/,S｜屋外広告・看板・サイン・店舗外装支援,大阪屋外広告美術協同組合公式組合員：イルミネーション設計・製造・販売、装飾・空間プランニング、演出・施工,https://www.daikokyo.or.jp/meibo_list.php?parts=03,https://www.amuse-s.com/company/,yes,ok
有限会社ニシデ,http://www.ad-nishide.com/,,,http://www.ad-nishide.com/toi/,S｜屋外広告・看板・サイン・店舗外装支援,大阪屋外広告美術協同組合公式組合員：各種看板の企画、デザイン、製作、設置、広告媒体,https://www.daikokyo.or.jp/meibo_list.php?parts=06,http://www.ad-nishide.com/cp/,yes,ok
有限会社プラス,https://www.plus-co.jp/,,,https://www.plus-co.jp/information/?information_category=column,S｜屋外広告・看板・サイン・店舗外装支援,大阪屋外広告美術協同組合公式組合員：各種看板を企画制作し販売。デザイン制作から施工まで一貫。外壁塗装・屋上防水も。,https://www.daikokyo.or.jp/meibo_list.php?parts=07,https://www.plus-co.jp/company/,yes,ok
有限会社ベーシックジム,http://www.basicgym.co.jp/,,,http://www.basicgym.co.jp/MailForm/contact.html,S｜屋外広告・看板・サイン・店舗外装支援,大阪屋外広告美術協同組合公式組合員：サイン・ディスプレイ デザイン・製作・施工まで,https://www.daikokyo.or.jp/meibo_list.php?parts=03,http://www.basicgym.co.jp/about/,yes,ok
有限会社ミナミ工芸,http://m-kogei.co.jp/,,,https://m-kogei.co.jp/toiawase/,S｜屋外広告・看板・サイン・店舗外装支援,大阪屋外広告美術協同組合公式組合員：カッティングシート加工・シルク印刷・各種看板・企画・デザイン・製作・取付・ホームページ制作,https://www.daikokyo.or.jp/meibo_list.php?parts=07,https://m-kogei.co.jp/m_kaian/,yes,ok
東洋広告株式会社,https://toyokokoku.co.jp/,,,https://toyokokoku.co.jp/contact/,S｜屋外広告・看板・サイン・店舗外装支援,大阪屋外広告美術協同組合公式組合員：近鉄・京阪の広告取扱指定代理店・その他交通媒体全般取扱(JR、交通局、奈良交通バス、近鉄バス等)・屋外広告企画製作,https://www.daikokyo.or.jp/meibo_list.php?parts=06,https://toyokokoku.co.jp/company/,yes,ok
東邦宣伝株式会社,https://toho-senden.com/,,,https://toho-senden.com/information/,S｜屋外広告・看板・サイン・店舗外装支援,大阪屋外広告美術協同組合公式組合員：広告代理業・看板製作・賃貸マンション,https://www.daikokyo.or.jp/meibo_list.php?parts=06,https://toho-senden.com/,yes,ok
株式会社JTBコミュニケーションデザイン,https://www.jtbcom.co.jp/,,,https://www.jtbcom.co.jp/contact/,S｜屋外広告・看板・サイン・店舗外装支援,大阪屋外広告美術協同組合公式組合員：総合広告会社,https://www.daikokyo.or.jp/meibo_list.php?parts=05,https://www.jtbcom.co.jp/company/,yes,ok
株式会社TOC,https://www.toc25.co.jp/,,,https://www.toc25.co.jp/contact,S｜屋外広告・看板・サイン・店舗外装支援,大阪屋外広告美術協同組合公式組合員：看板製作・施工,https://www.daikokyo.or.jp/meibo_list.php?parts=06,https://www.toc25.co.jp/company,yes,ok
株式会社アドしん,https://adoshin.com/,,,https://adoshin.com/contact/,S｜屋外広告・看板・サイン・店舗外装支援,大阪屋外広告美術協同組合公式組合員：屋外広告物、サイン、ディスプレイ、美術看板等の企画、設計、製作、販売、施工等,https://www.daikokyo.or.jp/meibo_list.php?parts=07,https://adoshin.com/about/,yes,ok
株式会社アド南海,https://www.adnankai.co.jp/,,,https://www.adnankai.co.jp/contact/,S｜屋外広告・看板・サイン・店舗外装支援,大阪屋外広告美術協同組合公式組合員：広告代理業,https://www.daikokyo.or.jp/meibo_list.php?parts=06,https://www.adnankai.co.jp/company/,yes,ok
株式会社アド近鉄,https://www.ad-kintetsu.co.jp/,,,https://www.ad-kintetsu.co.jp/contact/,S｜屋外広告・看板・サイン・店舗外装支援,大阪屋外広告美術協同組合公式組合員：広告(テレビ・ラジオ・新聞・雑誌・交通広告・セールスプロモーション・マーケティング・映像・音響)、ネットビジネス、内装・サイン・ディスプレイ,https://www.daikokyo.or.jp/meibo_list.php?parts=06,https://www.ad-kintetsu.co.jp/company/,yes,ok
株式会社エーワ,https://e-wa-osaka.com/,,,https://e-wa-osaka.com/contact/,S｜屋外広告・看板・サイン・店舗外装支援,大阪屋外広告美術協同組合公式組合員：内装仕上げ、給排水設備、塗装、防水、屋根板金工事,https://www.daikokyo.or.jp/meibo_list.php?parts=07,https://e-wa-osaka.com/corporate/,yes,ok
株式会社オガワ,https://www.sign21.co.jp/,,,https://www.sign21.co.jp/contact/,S｜屋外広告・看板・サイン・店舗外装支援,大阪屋外広告美術協同組合公式組合員：装飾サイン制作・販売、ステンレス・真鍮・銅・アルミ加工、アルミシステムサイン、触知案内板、マルティメディアシステム販売,https://www.daikokyo.or.jp/meibo_list.php?parts=03,https://www.sign21.co.jp/about/,yes,ok
株式会社クラフト,https://mydocraft.com/,,,https://mydocraft.com/contact/,S｜屋外広告・看板・サイン・店舗外装支援,大阪屋外広告美術協同組合公式組合員：サイン・看板・ディスプレイの企画、設計、製作、施工,https://www.daikokyo.or.jp/meibo_list.php?parts=06,https://mydocraft.com/about/,yes,ok
株式会社サン企画,https://www.sankikaku.jp/,,,https://www.sankikaku.jp/inquiry.php,S｜屋外広告・看板・サイン・店舗外装支援,大阪屋外広告美術協同組合公式組合員：交通(大阪市交通局、他電鉄各社)、屋外等,https://www.daikokyo.or.jp/meibo_list.php?parts=03,https://www.sankikaku.jp/company.html?id=1,yes,ok
株式会社シーマ,https://www.cima-net.co.jp/,,,https://www.cima-net.co.jp/contact/,S｜屋外広告・看板・サイン・店舗外装支援,大阪屋外広告美術協同組合公式組合員：博物館・美術館等の映像・音響・照明、情報通信の設計・施工・機器開発・メンテナンス・運営・販売 他,https://www.daikokyo.or.jp/meibo_list.php?parts=07,https://www.cima-net.co.jp/about,yes,ok
株式会社ダイカン,https://www.daikan.ne.jp/,,,https://www.daikan.ne.jp/contact/,S｜屋外広告・看板・サイン・店舗外装支援,大阪屋外広告美術協同組合公式組合員：LEDサイン・金属切文字・箱文字、金属腐蝕銘板、金属切文字銘板、システムサイン、タフライトサイン、キューブレター&レリーフ、キャストサイン、木彫サイン、石彫サイン、モニュメント,https://www.daikokyo.or.jp/meibo_list.php?parts=05,https://www.daikan.ne.jp/company/,yes,ok
株式会社ビソーコーポレーション,https://www.sign-display.co.jp/,,,https://www.sign-display.co.jp/,S｜屋外広告・看板・サイン・店舗外装支援,大阪屋外広告美術協同組合公式組合員：サイン・装飾展示・店舗企画設計・施工・ショールーム工事・ネオン設計・施工・各種陳列什器製作,https://www.daikokyo.or.jp/meibo_list.php?parts=07,https://www.sign-display.co.jp/,yes,ok
株式会社フィール,https://www.feelweb.net/,,,https://www.feelweb.net,S｜屋外広告・看板・サイン・店舗外装支援,大阪屋外広告美術協同組合公式組合員：屋外広告制作施工、印刷全般,https://www.daikokyo.or.jp/meibo_list.php?parts=06,https://www.feelweb.net/,yes,ok
株式会社フォトクラフト社,https://www.photocraft.co.jp/,,,https://www.photocraft.co.jp/contact/,S｜屋外広告・看板・サイン・店舗外装支援,大阪屋外広告美術協同組合公式組合員：広告・ディスプレイ用等大型画像製作,https://www.daikokyo.or.jp/meibo_list.php?parts=03,https://www.photocraft.co.jp/company/,yes,ok
株式会社フジモト工芸,https://www.fk-tec.co.jp/,,,https://www.fk-tec.co.jp/contact/,S｜屋外広告・看板・サイン・店舗外装支援,大阪屋外広告美術協同組合公式組合員：インクジェット出力、ラミネート加工、カッティングシート販売･施工、パネル製品販売、アクリル板加工、アクリルディスプレイ、レーザー加工、アクリル切り文字,https://www.daikokyo.or.jp/meibo_list.php?parts=03,https://www.fk-tec.co.jp/company/,yes,ok
株式会社フジ・アート,https://fuji-art.net/,,,https://fuji-art.net/contact/,S｜屋外広告・看板・サイン・店舗外装支援,大阪屋外広告美術協同組合公式組合員：大型電飾看板・建築装飾陳列金物の設計･製作･施工,https://www.daikokyo.or.jp/meibo_list.php?parts=07,https://fuji-art.net/company/,yes,ok
株式会社ユニオンアート・プロダクト,https://www.unionart.co.jp/,,,https://www.unionart.co.jp/enquiry/,S｜屋外広告・看板・サイン・店舗外装支援,大阪屋外広告美術協同組合公式組合員：広告代理業、私鉄・地下鉄・バス・地下街・屋外広告取扱、阪急電鉄・阪急バス・北大阪急行指定、サイン・ディスプレイ・宣伝企画・製作全般,https://www.daikokyo.or.jp/meibo_list.php?parts=05,https://www.unionart.co.jp/company/,yes,ok
株式会社ユニティー,https://www.unity-grp.co.jp/,,,https://www.unity-grp.co.jp/service/employment-information/,S｜屋外広告・看板・サイン・店舗外装支援,大阪屋外広告美術協同組合公式組合員：軽作業請負、イベント内装施工サービス,https://www.daikokyo.or.jp/meibo_list.php?parts=06,https://www.unity-grp.co.jp/company/%E7%A4%BE%E9%95%B7%E6%8C%A8%E6%8B%B6/,yes,ok
株式会社レンテック,http://rentech.flips.jp/,,,http://rentech.flips.jp/?page=menu5,S｜屋外広告・看板・サイン・店舗外装支援,大阪屋外広告美術協同組合公式組合員：イベント、展示会物品レンタル、会場設営、看板製作,https://www.daikokyo.or.jp/meibo_list.php?parts=06,http://rentech.flips.jp/?page=menu1,yes,ok
株式会社交通アドセンター,https://www.kotsuadcenter.jp/,,,https://www.kotsuadcenter.jp/contact/,S｜屋外広告・看板・サイン・店舗外装支援,大阪屋外広告美術協同組合公式組合員：広告代理業(ＪＲ西日本・ＪＲ東海指定),https://www.daikokyo.or.jp/meibo_list.php?parts=05,https://www.kotsuadcenter.jp/company.html,yes,ok
