company_name,url,address,phone,maps_url,contact_url,message,sent_at,status,error_reason,screenshot_path,provider_used,提案区分,H1,区分,検出ワード
株式会社ハーフェレジャパン,https://www.hafele.co.jp/ja/,,,,https://www.hafele.co.jp/ja/info/-/-/410/,,,,,,,,,H｜店舗内装・設計施工・什器・設備支援,インテリア産業協会公式会員：住宅部品（金物、塗料、建具、床材、天井材等）
株式会社フジエテキスタイル,https://www.fujie-textile.co.jp/,,,,https://www.fujie-textile.co.jp/collection/form.html,,,,,,,,,H｜店舗内装・設計施工・什器・設備支援,インテリア産業協会公式会員：ファブリック（カーテン・カーペット等）
株式会社ユザワ,https://yuzawa21.co.jp/index.html,,,,https://yuzawa21.co.jp/contact.html,,,,,,,,,H｜店舗内装・設計施工・什器・設備支援,インテリア産業協会公式会員：ファブリック（カーテン・カーペット等）
株式会社大川,https://o-kawa.jp/,,,,https://o-kawa.jp/contact/,,,,,,,,,H｜店舗内装・設計施工・什器・設備支援,インテリア産業協会公式会員：家具
株式会社天童木工,https://www.tendo-mokko.co.jp/,,,,https://www.tendo-mokko.co.jp/contact/inquiry/,,,,,,,,,H｜店舗内装・設計施工・什器・設備支援,インテリア産業協会公式会員：家具
株式会社太陽,https://www.f-taiyo.co.jp/,,,,https://www.f-taiyo.co.jp/contact.html,,,,,,,,,H｜店舗内装・設計施工・什器・設備支援,インテリア産業協会公式会員：壁装材
株式会社森熊,https://wallpaperhouse.shop/,,,,https://wallpaperhouse.shop/contact,,,,,,,,,H｜店舗内装・設計施工・什器・設備支援,インテリア産業協会公式会員：壁装材
株式会社翔洋,https://www.shouyo.co.jp/,,,,https://www.shouyo.co.jp/form/form_1.html,,,,,,,,,H｜店舗内装・設計施工・什器・設備支援,インテリア産業協会公式会員：住宅設備機器（バス、キッチン、流し台、衛生器具、家電等）
飛騨産業株式会社,https://hidasangyo.com,,,,https://hidasangyo.com/contact/,,,,,,,,,H｜店舗内装・設計施工・什器・設備支援,インテリア産業協会公式会員：家具
イーシームズ株式会社,https://www.e-sems.co.jp/,,,,https://www.e-sems.co.jp/contact/,,,,,,,,,I｜小売・スーパー向け店舗設備・販促・システム支援,全国スーパーマーケット協会公式賛助会員：店舗設備・システム・設計・エネルギー
