company_name,url,address,phone,contact_url,区分,検出ワード,source_url,profile_url,company_confirmed,fetch
コンカツ印刷有限会社,https://konkatsu.com/,コンカツ印刷（有） ［代表者］菅原　隆 ［住所］〒021-0021　一関市中央町1-7-16 ［電話］0191-48-5963　［FAX］0191-48-5964 ［E-Mail］ info@konkatsu.com ［ホームページ］ http://konkatsu.com,0191-48-5963,https://konkatsu.com/toiawase.html,S｜地域印刷・販促・Web支援,県印刷工業組合公式会員：印刷・販促・企画制作,https://www.iwate-print.net/about/member.html,https://konkatsu.com/,no,ok
トーバン印刷株式会社,https://makasete.jp/,トーバン印刷（株） ［代表者］佐藤　徳幸 ［住所］〒029-0803　一関市千厩町千厩字神ノ田30-9 ［電話］0191-52-2445　［FAX］0191-52-4230 ［E-Mail］ mail@makasete.jp ［ホームページ］ https://makasete.jp,0191-52-2445,https://makasete.jp/mailform/,S｜地域印刷・販促・Web支援,県印刷工業組合公式会員：印刷・販促・企画制作,https://www.iwate-print.net/about/member.html,https://makasete.jp/about/,yes,ok
六三ビジネスフォーム株式会社,https://www.mut.co.jp/,六三ビジネス フォーム（株） ［代表者］島村　信彦 ［住所］〒023-0003　奥州市水沢区佐倉河字仙人6-1 ［電話］0197-22-6300　［FAX］0197-51-1163 ［E-Mail］ mbf@mut.co.jp ［ホームページ］ https://www.mut.co.jp/,0197-22-6300,,S｜地域印刷・販促・Web支援,県印刷工業組合公式会員：印刷・販促・企画制作,https://www.iwate-print.net/about/member.html,https://www.mut.co.jp/about/history.html,yes,ok
協栄印刷株式会社,https://www.kyoei-i.co.jp/,協栄印刷（株） ［代表者］菊池　誠 ［住所］〒020-0403　盛岡市乙部5-47-16 ［電話］019-675-1178　［FAX］019-675-1179 ［ホームページ］ https://www.kyoei-i.co.jp/,019-675-1178,,S｜地域印刷・販促・Web支援,県印刷工業組合公式会員：印刷・販促・企画制作,https://www.iwate-print.net/about/member.html,,no,SSLError
小松総合印刷株式会社,http://www.komatsu-gp.com/,小松総合印刷（株） ［代表者］小松　正美 ［住所］〒020-0827　盛岡市鉈屋町15-4 ［電話］019-624-1374　［FAX］019-623-6719 ［E-Mail］ mail@komatsu-gp.com ［ホームページ］ http://www.komatsu-gp.com/,019-624-1374,,S｜地域印刷・販促・Web支援,県印刷工業組合公式会員：印刷・販促・企画制作,https://www.iwate-print.net/about/member.html,http://www.komatsu-gp.com/,no,ok
川口印刷工業株式会社,https://kpj.co.jp/,川口印刷工業（株） ［代表者］久保　正路 ［住所］〒020-0841　盛岡市羽場10-1-2 ［電話］019-632-2211　［FAX］019-632-2217 ［E-Mail］ kawa-info@kpj.co.jp ［ホームページ］ https://www.kpj.co.jp/,019-632-2211,https://kpj.co.jp/contact/,S｜地域印刷・販促・Web支援,県印刷工業組合公式会員：印刷・販促・企画制作,https://www.iwate-print.net/about/member.html,https://kpj.co.jp/casestudy/case-tag-products/school-and-company/,yes,ok
川嶋印刷株式会社,https://www.kpc.co.jp/,川嶋印刷（株） ［代表者］菊地　慶高 ［住所］〒021-0882　一関市上大槻街3-11 ［電話］0191-46-4161　［FAX］0191-46-4165 ［E-Mail］ kawa@kpc.co.jp ［ホームページ］ https://www.kpc.co.jp/,0191-46-4161,https://www.kpc.co.jp/contact/,S｜地域印刷・販促・Web支援,県印刷工業組合公式会員：印刷・販促・企画制作,https://www.iwate-print.net/about/member.html,https://www.kpc.co.jp/corporate/sales_office/,yes,ok
日本フィニッシュ株式会社岩手支店,http://www.n-finish.co.jp/,日本フィニッシュ（株） 岩手支店 ［代表者］髙橋　嘉久 ［住所］〒023-1101　奥州市江刺区岩谷堂字松長根63-19 ［電話］0197-35-8311　［FAX］0197-31-1010 ［E-Mail］ tnetiwa@rnac.ne.jp ［ホームページ］ http://www.n-finish.co.jp/,0197-35-8311,https://www.n-finish.co.jp/?page_id=49,S｜地域印刷・販促・Web支援,県印刷工業組合公式会員：印刷・販促・企画制作,https://www.iwate-print.net/about/member.html,http://www.n-finish.co.jp/,no,ok
有限会社紫波印刷,https://print-shiwa.co.jp/,（有）紫波印刷 ［代表者］熊谷　賢 ［住所］〒028-3313　紫波郡紫波町星山字樋ノ口90-8 ［電話］019-672-3104　［FAX］019-672-3105 ［E-Mail］ print-shiwa@water.ocn.ne.jp ［ホームページ］ https://print-shiwa.co.jp/,019-672-3104,https://print-shiwa.co.jp/contact,S｜地域印刷・販促・Web支援,県印刷工業組合公式会員：印刷・販促・企画制作,https://www.iwate-print.net/about/member.html,https://print-shiwa.co.jp/about,yes,ok
杜陵高速印刷株式会社,https://www.toryokohsoku.com/,杜陵高速印刷（株） ［代表者］西野　正寿 ［住所］〒020-0811　盛岡市川目町23-2 ［電話］019-651-2110　［FAX］019-654-1084 ［E-Mail］ info@toryokohsoku.com ［ホームページ］ https://www.toryokohsoku.com/,019-651-2110,https://www.toryokohsoku.com/contact/,S｜地域印刷・販促・Web支援,県印刷工業組合公式会員：印刷・販促・企画制作,https://www.iwate-print.net/about/member.html,https://www.toryokohsoku.com/about-us/,yes,ok
株式会社大昭堂印刷所,https://taishodo.web.fc2.com/,（株）大昭堂印刷所 ［代表者］新沼　興隆 ［住所］〒022-0003　大船渡市盛町字木町5-18 ［電話］0192-26-3053　［FAX］0192-25-1551 ［E-Mail］ taishodo@violin.ocn.ne.jp ［ホームページ］ https://taishodo.web.fc2.com,0192-26-3053,,S｜地域印刷・販促・Web支援,県印刷工業組合公式会員：印刷・販促・企画制作,https://www.iwate-print.net/about/member.html,https://taishodo.web.fc2.com/,no,ok
株式会社富士屋印刷所,http://fujiyapr.web.fc2.com/,（株）富士屋印刷所 ［代表者］工藤　芳紀 ［住所］〒020-0841　盛岡市羽場13-30-10 ［電話］019-637-6391　［FAX］019-637-7990 ［E-Mail］ fujiyapr@arion.ocn.ne.jp ［ホームページ］ http://fujiyapr.web.fc2.com/,019-637-6391,http://fujiyapr.web.fc2.com/,S｜地域印刷・販促・Web支援,県印刷工業組合公式会員：印刷・販促・企画制作,https://www.iwate-print.net/about/member.html,http://fujiyapr.web.fc2.com/,no,ok
株式会社文化印刷,https://bunka-m.co.jp/,（株）文化印刷 ［代表者］駒井　剛機 ［住所］〒027-0037　宮古市松山5-13-6 ［電話］0193-62-4578　［FAX］0193-64-0333 ［E-mail］ info@bunka-m.co.jp ［ホームページ］ http://www.bunka-m.co.jp/,0193-62-4578,,S｜地域印刷・販促・Web支援,県印刷工業組合公式会員：印刷・販促・企画制作,https://www.iwate-print.net/about/member.html,https://bunka-m.co.jp/,no,ok
株式会社文協印刷,https://www.bunkyo-insatsu.com/,（株）文協印刷 ［代表者］荒川　和行 ［住所］〒020-0835　盛岡市津志田15-35-5 ［電話］019-638-3901　［FAX］019-638-3144 ［E-Mail］ bunkyo-p@ninus.ocn.ne.jp ［ホームページ］ http://www.bunkyo-insatsu.com/,019-638-3901,,S｜地域印刷・販促・Web支援,県印刷工業組合公式会員：印刷・販促・企画制作,https://www.iwate-print.net/about/member.html,https://www.bunkyo-insatsu.com/,no,ok
株式会社杜陵印刷,http://www.toryo-net.jp/,（株）杜陵印刷 ［代表者］間瀬　浩之 ［住所］〒020-0122　盛岡市みたけ2-22-50 ［電話］019-641-8000　［FAX］019-641-8085 ［E-Mail］ info@toryo-net.jp ［ホームページ］ http://www.toryo-net.jp/,019-641-8000,https://www.toryo-net.jp/contact/,S｜地域印刷・販促・Web支援,県印刷工業組合公式会員：印刷・販促・企画制作,https://www.iwate-print.net/about/member.html,https://www.toryo-net.jp/,yes,ok
株式会社白ゆり,https://shirayuri.co.jp/,（株）白ゆり ［代表者］津田　徳明 ［住所］〒020-0122　盛岡市みたけ6-1-50 ［電話］019-643-6060　［FAX］019-643-6065 ［E-Mail］ print@shirayuri.co.jp ［ホームページ］ https://shirayuri.co.jp/,019-643-6060,https://shirayuri.co.jp/contact,S｜地域印刷・販促・Web支援,県印刷工業組合公式会員：印刷・販促・企画制作,https://www.iwate-print.net/about/member.html,https://shirayuri.co.jp/cramschool/,yes,ok
永代印刷株式会社,http://www.eidai-p.ecnet.jp/,永代印刷（株） ［代表者］佐々木　裕 ［住所］〒020-0857　盛岡市北飯岡1-8-30 ［電話］019-636-0011　［FAX］019-636-0099 ［E-mai］ eidai@poplar.ocn.ne.jp ［ホームページ］ http://www.eidai-p.ecnet.jp/,019-636-0011,http://www.eidai-p.ecnet.jp/contact/index.html,S｜地域印刷・販促・Web支援,県印刷工業組合公式会員：印刷・販促・企画制作,https://www.iwate-print.net/about/member.html,http://www.eidai-p.ecnet.jp/,no,ok
河北印刷株式会社,http://www.kahoku-ipm.jp/,河北印刷（株） ［代表者］久ケ澤　文夫 ［住所］〒020-0015　盛岡市本町通2-8-7 ［電話］019-623-4256　［FAX］019-623-0976 ［E-Mail］ office@kahoku-ipm.jp ［ホームページ］ http://www.kahoku-ipm.jp/,019-623-4256,,S｜地域印刷・販促・Web支援,県印刷工業組合公式会員：印刷・販促・企画制作,https://www.iwate-print.net/about/member.html,http://www.kahoku-ipm.jp/,no,ok
浜印刷株式会社,https://hama-printing.jp/,浜印刷（株） ［代表者］主濱　哲也 ［住所］〒020-0652　滝沢市鵜飼洞畑56-32 ［電話］019-684-3569　［FAX］019-684-3546 ［E-Mail］ hama0616@s4.dion.ne.jp ［ホームページ］ https://hama-printing.jp/,019-684-3569,https://hama-printing.jp/contact/index.html,S｜地域印刷・販促・Web支援,県印刷工業組合公式会員：印刷・販促・企画制作,https://www.iwate-print.net/about/member.html,https://hama-printing.jp/,no,ok
第一印刷有限会社,https://daiichip.jp/index.html,第一印刷（有） ［代表者］新田　恭央 ［住所］〒020-0122　 盛岡市みたけ4-6-40 ［電話］019-646-6001　［FAX］019-646-4000 ［E-Mail］ info@daiichip.com ［ホームページ］ https://daiichip.jp/,019-646-6001,https://daiichip.jp/contact.html,S｜地域印刷・販促・Web支援,県印刷工業組合公式会員：印刷・販促・企画制作,https://www.iwate-print.net/about/member.html,https://daiichip.jp/index.html,no,ok
