company_name,url,address,phone,contact_url,区分,検出ワード,source_url,profile_url,company_confirmed,fetch
アールプロセス株式会社,https://r-pro.co.jp/,アールプロセス（株） 174-0051 東京都板橋区小豆沢２－９－２２ サービス: プリプレス 写真 マルチメディア データ処理 表示順ポイント: 4,03-6279-8313,https://r-pro.co.jp/contact/,S｜地域印刷・販促・Web支援,東京都印刷工業組合Connect公式会員：印刷・販促・企画・Web制作,https://connect.tokyo-printing.or.jp/corp_search/wp_detail/3451,https://r-pro.co.jp/company/,yes,ok
イエズミ印刷株式会社,https://www.iezumi.co.jp/,イエズミ印刷（株） 103-0025 東京都中央区日本橋茅場町１－１２－９ サービス: 印刷 各種印刷 マーケティング企画 編集デザイン 写真 マルチメディア データ処理 その他 ノベルティ 表示順ポイント: 6,03-3666-0698,https://www.iezumi.co.jp/contact/contact.php,S｜地域印刷・販促・Web支援,東京都印刷工業組合Connect公式会員：印刷・販促・企画・Web制作,https://connect.tokyo-printing.or.jp/corp_search/wp_detail/210,https://www.iezumi.co.jp/corp/,yes,ok
エクセルアート株式会社,https://www.excelart.co.jp/,"エクセルアート（株） 104-0043 東京都中央区湊１－１－１６TMKビル3F サービス: プリプレス マーケティング企画 編集デザイン マルチメディア エクセルアートは業界特化型の専門的・理系的デザインが得意な提案型の企画・デザイン・印刷会社です。
動画制作／紙媒体デザイン／Webデザイン／イラスト制作など実績は多岐に渡ります。

弊社ではチラシが",03-3552-2201,https://www.excelart.co.jp/inquiry/formmail.php,S｜地域印刷・販促・Web支援,東京都印刷工業組合Connect公式会員：印刷・販促・企画・Web制作,https://connect.tokyo-printing.or.jp/corp_search/wp_detail/3900,https://www.excelart.co.jp/aboutus/index.php,yes,ok
カワセ印刷株式会社,https://kawase-p.co.jp/,カワセ印刷（株） 116-0002 東京都荒川区荒川８－２３－１６ サービス: プリプレス 印刷 デジタル印刷 製本 紙製品 編集デザイン 写真 マルチメディア その他 1898年創業の老舗印刷会社です。「ていねいに寄り添う」をコアバリューに、都内で印刷事業を120年以上続けてまいりました。荒川工場は薄紙・超軽量紙の専門工場で、ダイレクトメール、保険の約款、,03-3801-4477,https://kawase-p.co.jp/contact/,S｜地域印刷・販促・Web支援,東京都印刷工業組合Connect公式会員：印刷・販促・企画・Web制作,https://connect.tokyo-printing.or.jp/corp_search/wp_detail/3477,https://kawase-p.co.jp/,yes,ok
セキセイ株式会社,https://www.sedia.co.jp/,セキセイ（株） 112-0003 東京都文京区春日１－７－１ サービス: 表示順ポイント: 3,03-3813-6531,https://www.sedia.co.jp/inquiry,S｜地域印刷・販促・Web支援,東京都印刷工業組合Connect公式会員：印刷・販促・企画・Web制作,https://connect.tokyo-printing.or.jp/corp_search/wp_detail/3492,https://www.sedia.co.jp/about/,yes,ok
セントラル印刷株式会社,https://www.central-p.net/,"セントラル印刷（株） 112-0013 東京都文京区音羽１－２０－１４MBS音羽ビル2F サービス: プリプレス 印刷 各種印刷 デジタル印刷 製本 後加工 特殊印刷加工 紙製品 編集デザイン その他 ノベルティ ～必要な情報を、必要な方にあらゆる方法で届ける～
～社員ひとりひとりの幸せを追求し、周りの世界に幸せを拡げる～
この企業理念を心に我々は日",03-5981-8911,https://www.central-p.net/お問合せ,S｜地域印刷・販促・Web支援,東京都印刷工業組合Connect公式会員：印刷・販促・企画・Web制作,https://connect.tokyo-printing.or.jp/corp_search/wp_detail/3545,https://www.central-p.net/%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81,yes,ok
ヨシダ印刷株式会社東京本社,https://www.ypg.jp/,ヨシダ印刷（株）東京本社 130-0014 東京都墨田区亀沢３－２０－１４ サービス: プリプレス 印刷 各種印刷 デジタル印刷 製本 後加工 特殊印刷加工 紙製品 マーケティング企画 編集デザイン 写真 マルチメディア データ処理 その他 ノベルティ 東京・金沢・大阪を拠点に事業活動を行う「環境に配慮した印刷」を得意とする印刷会社です。30年以上も前から環,03-3626-1301,https://www.ypg.jp/inquiry/,S｜地域印刷・販促・Web支援,東京都印刷工業組合Connect公式会員：印刷・販促・企画・Web制作,https://connect.tokyo-printing.or.jp/corp_search/wp_detail/2741,https://www.ypg.jp/,no,ok
一信堂印刷株式会社,https://isshindo-p.co.jp/,一信堂印刷（株） 130-0026 東京都墨田区両国２－１０－３ サービス: 印刷 製本 後加工 特殊印刷加工 紙製品 事務用印刷物 (複写伝票・帳票・領収証・名刺等)の印刷と製本加工を社内一貫生産しております。 表示順ポイント: 10,03-3631-3855,https://isshindo-p.co.jp/contact,S｜地域印刷・販促・Web支援,東京都印刷工業組合Connect公式会員：印刷・販促・企画・Web制作,https://connect.tokyo-printing.or.jp/corp_search/wp_detail/1291,https://isshindo-p.co.jp/company/,yes,ok
三松堂株式会社,https://sanshodo.co.jp/,三松堂（株） 101-0065 東京都千代田区西神田３－２－１住友不動産千代田ファーストビル南館14F サービス: 表示順ポイント: 2,03-6823-5364,https://sanshodo.co.jp/inquiry/,S｜地域印刷・販促・Web支援,東京都印刷工業組合Connect公式会員：印刷・販促・企画・Web制作,https://connect.tokyo-printing.or.jp/corp_search/wp_detail/47,https://sanshodo.co.jp/top/about-us/,yes,ok
上毛印刷株式会社,https://www.jomo-p.co.jp/,上毛印刷（株） 171-0022 東京都豊島区南池袋２－３－５ サービス: プリプレス 印刷 各種印刷 デジタル印刷 製本 後加工 特殊印刷加工 紙製品 編集デザイン 写真 マルチメディア データ処理 ノベルティ 表示順ポイント: 3,03-3984-8576,https://jomo-p.co.jp/contact/,S｜地域印刷・販促・Web支援,東京都印刷工業組合Connect公式会員：印刷・販促・企画・Web制作,https://connect.tokyo-printing.or.jp/corp_search/wp_detail/2169,https://jomo-p.co.jp/about-us/,yes,ok
