company_name,url,address,phone,maps_url,contact_url,message,sent_at,status,error_reason,screenshot_path,provider_used,提案区分,H1,区分,検出ワード
株式会社TRUST,https://trust-doctor.co.jp/,,,,https://trust-doctor.co.jp/contact.html,,,,,,,,,A｜医院・クリニック開業・経営支援,医院・クリニック顧客＋開業・経営・運営支援
株式会社シンフォニカル,https://www.symfonical.co.jp/,,,,https://www.symfonical.co.jp/contact/,,,,,,,,,A｜医院・クリニック開業・経営支援,医院・クリニック顧客＋開業・経営・運営支援
株式会社ブレイン・ジャパン,https://brain-j.com/,,,,https://brain-j.com/contact,,,,,,,,,A｜医院・クリニック開業・経営支援,医院・クリニック顧客＋開業・経営・運営支援
株式会社メディカルアドバンス,https://www.medical-advance.com/,,,,https://www.medical-advance.com/service/knowhow/performance_simulation/,,,,,,,,,A｜医院・クリニック開業・経営支援,医院・クリニック顧客＋開業・経営・運営支援
Webクラフトマン合同会社,https://laollc.com/,,,,https://laollc.com/contact/,,,,,,,,,S｜治療院特化Web・集客支援,治療院顧客＋Web集客＋公開後運用支援
チリョーマ株式会社,https://chiryo-ma.co.jp/service-hp/,,,,https://chiryo-ma.co.jp/,,,,,,,,,S｜治療院特化Web・集客支援,治療院顧客＋Web集客＋公開後運用支援
データライズ株式会社,https://www.datalyze.co.jp/project/website/pagepro/,,,,https://www.datalyze.co.jp/inquiry/,,,,,,,,,S｜士業特化Web・集客支援,士業顧客＋Web集客＋公開後運用支援
合同会社QOL,https://kaigo-qol.com/,,,,https://kaigo-qol.com/otoiawase/,,,,,,,,,S｜介護・福祉特化Web・集客支援,介護・福祉顧客＋Web集客＋公開後運用支援
地域健康サポート株式会社,https://seikotu-hp.com/,,,,https://seikotu-hp.com/contact.html,,,,,,,,,S｜治療院特化Web・集客支援,治療院顧客＋Web集客＋公開後運用支援
株式会社fluke,https://fluke-inc.jp/fluke-gourmet-for-shop/,,,,https://fluke-inc.jp/fluke-gourmet-for-shop/,,,,,,,,,S｜飲食店特化Web・集客支援,飲食店顧客＋Web集客＋公開後運用支援
