company_name,url,address,phone,contact_url,区分,検出ワード,source_url,profile_url,company_confirmed,fetch
ナショナル株式会社,https://be-national.jp/,,,https://be-national.jp/contact/,A｜美容室・サロン向け経営・販促支援,美容室・サロン顧客＋経営・教育・販促支援,https://www.jhcma.or.jp/list/,,,
株式会社エスケイビューティーサプライ,https://www.sk-beauty-supply.com/,,,https://www.sk-beauty-supply.com/contact,A｜美容室・サロン向け経営・販促支援,美容室・サロン顧客＋経営・教育・販促支援,https://www.jhcma.or.jp/list/,,,
株式会社オークボ,https://www.ohkubo.net/,,,https://www.ohkubo.net/contact/,A｜美容室・サロン向け経営・販促支援,美容室・サロン顧客＋経営・教育・販促支援,https://www.jhcma.or.jp/list/,,,
株式会社コスモアークコーポレーション,http://cosmoarc.com/,,,http://cosmoarc.com/contact/,A｜美容室・サロン向け経営・販促支援,美容室・サロン顧客＋経営・教育・販促支援,https://www.jhcma.or.jp/list/,,,
株式会社コマツ商会,http://comatsu.jp/,,,http://comatsu.jp/contact/,A｜美容室・サロン向け経営・販促支援,美容室・サロン顧客＋経営・教育・販促支援,https://www.jhcma.or.jp/list/,,,
株式会社タガミ・サンビューティー,https://tagami-sunbeauty.co.jp/,,,https://tagami-sunbeauty.co.jp/contact,A｜美容室・サロン向け経営・販促支援,美容室・サロン顧客＋経営・教育・販促支援,https://www.jhcma.or.jp/list/,,,
株式会社パシオンハマダ,https://www.pasionhamada.com/,,,https://www.pasionhamada.com/contact/,A｜美容室・サロン向け経営・販促支援,美容室・サロン顧客＋経営・教育・販促支援,https://www.jhcma.or.jp/list/,,,
株式会社モリタ,https://b-morita.com/,,,https://b-morita.com/information/,A｜美容室・サロン向け経営・販促支援,美容室・サロン顧客＋経営・教育・販促支援,https://www.jhcma.or.jp/list/,,,
株式会社東和,https://www.towa22.co.jp/,,,https://www.towa22.co.jp/contact/,A｜美容室・サロン向け経営・販促支援,美容室・サロン顧客＋経営・教育・販促支援,https://www.jhcma.or.jp/list/,,,
株式会社菊地,https://www.kikuchi-produce.co.jp/,,,https://www.kikuchi-produce.co.jp/contact/,A｜美容室・サロン向け経営・販促支援,美容室・サロン顧客＋経営・教育・販促支援,https://www.jhcma.or.jp/list/,,,
株式会社谷商会,https://www.kobe-tani.com/,,,https://www.kobe-tani.com/contact/,A｜美容室・サロン向け経営・販促支援,美容室・サロン顧客＋経営・教育・販促支援,https://www.jhcma.or.jp/list/,,,
株式会社TRUST,https://trust-doctor.co.jp/,,,https://trust-doctor.co.jp/contact.html,A｜医院・クリニック開業・経営支援,医院・クリニック顧客＋開業・経営・運営支援,https://official-jpca.jp/member/,,,
株式会社シンフォニカル,https://www.symfonical.co.jp/,,,https://www.symfonical.co.jp/contact/,A｜医院・クリニック開業・経営支援,医院・クリニック顧客＋開業・経営・運営支援,https://official-jpca.jp/member/,,,
株式会社ブレイン・ジャパン,https://brain-j.com/,,,https://brain-j.com/contact,A｜医院・クリニック開業・経営支援,医院・クリニック顧客＋開業・経営・運営支援,https://official-jpca.jp/member/,,,
株式会社メディカルアドバンス,https://www.medical-advance.com/,,,https://www.medical-advance.com/service/knowhow/performance_simulation/,A｜医院・クリニック開業・経営支援,医院・クリニック顧客＋開業・経営・運営支援,https://official-jpca.jp/member/,,,
株式会社タクサム,https://www.taksam.jp/,,,https://www.taksam.jp/contact/,A｜美容室・サロン向け経営・販促支援,美容室・サロン顧客＋経営・教育・販促支援,https://zenbishoren.com/,,,
株式会社ルフト,https://project-luft.com/company,,,https://project-luft.com/contact,A｜美容室・サロン向け経営・販促支援,美容室・サロン顧客＋経営・教育・販促支援,https://zenbishoren.com/,,,
Webクラフトマン合同会社,https://laollc.com/,,,https://laollc.com/contact/,S｜治療院特化Web・集客支援,治療院顧客＋Web集客＋公開後運用支援,https://laollc.com/,,,
チリョーマ株式会社,https://chiryo-ma.co.jp/service-hp/,,,https://chiryo-ma.co.jp/,S｜美容室・サロン特化Web・集客支援,美容室・サロン顧客＋Web集客＋公開後運用支援,https://chiryo-ma.co.jp/service-hp/,,,
データライズ株式会社,https://www.datalyze.co.jp/project/website/pagepro/,,,https://www.datalyze.co.jp/inquiry/,S｜士業特化Web・集客支援,士業顧客＋Web集客＋公開後運用支援,https://www.datalyze.co.jp/project/website/pagepro/,,,
合同会社QOL,https://kaigo-qol.com/,,,https://kaigo-qol.com/otoiawase/,S｜介護・福祉特化Web・集客支援,介護・福祉顧客＋Web集客＋公開後運用支援,https://kaigo-qol.com/,,,
地域健康サポート株式会社,https://seikotu-hp.com/,,,https://seikotu-hp.com/contact.html,S｜治療院特化Web・集客支援,治療院顧客＋Web集客＋公開後運用支援,https://seikotu-hp.com/,,,
株式会社fluke,https://fluke-inc.jp/fluke-gourmet-for-shop/,,,https://fluke-inc.jp/fluke-gourmet-for-shop/,S｜飲食店特化Web・集客支援,飲食店顧客＋Web集客＋公開後運用支援,https://fluke-inc.jp/fluke-gourmet-for-shop/,,,
株式会社ココデザイン,https://lp-hp.koko-design.com/,,,https://lp-hp.koko-design.com/,S｜美容室・サロン特化Web・集客支援,美容室・サロン顧客＋Web集客＋公開後運用支援,https://lp-hp.koko-design.com/,,,
エクセルアート株式会社,https://www.excelart.co.jp/,"エクセルアート（株） 104-0043 東京都中央区湊１－１－１６TMKビル3F サービス: プリプレス マーケティング企画 編集デザイン マルチメディア エクセルアートは業界特化型の専門的・理系的デザインが得意な提案型の企画・デザイン・印刷会社です。
動画制作／紙媒体デザイン／Webデザイン／イラスト制作など実績は多岐に渡ります。

弊社ではチラシが",03-3552-2201,https://www.excelart.co.jp/inquiry/formmail.php,S｜地域印刷・販促・Web支援,東京都印刷工業組合Connect公式会員：印刷・販促・企画・Web制作,https://connect.tokyo-printing.or.jp/corp_search/wp_detail/3900,https://www.excelart.co.jp/aboutus/index.php,yes,ok
富沢印刷株式会社,https://10330.co.jp/,富沢印刷（株） 116-0003 東京都荒川区南千住３－４－４ サービス: プリプレス 印刷 各種印刷 デジタル印刷 製本 後加工 特殊印刷加工 紙製品 編集デザイン 写真 マルチメディア 富沢印刷は：１）偽造防止印刷「ぎぞらーず」と２）オンラインセミナーの映像制作「セミナー動画ドットコム」の２つのサービスを特長とする印刷会社です。偽造防止印刷「ぎぞらーず」,03-5615-1221,https://10330.co.jp/contact/,S｜地域印刷・販促・Web支援,東京都印刷工業組合Connect公式会員：印刷・販促・企画・Web制作,https://connect.tokyo-printing.or.jp/corp_search/wp_detail/1086,https://10330.co.jp/about/,yes,ok
新灯印刷株式会社,https://shinto-printing.co.jp/,"新灯印刷（株） 162-0811 東京都新宿区水道町２－１５ サービス: プリプレス 印刷 デジタル印刷 製本 編集デザイン 新灯印刷はグループ会社６社による
企画立案から印刷・製本・配送・販売・PRまでワンストップで書籍作成のサービス展開をしています

〇株式会社スタックアップ
商業出版からブランディング出版まで、本を出したい人のさまざまなニーズに",03-3260-9261,https://shinto-printing.co.jp/about/,S｜地域印刷・販促・Web支援,東京都印刷工業組合Connect公式会員：印刷・販促・企画・Web制作,https://connect.tokyo-printing.or.jp/corp_search/wp_detail/801,https://shinto-printing.co.jp/about/,yes,ok
東洋美術印刷株式会社,https://www.toyobijutsu-prt.co.jp/,"東洋美術印刷（株） 102-0072 東京都千代田区飯田橋４－６－２ サービス: プリプレス 印刷 デジタル印刷 製本 紙製品 マーケティング企画 編集デザイン 写真 マルチメディア データ処理 その他 ノベルティ 想いをカタチに、こころをつなぐ
1935年の創業以来、東洋美術印刷は「想いをカタチに、こころをつなぐ」をモットーに、「印刷」を礎として、
お",03-3265-3075,https://www.toyobijutsu-prt.co.jp/service/mktg-large-format,S｜地域印刷・販促・Web支援,東京都印刷工業組合Connect公式会員：印刷・販促・企画・Web制作,https://connect.tokyo-printing.or.jp/corp_search/wp_detail/12,https://www.toyobijutsu-prt.co.jp/service/companynewsletter/,yes,ok
株式会社TONEGAWA,https://www.tonegawa.co.jp/,（株）TONEGAWA 113-0034 東京都文京区湯島１－７－１１ サービス: プリプレス 各種印刷 デジタル印刷 製本 後加工 特殊印刷加工 紙製品 マーケティング企画 編集デザイン 写真 マルチメディア データ処理 その他 ノベルティ グラフィックデザイン、ウェブデザイン、ノベルティアドバイザー、webディレクター、映像ディレクター、配信ディレクター,03-3811-1111,https://www.tonegawa.co.jp/contact.html,S｜地域印刷・販促・Web支援,東京都印刷工業組合Connect公式会員：印刷・販促・企画・Web制作,https://connect.tokyo-printing.or.jp/corp_search/wp_detail/938,https://www.tonegawa.co.jp/about.html,yes,ok
株式会社ケイジェンド・プロダクツ,https://www.insatu.co.jp/,（株）ケイジェンド・プロダクツ 160-0023 東京都新宿区西新宿７－２２－３９興亜第２ビル１Ｆ サービス: デジタル印刷 その他 表示順ポイント: 2,03-3361-7968,https://www.insatu.co.jp/case-study/document-and-samples-delivery/send-materials-daily-to-those-who-request-information-from-the-website/,S｜地域印刷・販促・Web支援,東京都印刷工業組合Connect公式会員：印刷・販促・企画・Web制作,https://connect.tokyo-printing.or.jp/corp_search/wp_detail/3596,https://www.insatu.co.jp/case-study/invoice-delivery/sending-invoices-on-behalf-of-a-company-that-provides-business-matching-services/,yes,ok
株式会社セブンクリエイト,https://www.sevencreate.co.jp/,（株）セブンクリエイト 143-0016 東京都大田区大森北６－２－５セブンビル サービス: 表示順ポイント: 3,03-5753-5501,https://www.sevencreate.co.jp/contact,S｜地域印刷・販促・Web支援,東京都印刷工業組合Connect公式会員：印刷・販促・企画・Web制作,https://connect.tokyo-printing.or.jp/corp_search/wp_detail/3819,https://www.sevencreate.co.jp/about,yes,ok
株式会社ポスター印刷,https://www.poster-prt.com/,"（株）ポスター印刷 174-0041 東京都板橋区舟渡３－８－３ サービス: プリプレス 印刷 後加工 当社は、約半世紀にわたりオフセット印刷業を営んできた、実績と信頼のある印刷会社です。
A0サイズの大判印刷から小型サイズまで、幅広いニーズに対応できる設備力と技術力を備え、刷版から印刷、加工、納品までを一貫体制で対応しています。

国内でも希少な「7",03-3966-8273,https://www.poster-prt.com/information/,S｜地域印刷・販促・Web支援,東京都印刷工業組合Connect公式会員：印刷・販促・企画・Web制作,https://connect.tokyo-printing.or.jp/corp_search/wp_detail/4073,https://www.poster-prt.com/information/,yes,ok
株式会社五色,https://www.goshikiprint.com/wp/,"（株）五色 110-0016 東京都台東区台東２－９－１ミトベビル1F サービス: 印刷 各種印刷 デジタル印刷 製本 深いオンラインビジネスへの知見
10 年以上インターネットを通じて印刷業を行なってきた結果、
顧客数も2万社を超えました。
10 年以上顧客を確保するために様々なトライアンドエラーで
システムの開発やデジタルマーケティングを行い、",03-5817-8340,https://www.goshikiprint.com/wp/contacts/,S｜地域印刷・販促・Web支援,東京都印刷工業組合Connect公式会員：印刷・販促・企画・Web制作,https://connect.tokyo-printing.or.jp/corp_search/wp_detail/3646,https://www.goshikiprint.com/wp/corporate/,yes,ok
株式会社木元省美堂,https://kimoto-sbd.co.jp/,"（株）木元省美堂 112-0011 東京都文京区千石２－４４－５ サービス: プリプレス 印刷 各種印刷 デジタル印刷 製本 後加工 特殊印刷加工 紙製品 マーケティング企画 編集デザイン 写真 マルチメディア ノベルティ 私たち木元省美堂は、印刷物やWebサイトなど「情報に関するものづくり」を中心に事業を展開しています。
2025年2月で創立70周年。こ",03-3946-3541,https://kimoto-sbd.co.jp/contact/,S｜地域印刷・販促・Web支援,東京都印刷工業組合Connect公式会員：印刷・販促・企画・Web制作,https://connect.tokyo-printing.or.jp/corp_search/wp_detail/1069,https://kimoto-sbd.co.jp/company/,yes,ok
株式会社理想社,https://www.risosha-dsp.jp/,（株）理想社 162-0834 東京都新宿区北町４１ サービス: プリプレス 印刷 各種印刷 デジタル印刷 製本 編集デザイン 表示順ポイント: 3,03-3260-6177,https://www.risosha-dsp.jp/お問い合わせ,S｜地域印刷・販促・Web支援,東京都印刷工業組合Connect公式会員：印刷・販促・企画・Web制作,https://connect.tokyo-printing.or.jp/corp_search/wp_detail/793,https://www.risosha-dsp.jp/%E4%BC%81%E6%A5%AD%E6%83%85%E5%A0%B1,yes,ok
丸山製本工業株式会社,https://maruyamaseihon.co.jp/contact.html,丸山製本工業(株) 丸山　敦史 〒381-0037 長野市西和田1-26-23 TEL.026-243-1601 FAX.026-243-7784,026-243-1601,https://maruyamaseihon.co.jp/contact.html,S｜地域印刷・販促・Web支援,長野県印刷工業組合公式会員：印刷・販促・企画制作,https://www.nagano-pia.jp/guide/list-nagano.php,https://maruyamaseihon.co.jp/about/,yes,ok
