company_name,url,address,phone,maps_url,contact_url,message,sent_at,status,error_reason,screenshot_path,provider_used,提案区分,H1,区分,検出ワード
アルサーガパートナーズ株式会社,https://dental-web.jp/,,,,https://dental-web.jp/contact/,,,,,,,,,S｜医科・歯科特化Web・集客支援,医科・歯科顧客＋Web集客＋公開後運用支援
チリョーマ株式会社,https://chiryo-ma.co.jp/service-hp/,,,,https://chiryo-ma.co.jp/,,,,,,,,,S｜美容室・サロン特化Web・集客支援,美容室・サロン顧客＋Web集客＋公開後運用支援
不動くん株式会社,https://www.fudoukun.jp/,,,,https://www.fudoukun.jp/contact/,,,,,,,,,S｜不動産会社特化Web・集客支援,不動産会社顧客＋Web集客＋公開後運用支援
小川精機株式会社,https://healthwebcreations.com/,,,,https://healthwebcreations.com/contact,,,,,,,,,S｜治療院特化Web・集客支援,治療院顧客＋Web集客＋公開後運用支援
日本国内でメトロノーム株式会社,https://gymcloud.jp/webstudio/,,,,https://gymcloud.jp/webstudio/,,,,,,,,,S｜医科・歯科特化Web・集客支援,医科・歯科顧客＋Web集客＋公開後運用支援
株式会社プロフェッションネットワーク様,https://www.pagepro.jp/,,,,https://www.pagepro.jp/inquiry.html,,,,,,,,,S｜士業特化Web・集客支援,士業顧客＋Web集客＋公開後運用支援
確認画面へ株式会社,https://www.j-s-p.com/,,,,https://www.j-s-p.com/contact_form/,,,,,,,,,S｜不動産会社特化Web・集客支援,不動産会社顧客＋Web集客＋公開後運用支援
エクセルアート株式会社,https://www.excelart.co.jp/,,,,https://www.excelart.co.jp/inquiry/formmail.php,,,,,,,,,S｜地域印刷・販促・Web支援,東京都印刷工業組合Connect公式会員：印刷・販促・企画・Web制作
富沢印刷株式会社,https://10330.co.jp/,,,,https://10330.co.jp/contact/,,,,,,,,,S｜地域印刷・販促・Web支援,東京都印刷工業組合Connect公式会員：印刷・販促・企画・Web制作
新灯印刷株式会社,https://shinto-printing.co.jp/,,,,https://shinto-printing.co.jp/about/,,,,,,,,,S｜地域印刷・販促・Web支援,東京都印刷工業組合Connect公式会員：印刷・販促・企画・Web制作
東洋美術印刷株式会社,https://www.toyobijutsu-prt.co.jp/,,,,https://www.toyobijutsu-prt.co.jp/service/mktg-large-format,,,,,,,,,S｜地域印刷・販促・Web支援,東京都印刷工業組合Connect公式会員：印刷・販促・企画・Web制作
