company_name,url,contact_url,decision,reason
ARIS DESIGN,https://arisdesign.wixsite.com/aris,https://arisdesign.wixsite.com/aris,accept,no_live_or_master_match
株式会社ビーフレンド,https://befriend.co.jp,https://befriend.co.jp/contact/,exclude,existing_sheet_match
株式会社ブロス,https://www.bros-inc.jp/,https://www.bros-inc.jp/inquiry,exclude,existing_sheet_match
株式会社文尚堂,https://www.bunshodo-ps.jp/,https://www.bunshodo-ps.jp/contact/,accept,no_live_or_master_match
株式会社グッドフォーム,https://good-form.jp/,https://good-form.jp/#contact,accept,no_live_or_master_match
株式会社リ・イマジン,https://re-imagine.co.jp/,https://re-imagine.co.jp/contact/,accept,no_live_or_master_match
株式会社スタジオオレンジ,http://studio-orange.jp/,http://studio-orange.jp/#Contact,accept,no_live_or_master_match
株式会社ニックネーム・ドットコム,https://nic-name.com/,https://nic-name.com/contact/,accept,no_live_or_master_match
株式会社ウェルストンプロモーション,https://wspinc.co.jp/,https://wspinc.co.jp/contact/,exclude,existing_sheet_match
株式会社アドフック,https://www.adhook.co.jp/,https://www.adhook.co.jp/,accept,no_live_or_master_match
株式会社ユー・エス・シー,https://www.ca-usc.com/,https://www.ca-usc.com/%E3%81%8A%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B/,accept,no_live_or_master_match
nakabi株式会社,https://nakabi.jp/,https://nakabi.jp/contact/,accept,no_live_or_master_match
有限会社高橋印刷,http://www.takahashiinsatsu.com/,http://www.takahashiinsatsu.com/index.php?%E3%81%8A%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B,exclude,existing_sheet_match
株式会社北陸サンライズ,https://sungr.co.jp/sunrise-group/hokurikusunrise/,https://sungr.co.jp/sunrise-conract/,accept,no_live_or_master_match
アイ・アンド・オー株式会社,https://www.i-and-o.jp/,https://www.i-and-o.jp/script/mailform/contact/,exclude,existing_sheet_match
株式会社新潟読売IS,https://www.niigata-yomiuri-is.co.jp/,https://www.niigata-yomiuri-is.co.jp/profile/mail_privacy.html?keepThis=true&TB_iframe=true&height=600&width=700,exclude,existing_sheet_match
オダ精巧社印刷株式会社,https://www.oda-p.jp/,https://www.oda-p.jp/contact/,accept,no_live_or_master_match
ヒロミ産業株式会社,https://www.hiromisangyo.jp/,https://www.hiromisangyo.jp/contact/,exclude,existing_sheet_match
デジタルマーケティングイノベーションラボ株式会社,https://digima.co.jp/,https://digima.co.jp/pages/contact,exclude,existing_sheet_match
web creation株式会社,https://webcreation.co.jp/index.html,https://webcreation.co.jp/contact.html,exclude,existing_sheet_match
ハシゴデザイン,https://www.hashigodesign.com/,https://www.hashigodesign.com/contact/,accept,no_live_or_master_match
作道印刷株式会社,https://www.sakudo.co.jp/,https://www.sakudo.co.jp/contact/,exclude,existing_sheet_match
株式会社産経広告社,https://sankei-ad.net/,https://sankei-ad.net/inquiry/,exclude,existing_sheet_match
株式会社文化社,https://bunkasya.co.jp/,https://bunkasya.co.jp/contact-us/,exclude,existing_sheet_match
モリプリント株式会社,https://mori-print.co.jp/,https://mori-print.co.jp/inquiry/,exclude,existing_sheet_match
三条印刷株式会社,https://sanjo-prn.co.jp/,https://sanjo-prn.co.jp/contact/,exclude,existing_sheet_match
井上総合印刷株式会社,https://www.inoue-sogo.co.jp/,https://www.inoue-sogo.co.jp/company#contactAnc,exclude,existing_sheet_match
東海紙工株式会社,http://www.tokaishiko.com/,http://www.tokaishiko.com/contact/,accept,no_live_or_master_match
