company_name,url,address,phone,contact_url,区分,検出ワード,source_url,profile_url,company_confirmed,fetch
10. 株式会社,https://jpress.okinawatimes.co.jp/,,,https://jpress.okinawatimes.co.jp/contact/,A｜地域広告・販促・Web支援,公式サイト確認：ウェブ＋広告,https://okiinkyo.or.jp/member/,https://jpress.okinawatimes.co.jp/company/,yes,ok
37. （有）だいにちシール 代表者 : 中山 孝 〒901-1117 南風原町字津嘉山1568 TEL.098-888-1548 FAX.098-888-15,https://www.dai-seal.com/,,,https://www.dai-seal.com/inquiry/,A｜地域広告・販促・Web支援,公式サイト確認：デザイン,https://okiinkyo.or.jp/member/,https://www.dai-seal.com/company.html,yes,ok
40. 中村印刷株式会社,https://www.nakamura-insatsu.co.jp/,,,https://www.nakamura-insatsu.co.jp/contact/,A｜地域広告・販促・Web支援,公式サイト確認：SNS＋デザイン,https://okiinkyo.or.jp/member/,https://www.nakamura-insatsu.co.jp/company,yes,ok
41. 仲本製本所 代表者 : 仲本 政国 〒901-1111 南風原町字兼城194-1 TEL.098-889-2603 FAX.098-889-2604 h,http://nakamoto-seihon.com/,,,http://nakamoto-seihon.com/contact/,A｜地域広告・販促・Web支援,公式サイト確認：ホームページ,https://okiinkyo.or.jp/member/,http://nakamoto-seihon.com/company/,yes,ok
9. 新星出版株式会社,https://www.s-syuppan.com/,,,https://www.s-syuppan.com/inquiry/,A｜地域広告・販促・Web支援,公式サイト確認：広告,https://okiinkyo.or.jp/member/,https://www.s-syuppan.com/company/,yes,ok
HP http://fujikousoku.co.jp/,https://fujikousoku.co.jp/,,,https://fujikousoku.co.jp/contact/,A｜地域広告・販促・Web支援,公式サイト確認：WEB＋web＋ウェブ＋デザイン＋ブランディング＋プロモーション,https://www.hyoinko.or.jp/union/organization/branchlist/,https://fujikousoku.co.jp/company/,yes,ok
HP http://kobe-takagi.co.jp/,http://kobe-takagi.co.jp/,,,https://kobe-takagi.co.jp/cta/,A｜地域広告・販促・Web支援,公式サイト確認：マーケティング＋動画,https://www.hyoinko.or.jp/union/organization/branchlist/,https://kobe-takagi.co.jp/kaisya/,yes,ok
HP http://okada.main.jp/,http://okada.main.jp/,,,http://okada.main.jp/%E3%81%8A%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B.html,A｜地域広告・販促・Web支援,公式サイト確認：ホームページ＋集客,https://www.hyoinko.or.jp/union/organization/branchlist/,,yes,ok
HP http://www.daikai-print.com/,http://www.daikai-print.com/,,,http://www.daikai-print.com/cathand/otoiawase.php?serial=4661,A｜地域広告・販促・Web支援,公式サイト確認：ホームページ,https://www.hyoinko.or.jp/union/organization/branchlist/,http://www.daikai-print.com/company.html,yes,ok
HP http://www.mukai-carbon.co.jp/,https://mukai-carbon.co.jp/,,,https://mukai-carbon.co.jp/contact,A｜地域広告・販促・Web支援,公式サイト確認：WEB,https://www.hyoinko.or.jp/union/organization/branchlist/,https://mukai-carbon.co.jp/about,yes,ok
HP http://www.rakutsu.jp/,https://rakutsu.jp/,,,https://rakutsu.jp/contact/,A｜地域広告・販促・Web支援,公式サイト確認：デザイン＋ホームページ＋動画＋広告＋販促,https://www.hyoinko.or.jp/union/organization/branchlist/,https://rakutsu.jp/about_us/,yes,ok
HP http://www.shimizu-kobe.co.jp/,https://www.shimizu-kobe.co.jp/,,,https://www.shimizu-kobe.co.jp/contact/,A｜地域広告・販促・Web支援,公式サイト確認：デザイン＋ホームページ,https://www.hyoinko.or.jp/union/organization/branchlist/,https://www.shimizu-kobe.co.jp/about/,yes,ok
HP https://arisdesign.wixsite.com/aris,https://arisdesign.wixsite.com/aris,,,https://arisdesign.wixsite.com/aris,A｜地域広告・販促・Web支援,公式サイト確認：WEB＋ウェブ＋デザイン＋広告,https://www.hyoinko.or.jp/union/organization/branchlist/,https://arisdesign.wixsite.com/aris,yes,ok
HP https://himeori.jp/,https://himeori.jp/,,,https://himeori.jp/contact/,A｜地域広告・販促・Web支援,公式サイト確認：SNS＋Web＋デザイン＋ホームページ＋マーケティング＋広告,https://www.hyoinko.or.jp/union/organization/branchlist/,https://himeori.jp/company,yes,ok
HP https://www.bunshodo-ps.jp/,https://www.bunshodo-ps.jp/,,,https://www.bunshodo-ps.jp/contact/,A｜地域広告・販促・Web支援,公式サイト確認：SNS＋WEB＋Web＋デザイン＋ブランディング＋ホームページ,https://www.hyoinko.or.jp/union/organization/branchlist/,,yes,ok
HP https://www.hyoda.com,https://www.hyoda.com/,,,https://www.hyoda.com/inquiry/,A｜地域広告・販促・Web支援,公式サイト確認：デザイン,https://www.hyoinko.or.jp/union/organization/branchlist/,https://www.hyoda.com/about_privacy_policy.pdf?20240129,yes,ok
HP https://www.koyu-p.com/,https://www.koyu-p.com/,,,https://www.koyu-p.com/contact/index.html,A｜地域広告・販促・Web支援,公式サイト確認：Web＋デザイン,https://www.hyoinko.or.jp/union/organization/branchlist/,https://www.koyu-p.com/company/index.html,yes,ok
HP https://www.motoya.co.jp/,https://www.motoya.co.jp/,,,https://www.motoya.co.jp/contact/free_consultation.html,A｜地域広告・販促・Web支援,公式サイト確認：Web＋デザイン＋動画＋広告＋販促,https://www.hyoinko.or.jp/union/organization/branchlist/,https://www.motoya.co.jp/company.html,yes,ok
HP https://www.trais.co.jp/,https://trais.co.jp/,,,https://trais.co.jp/contact/,A｜地域広告・販促・Web支援,公式サイト確認：SNS＋WEB＋web＋サイト制作＋デザイン＋プロモーション,https://www.hyoinko.or.jp/union/organization/branchlist/,https://trais.co.jp/outline/,yes,ok
Powered by NetCommons2 The NetCommons Project,https://www.netcommons.org/,,,https://www.netcommons.org/contact,A｜地域広告・販促・Web支援,公式サイト確認：ウェブ,https://www.nagasaki-pia.org/index.php?page_id=23,,yes,ok
URL http://mainichi.jp/,https://mainichi.jp/,,,https://mainichi.jp/help/,A｜地域広告・販促・Web支援,公式サイト確認：SNS＋ウェブ＋動画＋広告,https://www.aca-j.or.jp/meibo/,,yes,ok
URL http://www.fujitv.co.jp/index.html,https://www.fujitv.co.jp/index.html,,,https://www.fujitv.co.jp/safe/contact/index.html,A｜地域広告・販促・Web支援,公式サイト確認：動画,https://www.aca-j.or.jp/meibo/,https://www.fujitv.co.jp/company/index.html,yes,ok
URL http://www.j-wave.co.jp,https://www.j-wave.co.jp/,,,https://www.j-wave.co.jp/topics/2004_contact.htm,A｜地域広告・販促・Web支援,公式サイト確認：プロモーション,https://www.aca-j.or.jp/meibo/,https://www.j-wave.co.jp/about_us/,yes,ok
URL http://www.joqr.co.jp/index.php,http://www.joqr.co.jp/index.php,,,http://www.joqr.co.jp/qr/article/93105/,A｜地域広告・販促・Web支援,公式サイト確認：WEB＋広告,https://www.aca-j.or.jp/meibo/,,yes,ok
URL http://www.kokusai-k.jp,https://www.kokusai-k.jp/,,,https://www.kokusai-k.jp/%E3%81%8A%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B/,A｜地域広告・販促・Web支援,公式サイト確認：広告,https://www.aca-j.or.jp/meibo/,,yes,ok
URL http://www.sankei-ad.net,https://sankei-ad.net/,,,https://sankei-ad.net/inquiry/,A｜地域広告・販促・Web支援,公式サイト確認：WEB＋デザイン＋プロモーション＋マーケティング＋広告,https://www.aca-j.or.jp/meibo/,https://sankei-ad.net/company/,yes,ok
URL http://www.senko-edit.com/,https://www.senko-edit.com/,,,https://www.senko-edit.com/contact/,A｜地域広告・販促・Web支援,公式サイト確認：デザイン＋広告,https://www.aca-j.or.jp/meibo/,https://www.senko-edit.com/company/,yes,ok
URL http://www.totsumedia.co.jp/,https://www.totsumedia.co.jp/,,,https://www.totsumedia.co.jp/contact/,A｜地域広告・販促・Web支援,公式サイト確認：Web＋デザイン＋マーケティング＋販促,https://www.aca-j.or.jp/meibo/,https://www.totsumedia.co.jp/company/,yes,ok
URL http://www.tv-tokyo.co.jp,https://www.tv-tokyo.co.jp/,,,https://www.tv-tokyo.co.jp/index/company/goiken.html,A｜地域広告・販促・Web支援,公式サイト確認：SNS＋WEB＋動画＋広告,https://www.aca-j.or.jp/meibo/,https://www.tv-tokyo.co.jp/kaisha/company/group.html,yes,ok
URL http://www.yellowweb.co.jp/,https://yellowweb.co.jp/,,,https://yellowweb.co.jp/2017/04/24/%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81/,A｜地域広告・販促・Web支援,公式サイト確認：販促,https://www.aca-j.or.jp/meibo/,https://yellowweb.co.jp/2017/04/25/%e4%bc%9a%e7%a4%be%e6%a6%82%e8%a6%81-2/,yes,ok
URL https://in-fit.co.jp,https://in-fit.co.jp/,,,https://in-fit.co.jp/contact/,A｜地域広告・販促・Web支援,公式サイト確認：SNS＋web＋サイト制作＋デザイン＋プロモーション＋マーケティング,https://www.aca-j.or.jp/meibo/,https://in-fit.co.jp/company,yes,ok
URL https://www.beeats.co.jp/,https://www.beeats.co.jp/,,,https://www.beeats.co.jp/contact/sp_tool/,A｜地域広告・販促・Web支援,公式サイト確認：SNS＋デザイン＋プロモーション＋マーケティング＋販促＋集客,https://www.aca-j.or.jp/meibo/,https://www.beeats.co.jp/company/,yes,ok
