company_name,url,address,phone,maps_url,contact_url,message,sent_at,status,error_reason,screenshot_path,provider_used,提案区分,H1,区分,検出ワード
株式会社ブンテック,http://buntec.e-shigotonin.net/,,,,http://buntec.e-shigotonin.net/%E3%81%8A%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B/,,,,,,,,,A｜地域広告・販促・Web支援,公式サイト確認：企画力・デザイン
ARIS DESIGN,https://arisdesign.wixsite.com/aris,,,,https://arisdesign.wixsite.com/aris,,,,,,,,,A｜地域広告・販促・Web支援,公式サイト確認：広告代理
株式会社広正社,http://www.k-koseisha.co.jp/,,,,http://www.k-koseisha.co.jp/contact.html,,,,,,,,,A｜地域広告・販促・Web支援,公式サイト確認：ブランディング＋プロモーション＋マーケティング＋広告代理
株式会社文尚堂,https://www.bunshodo-ps.jp/,,,,https://www.bunshodo-ps.jp/contact/,,,,,,,,,A｜地域広告・販促・Web支援,公式サイト確認：ブランディング＋ホームページ制作
株式会社GEMインターナショナル,https://www.gemgem.jp/,,,,https://www.gemgem.jp/index.php/contact-gem/,,,,,,,,,A｜地域広告・販促・Web支援,公式サイト確認：
株式会社グッドフォーム,https://good-form.jp/,,,,https://good-form.jp/#contact,,,,,,,,,A｜地域広告・販促・Web支援,公式サイト確認：ブランディング＋マーケティング＋広告代理＋映像制作
株式会社リ・イマジン,https://re-imagine.co.jp/,,,,https://re-imagine.co.jp/contact/,,,,,,,,,A｜地域広告・販促・Web支援,公式サイト確認：映像制作
株式会社スタジオオレンジ,http://studio-orange.jp/,,,,http://studio-orange.jp/#Contact,,,,,,,,,A｜地域広告・販促・Web支援,公式サイト確認：WEB制作＋企画・デザイン＋映像制作
株式会社ニックネーム・ドットコム,https://nic-name.com/,,,,https://nic-name.com/contact/,,,,,,,,,A｜地域広告・販促・Web支援,公式サイト確認：プロモーション
株式会社アドフック,https://www.adhook.co.jp/,,,,https://www.adhook.co.jp/,,,,,,,,,A｜地域広告・販促・Web支援,公式サイト確認：WEB制作＋広告代理
