company_name,url,address,phone,contact_url,区分,検出ワード,source_url,profile_url,company_confirmed,fetch
株式会社ブンテック,http://buntec.e-shigotonin.net/,,,http://buntec.e-shigotonin.net/%E3%81%8A%E5%95%8F%E3%81%84%E5%90%88%E3%82%8F%E3%81%9B/,A｜地域広告・販促・Web支援,公式サイト確認：企画力・デザイン,https://www.akb.ne.jp/list.html,http://buntec.e-shigotonin.net/%E4%BC%9A%E7%A4%BE%E6%A6%82%E8%A6%81/,yes,ok
ARIS DESIGN,https://arisdesign.wixsite.com/aris,,,https://arisdesign.wixsite.com/aris,A｜地域広告・販促・Web支援,公式サイト確認：広告代理,https://www.hyoinko.or.jp/union/organization/branchlist/,https://arisdesign.wixsite.com/aris,yes,ok
株式会社広正社,http://www.k-koseisha.co.jp/,,,http://www.k-koseisha.co.jp/contact.html,A｜地域広告・販促・Web支援,公式サイト確認：ブランディング＋プロモーション＋マーケティング＋広告代理,https://www.tokobi.or.jp/member/06.html,http://www.k-koseisha.co.jp/company.html,yes,ok
株式会社ビーフレンド,https://befriend.co.jp,,,https://befriend.co.jp/contact/,A｜地域広告・販促・Web支援,公式サイト確認：Web制作＋サイト制作＋動画制作,https://www.hiroshima-ad.jp/,https://befriend.co.jp/about/,yes,ok
株式会社ブロス,https://www.bros-inc.jp/,,,https://www.bros-inc.jp/inquiry,A｜地域広告・販促・Web支援,公式サイト確認：プロモーション,https://haaa.or.jp/member.html,https://www.bros-inc.jp/company/,yes,ok
株式会社文尚堂,https://www.bunshodo-ps.jp/,,,https://www.bunshodo-ps.jp/contact/,A｜地域広告・販促・Web支援,公式サイト確認：ブランディング＋ホームページ制作,https://www.hyoinko.or.jp/union/organization/branchlist/,,yes,ok
CRT栃木放送,https://www.crt-radio.co.jp/,,,https://www.crt-radio.co.jp/info/73,A｜地域広告・販促・Web支援,公式サイト確認：広告代理,https://www.taaa.gr.jp/,https://www.crt-radio.co.jp/company/,yes,ok
株式会社GEMインターナショナル,https://www.gemgem.jp/,,,https://www.gemgem.jp/index.php/contact-gem/,A｜地域広告・販促・Web支援,公式サイト確認：,https://www.tokobi.or.jp/member/01.html,https://www.gemgem.jp/index.php/about-gem/,yes,ok
株式会社グッドフォーム,https://good-form.jp/,,,https://good-form.jp/#contact,A｜地域広告・販促・Web支援,公式サイト確認：ブランディング＋マーケティング＋広告代理＋映像制作,https://www.hiroshima-ad.jp/,,yes,ok
株式会社リ・イマジン,https://re-imagine.co.jp/,,,https://re-imagine.co.jp/contact/,A｜地域広告・販促・Web支援,公式サイト確認：映像制作,https://www.hiroshima-ad.jp/,https://re-imagine.co.jp/#about,yes,ok
OZ-digitalmagic,https://www.oz-magic.co.jp/,,,https://www.oz-magic.co.jp/contact,A｜地域広告・販促・Web支援,公式サイト確認：広告企画＋映像制作,https://www.iwate-aaa.jp/member/index.html,https://www.oz-magic.co.jp/company,yes,ok
PEAP DESIGN,https://www.peapdesign.com/,,,https://www.peapdesign.com/contact,A｜地域広告・販促・Web支援,公式サイト確認：WEB制作＋企画・デザイン,https://ishikoukyo.jp/member_2025,https://www.peapdesign.com/about,yes,ok
株式会社スタジオオレンジ,http://studio-orange.jp/,,,http://studio-orange.jp/#Contact,A｜地域広告・販促・Web支援,公式サイト確認：WEB制作＋企画・デザイン＋映像制作,https://hebda.jp/member.php,http://studio-orange.jp/#About,yes,ok
株式会社ニックネーム・ドットコム,https://nic-name.com/,,,https://nic-name.com/contact/,A｜地域広告・販促・Web支援,公式サイト確認：プロモーション,https://www.hiroshima-ad.jp/,https://nic-name.com/gaiyou.html,yes,ok
