company_name,url,address,phone,contact_url,区分,検出ワード,source_url,profile_url,company_confirmed,fetch
アイル・コーポレーション株式会社,https://www.i-ll-group.co.jp/i-ll/index.html,,,,S｜清掃・設備・建物管理支援,ビルメンテナンス協会・協同組合公式会員：清掃・設備管理・建物維持管理,https://www.saitama-bma.or.jp/member/,https://www.i-ll-group.co.jp/i-ll/index.html,no,ok
サンエスビルサービス株式会社,http://www.seibusogo.co.jp/,,,,S｜清掃・設備・建物管理支援,ビルメンテナンス協会・協同組合公式会員：清掃・設備管理・建物維持管理,https://www.saitama-bma.or.jp/member/,,no,ConnectionError
三協サービス株式会社,http://www.sankyo-s.com/,,,,S｜清掃・設備・建物管理支援,ビルメンテナンス協会・協同組合公式会員：清掃・設備管理・建物維持管理,https://www.saitama-bma.or.jp/member/,http://www.sankyo-s.com/,yes,ok
内藤環境管理株式会社,https://www.knights.co.jp/,,,https://www.knights.co.jp/mailmagazineform/?title=TOP,S｜清掃・設備・建物管理支援,ビルメンテナンス協会・協同組合公式会員：清掃・設備管理・建物維持管理,https://www.saitama-bma.or.jp/member/,https://www.knights.co.jp/,no,ok
北里メディカルサービス株式会社北本事業部,http://www.kitasato.org/,,,https://www.kitasato.org/contact/,S｜清掃・設備・建物管理支援,ビルメンテナンス協会・協同組合公式会員：清掃・設備管理・建物維持管理,https://www.saitama-bma.or.jp/member/,http://www.kitasato.org/,no,ok
埼玉美装株式会社,http://www.saitamabiso.co.jp/,,,http://www.saitamabiso.co.jp/toiawase-index.html,S｜清掃・設備・建物管理支援,ビルメンテナンス協会・協同組合公式会員：清掃・設備管理・建物維持管理,https://www.saitama-bma.or.jp/member/,http://www.saitamabiso.co.jp/,no,ok
太平ビル管理株式会社,https://www.taiheibiru.co.jp/,,,https://www.taiheibiru.co.jp/contact/,S｜清掃・設備・建物管理支援,ビルメンテナンス協会・協同組合公式会員：清掃・設備管理・建物維持管理,https://www.saitama-bma.or.jp/member/,https://www.taiheibiru.co.jp/company/,yes,ok
日本環境クリアー株式会社,https://www.jecweb.co.jp/,,,https://www.jecweb.co.jp/contact/,S｜清掃・設備・建物管理支援,ビルメンテナンス協会・協同組合公式会員：清掃・設備管理・建物維持管理,https://www.saitama-bma.or.jp/member/,https://www.jecweb.co.jp/,yes,ok
日本環境マネジメント株式会社,https://www.n-e-m.co.jp/,,,,S｜清掃・設備・建物管理支援,ビルメンテナンス協会・協同組合公式会員：清掃・設備管理・建物維持管理,https://www.saitama-bma.or.jp/member/,https://www.n-e-m.co.jp/about/policy.php,yes,ok
日本美装株式会社,http://nihonbisoh.co.jp/,,,,S｜清掃・設備・建物管理支援,ビルメンテナンス協会・協同組合公式会員：清掃・設備管理・建物維持管理,https://www.saitama-bma.or.jp/member/,http://nihonbisoh.co.jp/,yes,ok
