company_name,url,address,phone,contact_url,区分,検出ワード,source_url,profile_url,company_confirmed,fetch
太平ビル管理株式会社,https://www.taiheibiru.co.jp/,,,https://www.taiheibiru.co.jp/contact/,S｜清掃・設備・建物管理支援,ビルメンテナンス協会・協同組合公式会員：清掃・設備管理・建物維持管理,https://www.saitama-bma.or.jp/member/,https://www.taiheibiru.co.jp/company/,yes,ok
日本環境クリアー株式会社,https://www.jecweb.co.jp/,,,https://www.jecweb.co.jp/contact/,S｜清掃・設備・建物管理支援,ビルメンテナンス協会・協同組合公式会員：清掃・設備管理・建物維持管理,https://www.saitama-bma.or.jp/member/,https://www.jecweb.co.jp/,yes,ok
朝日システムズ株式会社,https://www.asahi-systems.co.jp/,,,https://www.asahi-systems.co.jp/contact/index.html,S｜清掃・設備・建物管理支援,ビルメンテナンス協会・協同組合公式会員：清掃・設備管理・建物維持管理,https://www.saitama-bma.or.jp/member/,https://www.asahi-systems.co.jp/gaiyou/index.html,yes,ok
東京ワックス株式会社,https://www.tokyowax.com/,,,https://www.tokyowax.com/information/post-952/,S｜清掃・設備・建物管理支援,ビルメンテナンス協会・協同組合公式会員：清掃・設備管理・建物維持管理,https://www.saitama-bma.or.jp/member/,https://www.tokyowax.com/company/,yes,ok
株式会社オンロード,https://on-road.co.jp/,,,https://on-road.co.jp/pages/5/,S｜清掃・設備・建物管理支援,ビルメンテナンス協会・協同組合公式会員：清掃・設備管理・建物維持管理,https://www.saitama-bma.or.jp/member/,https://on-road.co.jp/pages/3/,yes,ok
株式会社クリーン工房,https://www.cleankobo.co.jp/,,,https://www.cleankobo.co.jp/information/,S｜清掃・設備・建物管理支援,ビルメンテナンス協会・協同組合公式会員：清掃・設備管理・建物維持管理,https://www.saitama-bma.or.jp/member/,https://www.cleankobo.co.jp/company/,yes,ok
株式会社サンワックス,http://sunwax.net/,,,http://sunwax.net/contact/,S｜清掃・設備・建物管理支援,ビルメンテナンス協会・協同組合公式会員：清掃・設備管理・建物維持管理,https://www.saitama-bma.or.jp/member/,http://sunwax.net/company/,yes,ok
株式会社ゼネラルサービス,https://www.generalservice.jp/,,,https://www.generalservice.jp/form/general-service/contact,S｜清掃・設備・建物管理支援,ビルメンテナンス協会・協同組合公式会員：清掃・設備管理・建物維持管理,https://www.saitama-bma.or.jp/member/,https://www.generalservice.jp/company,yes,ok
株式会社埼玉シミズ,https://www.saitamashimizu.com/,,,https://www.saitamashimizu.com/,S｜清掃・設備・建物管理支援,ビルメンテナンス協会・協同組合公式会員：清掃・設備管理・建物維持管理,https://www.saitama-bma.or.jp/member/,https://www.saitamashimizu.com/,yes,ok
株式会社日環サービス,https://nikkan-service.co.jp/,,,https://nikkan-service.co.jp/contact-us/,S｜清掃・設備・建物管理支援,ビルメンテナンス協会・協同組合公式会員：清掃・設備管理・建物維持管理,https://www.saitama-bma.or.jp/member/,https://nikkan-service.co.jp/company-profile/,yes,ok
