"マッチ種別","幹事_行番号","企業名","エリア","代表者名","幹事_URL","一致シート","提案側URL","送信日","送信結果","送信不可理由"
"企業名のみ","6","株式会社メックコミュニケーションズ","兵庫県","入福　貴則","https://oisya-san.com/","251222","","","×","営業目的, 営業・勧誘, お断りしております, 勧誘目的, 固くお断り"
"企業名のみ","8","株式会社宝塚デザイン","兵庫県","森下 昭博","https://takarazuka.co.jp/works/","Webマーケティング","","","×","ご遠慮ください, 営業メール, 営業メールは"
"企業名のみ","9","株式会社WebClimb","兵庫県","才野 誠","https://www.webclimb.co.jp/website/","Webマーケティング","","","",""
"企業名のみ","10","Tips-web","兵庫県","山中滉大","https://tips-web.com/","除外リスト","","","×","お受けできません"
"企業名のみ","37","株式会社スワールコミュニケーションズ","兵庫県","小山 瑞穂","http://www.swirl.co.jp/works/production/","Webマーケティング","","","",""
"企業名のみ","42","有限会社創報堂","兵庫県","乗船 人保","https://www.souhoudou.jp/products/","Webマーケティング","","","",""
"企業名のみ","81","株式会社Linデザイン事務所","兵庫県","喜田　葵","https://cococala-web.com/","Webマーケティング","","","×","ご遠慮ください, 営業メール, 営業メールは"
"企業名のみ","86","株式会社クレアネット","大阪府","谷 美輝","https://clarenet.co.jp/works/","Webマーケティング","","","×","ご遠慮ください, 営業メール, 営業メールは"
"企業名のみ","98","オーパスプラン有限会社","大阪府","渡邉成彦","https://opus-plan.net/","Webマーケティング","","","",""
"企業名のみ","128","株式会社ヴリッジ","大阪府","土橋 裕作","https://goo-up.com/works-list/","251127","","","×","お受けできません"
"企業名のみ","133","株式会社Higherfield","大阪府","高野善男","https://www.higherfield.co.jp/","Webマーケティング","","","×","営業関連"
"企業名のみ","135","かんさい広告サービス株式会社","大阪府","森脇剛成","https://kks-ec.com/homepageone","251127","","","",""
"企業名のみ","170","株式会社リードエックス","大阪府","","https://lead-x.co.jp/","Webマーケティング","","","",""
"企業名のみ","174","株式会社コージャル","大阪府","桑木野 秀美","https://web.cordial.osaka/","Web奉行","","","×","営業活動"
"企業名のみ","181","イセン印刷株式会社","大阪府","青木弘児","http://isen-mw.com/works/","251222","","","",""
"企業名のみ","188","JIII ATELIER","大阪府","中路裕美","https://ny-design.biz/works/","251222","","","",""
"企業名のみ","320","株式会社阪口屋","大阪府","坂本 禎","http://www.teastalk.jp/","251222","","","",""
"企業名のみ","376","株式会社クロスウィッシュ","京都府","永沢 透","https://www.crosswish.com/works/","Webマーケティング","","","×","受け付けておりません, ご遠慮いただ, 営業メール"
"企業名のみ","383","株式会社リトラ","京都府","藤林 理之","https://corporate.re-tra.com/","Webマーケティング","","","",""
"企業名のみ","395","株式会社WithWhiz","京都府","伊東 大樹","https://withwhiz.co.jp","Webマーケティング","","","",""
"企業名のみ","397","株式会社キャンバス","京都府","酒井 高","http://pamphlet.ciao-design.com/works/","Webマーケティング","","","",""
"企業名のみ","408","株式会社プラスワン","京都府","原野 朋弘","https://www.plus1-one.co.jp/works/","251222","","","",""
"企業名のみ","410","アズシステム株式会社","京都府","橋本 芳久","http://web.az-system.co.jp/wrk/","Webマーケティング","","","",""
"企業名のみ","416","株式会社イータイム","京都府","松田 治彦","http://info.e-time.jp/","251222","","","",""
"企業名のみ","418","株式会社アシスト","京都府","大内 英樹","https://www.assist.co.jp/web-design/works/","Web奉行","","","",""
"企業名のみ","435","有限会社エヌエスティ","京都府","","https://ns-tec.net/works/","Webマーケティング","","","",""
"企業名のみ","445","リュウム株式会社","京都府","石光　堅太郎","https://www.ryuumu.co.jp/ryuumu/works/","Webマーケティング","","","",""
"企業名のみ","447","株式会社エクザム","京都府","木下 豊","https://www.ekzm.co.jp/works/","Webマーケティング","","","",""
"企業名のみ","449","株式会社アイリック","京都府","遠藤洋","https://webcreate-kyoto.com/works/","Webマーケティング","","","",""
"企業名のみ","459","有限会社エコラボ","滋賀県","西村 健太郎","https://e-collab.jp/works/","Webマーケティング","","","",""
"企業名のみ","470","株式会社ＤＧインデックス","滋賀県","田村 俊之","https://www.dg-index.jp/works.html","Webマーケティング","","","×","営業メール"
"企業名のみ","583","株式会社ウェブロッサム","愛知県","水谷　友彦","https://homepage-nagoya.com/","251222","","","",""
"企業名のみ","607","株式会社カプセル","愛知県","小浜 季史","http://capsulegraphics.jp/","Webマーケティング","","","×","セールスに関する"
"企業名のみ","608","株式会社元町コマース","愛知県","畠山元太","https://motomachi-commerce.co.jp/","Webマーケティング_名古屋","","","",""
"企業名のみ","620","有限会社ネーマック","愛知県","熊谷 めぐみ","http://www.neemac.co.jp/sns/","Webマーケティング","","","",""
"企業名のみ","644","モアイデザイン","愛知県","藤本 和浩","https://moai-design.com/","251222","","","",""
"企業名のみ","649","株式会社ウェブランディング","愛知県","尾﨑 伸也","http://www.w-brand.com/","251222","","","×","営業目的, 営業目的のお問い合わせ, 業者の方, 営業を目的"
"企業名のみ","705","有限会社シーエスプラス","愛知県","小柴 光司","http://www.csplus.jp/works/","Webマーケティング_名古屋","","","",""
"企業名のみ","711","株式会社エンジニアリング中部","愛知県","七田 隆二","http://www.webzero.jp/","251222","","","×","スパム対策"
"企業名のみ","715","株式会社オンジン","愛知県","今井悠人","https://onjin.co.jp/","Webマーケティング","","","",""
"企業名のみ","752","アリッツ株式会社","愛知県","梅田 英輝","https://www.alitz.co.jp/service/case/","251222","","","",""
"企業名のみ","762","株式会社BRIDGE","愛知県","中村 壮大","http://nashweb.jp/","251127","","","",""
"企業名のみ","766","株式会社KOP","東京都","大石 和明","https://www.kop.co.jp/works/","Webマーケティング","","","",""
"企業名のみ","770","株式会社センタード","東京都","平岡 悟","https://www.centered.co.jp/works/","Webマーケティング","","","×","営業以外"
"企業名のみ","783","株式会社カンナート","東京都","上坂 公輔","https://www.kannart.co.jp/work/","Webマーケティング","","","",""
"企業名のみ","791","株式会社ＷＣＡ","東京都","日野富士男","https://wc-a.co.jp/","251127","","","",""
"企業名のみ","817","株式会社アイディーエス","東京都","中野 貴志","https://www.ids.co.jp/","Webマーケティング","","","",""
"企業名のみ","861","株式会社GIG","東京都","岩上 貴洋","https://giginc.co.jp/works/","251127","","","",""
"企業名のみ","863","cotrot","東京都","ミツキ","https://ptnimz.tokyo/web-site/","251127","","","×","営業目的, 営業目的のお問い合わせ, ご遠慮ください"
"企業名のみ","871","株式会社エクシードコンサルティング","東京都","山下普之","https://exconsulting.co.jp/web-team/","Webマーケティング","","","",""
